R20193,R79783
R12192,R57924
R77178,R32684
R97505,R23440
R17388,R14639
R38910,R84667
R37156,R39257
R24188,R70015
R51214,R43404
R35029,R26865
R71673,R38093
R61427,R41896
R93219,R82199
R25523,R68416
R97420,R74294
R43121,R45348
R22899,R58105
R26887,R41812
R81333,R26287
R64075,R95307
R49931,R10533
R95283,R69846
R91818,R19255
R75765,R25564
R58243,R78382
R52083,R52128
R55771,R44947
R76142,R29345
R91884,R44942
R93307,R92760
R96926,R16511
R52191,R99436
R81238,R59768
R30969,R30295
R20998,R32993
R99242,R84823
R42121,R86508
R15152,R53579
R66624,R28734
R64903,R70594
R78666,R24190
R14253,R74419
R64353,R35389
R59699,R92273
R37432,R91759
R93140,R71569
R50656,R72178
R12725,R47794
R95108,R80976
R73531,R72330
R76393,R75810
R72172,R10410
R71735,R55776
R32737,R39260
R13705,R33184
R56062,R18514
R84184,R54288
R78928,R90647
R48157,R33611
R90154,R26311
R96396,R13312
R14412,R82701
R97026,R16119
R15865,R23728
R85257,R40318
R87364,R47408
R72095,R58181
R54733,R10349
R40474,R84649
R14150,R69791
R27719,R58386
R85508,R24835
R78587,R86752
R60838,R93677
R51542,R23824
R49518,R83288
R80416,R81770
R35140,R30985
R82076,R53550
R60375,R87883
R56709,R19865
R69436,R59893
R11506,R37751
R31382,R87591
R17820,R88946
R60016,R31687
R23247,R58343
R24739,R94004
R62577,R13997
R22407,R38144
R37461,R11892
R32290,R96632
R34232,R20387
R38103,R37832
R96495,R87747
R60781,R47578
R23318,R25163
R19300,R66634
R95967,R79364
R56353,R38497
R57529,R41944
R96294,R96752
R76933,R59748
R75472,R15881
R77663,R32825
R33587,R31609
R48108,R79069
R78309,R83235
R53975,R61764
R39430,R48750
R70452,R94747
R10914,R78658
R86104,R83557
R46425,R34708
R65835,R48356
R83013,R78609
R91853,R49568
R56868,R81486
R16423,R44777
R55342,R19081
R10757,R74398
R35669,R79742
R14111,R64930
R80208,R38042
R37272,R98314
R41612,R32636
R16582,R90729
R68352,R14364
R25628,R95188
R29282,R39937
R19761,R46272
R91760,R54701
R20457,R44586
R36653,R89528
R50297,R83835
R62162,R11139
R19947,R90182
R65807,R49004
R79841,R23909
R85439,R97126
R31821,R81439
R56251,R95710
R16425,R17200
R21929,R35964
R85090,R31012
R24602,R39295
R94742,R46511
R16925,R17366
R82935,R23554
R78563,R98105
R93882,R34891
R75422,R30694
R97154,R29224
R47119,R42771
R92599,R89620
R92518,R64087
R30135,R90408
R10844,R62736
R34955,R56509
R98859,R49102
R59011,R13890
R24303,R86797
R94730,R33242
R58827,R84339
R51300,R18586
R28055,R83256
R91429,R30253
R44898,R69303
R70079,R15639
R74437,R69913
R26133,R84287
R56978,R33361
R17468,R10910
R38827,R76420
R81931,R26985
R41178,R57804
R34400,R85471
R89433,R53613
R90933,R18134
R95033,R44782
R55238,R73341
R68351,R48984
R19688,R53090
R43655,R68347
R84924,R42140
R22796,R66013
R84737,R72742
R40118,R21965
R19459,R48349
R28538,R71084
R66808,R66505
R61604,R35887
R65292,R49212
R30586,R66165
R65146,R22134
R94797,R31682
R82678,R92125
R32028,R94968
R20130,R95554
R97148,R43751
R38211,R18606
R88005,R87659
R44596,R69720
R43472,R37593
R43799,R57631
R32781,R58146
R70625,R82197
R88132,R92335
R83846,R12559
R99780,R89760
R58009,R87230
R57544,R49496
R62200,R70207
R94858,R11829
R16890,R82851
R54698,R66988
R24795,R84363
R84747,R14334
R81162,R50950
R95386,R60523
R71626,R21250
R61381,R26720
R53476,R57537
R48386,R51027
R20388,R19390
R20346,R72990
R64450,R54760
R77345,R81079
R91999,R93280
R47601,R81936
R47679,R35759
R91819,R14286
R38770,R87790
R77436,R53542
R84319,R91567
R90464,R26122
R61949,R35099
R27461,R58364
R76226,R17314
R49594,R25575
R25083,R96966
R68657,R82756
R68991,R71021
R37836,R89254
R16353,R81316
R30713,R59855
R67184,R25443
R30287,R73257
R89592,R25936
R63761,R42192
R94913,R96209
R73785,R44801
R21548,R21181
R65505,R59023
R20694,R16419
R84214,R15870
R98717,R51484
R64723,R43003
R86070,R18729
R39254,R57134
R66051,R97842
R44548,R24781
R32517,R18443
R75578,R72586
R89890,R34401
R35526,R13046
R12357,R22156
R23112,R62150
R77789,R92989
R87486,R76676
R82939,R88820
R45335,R83578
R38143,R78064
R68562,R22818
R55465,R88723
R43365,R18169
R38566,R49208
R67374,R57285
R32103,R94538
R25201,R68229
R38599,R58747
R82395,R19948
R85877,R52755
R92379,R71335
R69201,R67558
R32742,R20937
R75799,R52874
R39411,R30465
R59840,R62522
R64802,R30914
R57834,R16859
R78078,R27284
R81313,R32018
R43049,R30837
R53360,R76834
R10002,R32347
R88789,R86924
R10840,R48554
R32727,R13110
R61545,R54097
R82562,R24700
R83287,R34019
R29025,R51227
R51789,R42576
R68750,R70851
R16989,R69579
R54533,R26121
R52233,R29069
R46184,R25047
R18170,R68755
R56751,R61513
R98956,R37373
R64275,R79979
R50659,R85776
R24354,R71614
R87288,R22059
R26341,R14744
R24525,R14851
R45910,R78586
R71037,R97636
R73324,R53749
R44323,R63423
R99957,R95899
R77572,R79100
R88176,R10060
R91722,R26674
R45379,R58357
R12512,R89413
R34433,R34099
R53905,R69420
R56781,R62309
R41680,R36419
R46771,R53197
R59999,R19594
R58224,R49216
R65752,R57810
R16148,R29902
R33809,R55670
R25260,R63320
R94806,R65110
R48891,R77213
R16574,R90727
R67544,R72300
R36984,R51991
R98549,R79863
R79955,R70130
R57076,R60905
R21409,R36161
R45026,R55016
R14169,R29189
R80678,R57552
R12106,R74554
R22701,R51562
R75506,R88025
R12658,R21194
R68585,R47610
R39134,R97760
R81138,R78867
R37356,R12662
R56093,R87200
R20714,R63595
R57965,R40632
R20852,R84676
R17487,R97181
R13806,R84090
R79668,R55880
R48871,R25011
R79064,R27357
R71062,R72706
R61931,R52653
R41058,R51100
R32841,R39438
R44863,R30180
R21269,R89241
R14028,R56334
R51071,R28794
R32074,R17287
R12414,R31327
R12986,R10832
R99666,R21989
R68280,R82974
R60668,R20341
R69386,R18132
R38915,R81917
R95744,R97259
R36416,R66436
R61845,R46317
R35366,R78729
R29130,R98022
R13956,R37986
R40490,R33416
R90427,R31335
R77684,R58732
R55682,R76208
R80570,R21247
R44426,R46789
R71286,R19866
R43863,R54218
R59228,R70029
R77522,R99848
R76471,R58164
R63091,R74854
R52146,R67990
R10462,R18565
R85235,R26414
R69172,R93064
R48291,R84766
R80885,R18187
R67354,R76042
R28914,R81264
R43811,R90546
R55543,R34506
R54333,R80088
R18626,R53767
R62062,R33813
R15388,R38040
R94147,R91697
R17678,R95065
R42541,R33710
R42057,R32676
R16512,R86666
R87234,R17368
R66216,R68541
R51663,R49582
R89016,R24754
R37728,R10495
R71276,R10893
R70248,R83910
R42584,R65188
R38169,R62039
R34541,R30420
R62472,R62187
R17625,R11268
R58831,R53468
R12431,R28561
R97962,R54719
R74097,R78458
R75493,R94748
R58392,R53902
R47187,R48290
R90673,R81671
R16375,R79241
R42258,R69844
R33358,R82330
R15816,R34835
R30555,R80476
R17192,R88943
R79584,R42784
R10673,R30380
R13054,R85407
R78482,R17194
R66404,R95906
R80084,R60105
R50740,R97830
R44783,R37417
R42842,R99909
R59520,R85462
R23817,R13699
R98429,R52645
R93545,R74416
R87108,R54342
R55492,R16824
R79010,R78493
R89914,R21795
R14050,R29673
R38422,R43439
R91175,R68997
R19029,R71362
R90403,R79855
R43421,R85000
R76517,R38102
R88348,R80158
R31746,R98480
R19027,R42406
R46982,R45736
R56246,R23576
R91635,R54702
R83328,R33300
R42160,R76122
R37807,R83112
R42374,R57511
R68071,R83716
R44945,R45220
R45522,R47935
R82376,R92439
R61552,R12521
R58522,R99624
R90838,R35884
R89496,R89238
R49446,R61468
R27992,R83477
R19619,R17710
R25730,R60967
R90088,R80711
R55794,R53604
R81348,R94791
R83347,R39949
R26371,R89287
R72748,R76178
R15476,R19003
R84535,R74992
R42153,R91479
R20637,R24006
R75865,R30705
R89922,R29135
R44478,R83427
R78758,R18680
R20250,R98975
R25842,R17537
R85386,R91564
R39263,R81062
R98684,R90741
R91056,R64552
R78373,R17078
R91249,R64179
R25769,R94112
R51624,R52757
R72840,R27093
R40996,R89631
R61047,R55990
R17776,R97305
R17048,R22470
R18977,R22428
R69627,R53205
R55871,R85353
R58148,R72274
R26035,R12846
R90970,R25706
R29146,R79093
R95842,R78572
R74053,R51606
R82556,R32216
R93119,R28399
R12000,R93691
R53970,R59562
R80280,R93983
R56982,R36963
R82971,R75015
R35773,R73248
R89569,R46742
R50233,R83771
R93894,R47136
R12670,R69763
R33339,R74423
R75951,R10788
R56146,R72481
R48438,R77525
R52519,R37266
R29002,R61264
R13837,R53915
R28102,R14402
R47297,R32234
R88930,R76394
R42087,R40544
R76400,R69194
R91644,R69560
R50087,R89720
R27223,R46532
R90507,R34718
R26825,R55888
R16548,R57748
R92672,R20977
R16318,R46115
R59069,R73166
R39324,R39516
R31388,R30596
R58407,R78967
R49543,R61647
R72122,R58499
R21809,R68361
R86039,R40640
R97787,R64208
R47889,R61628
R73690,R97555
R89116,R56088
R37972,R92631
R63656,R87169
R42164,R90378
R52223,R75703
R99678,R90681
R96747,R65622
R59831,R12439
R23763,R87388
R31394,R98363
R47207,R59832
