作者1,作者2,合作次数,1-2单向引用次数,2-1单向引用次数,互引次数
Zhang F,Doudna JA,0,85,14,14
Zhang F,Hsu PD,13,66,3,3
Zhang F,Ran FA,18,70,4,4
Zhang F,Marraffini LA,4,69,22,22
Zhang F,Barrangou R,0,67,49,49
Zhang F,Charpentier E,1,44,16,16
Zhang F,Church GM,1,57,3,3
Zhang F,Horvath P,0,53,22,22
Zhang F,Scott DA,15,45,0,0
Zhang F,Joung JK,0,57,1,1
Zhang F,Koonin EV,13,44,14,14
Zhang F,Wu XB,5,49,1,1
Zhang F,Makarova KS,11,64,9,9
Zhang F,Jiang WY,3,49,8,8
Zhang F,Jinek M,0,60,3,3
Zhang F,van der Oost J,5,52,0,0
Zhang F,Mali P,0,0,1,0
Zhang F,Moineau S,0,49,20,20
Zhang F,Cong L,9,39,2,2
Zhang F,Esvelt KM,0,63,1,1
Zhang F,Aach J,0,50,0,0
Zhang F,Cox D,3,50,2,2
Zhang F,Habib N,4,61,1,1
Zhang F,Brouns SJJ,0,62,21,21
Zhang F,Shalem O,15,28,0,0
Zhang F,Lin SL,1,52,1,1
Zhang F,Qi LS,0,55,2,2
Zhang F,Weissman JS,0,32,1,1
Zhang F,Konermann S,13,31,0,0
Zhang F,Chylinski K,0,56,5,5
Zhang F,Gilbert LA,0,49,1,1
Zhang F,Yang LH,0,31,0,0
Zhang F,Barretto R,1,49,1,1
Zhang F,Fremaux C,0,55,8,8
Zhang F,Norville JE,0,34,0,0
Zhang F,Kim JS,1,47,1,1
Zhang F,Sander JD,0,31,0,0
Zhang F,Gootenberg JS,23,32,2,2
Zhang F,Zhang Y,2,54,6,6
Zhang F,DiCarlo JE,0,28,0,0
Zhang F,Reyon D,0,46,0,0
Zhang F,Romero DA,0,31,5,5
Zhang F,Boyaval P,0,32,4,4
Zhang F,Gersbach CA,2,32,0,0
Zhang F,Fu YF,0,13,0,0
Zhang F,Hauer M,0,30,1,1
Zhang F,Fonfara I,0,48,2,2
Zhang F,Lander ES,4,50,2,2
Zhang F,Tsai SQ,0,40,1,1
Zhang F,Maeder ML,0,32,0,0
Zhang F,Guell M,0,27,0,0
Zhang F,Jaenisch R,2,46,0,0
Zhang F,Agarwala V,2,21,0,0
Zhang F,Westra ER,0,37,16,16
Zhang F,Wiedenheft B,0,18,9,9
Zhang F,Wolf YI,2,15,8,8
Zhang F,Deveau H,0,27,2,2
Zhang F,Cheng AW,2,27,0,0
Zhang F,Wang HY,3,22,0,0
Zhang F,Mojica FJM,0,24,9,9
Zhang F,Sanjana NE,16,27,0,0
Zhang F,Lim WA,0,25,1,1
Zhang F,Yang H,1,26,3,3
Zhang F,Jore MM,0,26,6,6
Zhang F,Sternberg SH,0,16,2,2
Zhang F,Lin S,0,20,0,0
Zhang F,Shivalila CS,1,29,0,0
