name,year,pgdp,urbaniza,employ,indsra,secdra,tertira,gr_indsra,gr_agrira,id,gr_constrland,gr_popu,income_farm,den_popu,cosum_enr,enry_pgpd,ener_pcap,consum_coalra,consum_fossra,consum_foss,carb_pener,popu,popu_urba,popu_pern,popu_flora,houssize,patent,gdp_enr,envrinvera,grspacera,harmlesstrea,utilsolidwast,treasewage,standwater,co2
安徽,1996,3524.08,17.94,96.9,35.4498,35.4498,32.6179,27.1117,31.9324,1,-0.49777175,9.5,1607.72,1548,4516,1.93053,0.74595302,0.83719897,1.01104,4565.8501,2.3787999,6054,1130.7007,5957,-0.54031855,3.0999999,1243,0.51799202,0.17228778,26.5,51.2,64.517405,19458,51.356692,1.07E+08
安徽,1997,3928.9,18.42,97.1,35.3105,35.3105,33.3235,26.3559,31.366,1,-0.49777175,9.3,1808.75,1548,4405,1.64984,0.72106701,0.82262099,1.00591,4431.0498,2.3708401,6109,1293.2646,5992,-0.25617859,3.1530001,1404,0.60611802,0.24452567,26.5,51.2,61.373992,21930,61.951572,1.04E+08
安徽,1998,4235.44,18.73,96.8,36.198,36.198,34.5416,27.3022,29.2604,1,7.4227344,9.2,1862.9,1548,4575,1.6307499,0.74366099,0.84045398,1.02844,4705.1299,2.4241099,6152,1319.4384,6016,-2.1858902,3.0894001,1484,0.613213,0.12279391,23.82,50.7,58.418116,126,73.746212,1.11E+08
安徽,1999,4495.47,18.55,96.8,43.97,43.97,30.55,39.0562,25.48,1,-3.1794022,8.6,1900.3,1548,4683,1.61006,0.75084198,0.8409,1.03283,4836.75,2.43396,6237,1343.3728,6051,5.12185,3.0745001,285,0.62109298,0.16053666,21.139999,50.2,69.968355,1682,79.236356,1.14E+08
安徽,2000,4779.46,27.7,96.7,42.67,42.67,33.23,36.22,24.1,1,6.4404432,7.64,1934.6,1542,4879,1.60586,0.80075502,0.865152,1.04895,5117.8101,2.46961,6093,1573.26,6093,-30.997663,3.5110977,301,0.62271798,0.19458391,21.809999,47.29,71.565841,2953,84.54822,1.21E+08
安徽,2001,5313.34,28.3818,96.3,43.02,43.02,34.19,36.7024,22.8,1,3.5287159,6.61,2020.04,1572,5118,1.57636,0.83518302,0.88847899,1.06774,5464.7002,2.5111699,6128,1706.04,6128,-0.88215446,3.0414,296,0.63437098,0.11244922,25.6,46.1,77.988964,3723,95.241108,1.29E+08
安徽,2002,5736.18,29.757,96,43.49,43.49,34.86,36.6654,21.65,1,8.4222674,6.03,2118,1471,5316,1.51035,0.86523402,0.89744401,1.07578,5718.8501,2.52876,6144,1795.504,6144,-3.4224381,3.5099792,367,0.662099,0.12562902,25.6,39.01,76.36896,7631.6001,95.811202,1.34E+08
安徽,2003,6375.4,30.7644,95.9,44.82,44.82,36.73,36.8484,18.5,1,17.4193,5.95,2127,1524,5842,1.48913,0.94791502,0.915631,1.09304,6385.5498,2.56722,6163,1886.208,6163,-2.8623264,2.96,532,0.671534,0.14806366,21.85,36.2,79.500284,7124.8999,95.880362,1.50E+08
安徽,2004,7681.9,32.286,95.8,45.09,45.09,35.54,36.4756,19.37,1,-1.0034285,6.12,2499.3301,1375,6017,1.2642601,0.96612102,0.92870402,1.08963,6556.3198,2.55265,6228,1972.16,6228,4.3714857,2.96,658,0.79097903,0.86777467,26.84,25.5,79.081497,15494.6,96.911981,1.54E+08
安徽,2005,8669.5,35.5,95.6,41.3,41.3,40.7,33.9886,18,1,13.417951,6.2,2641,1448.76,6518,1.21828,1.06502,0.91393101,1.06981,6973.0298,2.5012901,6120.0898,2086.3799,6120,-23.678007,2.95,903,0.82082999,0.92146605,22.9,17.6,80.004766,22873.301,97.367965,1.63E+08
安徽,2006,10026.3,37.1,95.75,43.1,43.1,40.2,35.8312,16.7,1,-8.2334133,6.3,2969.1001,2030.36,7096,1.1609,1.16137,0.888901,1.05757,7504.5498,2.4774799,6110,2172.6001,6110,-7.9500289,2.9100001,1274,0.86140102,0.85071576,32.599998,31.4,82.000796,24858.1,97.116331,1.76E+08
安徽,2007,12044.8,38.7,95.94,44.7,44.7,39,37.3877,16.3,1,6.445993,6.35,3556.3,2114,7752,1.05313,1.2670799,0.90151298,1.08433,8405.7305,2.5451701,6118,2266.8101,6118,-5.0415277,2.8499999,1602,0.94955099,1.1194253,36.099998,49.1,82.352043,26621.5,94.77269,1.97E+08
