ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
171159,1000095,2014/10/20 1:07,96,E51394,35170993,女,1993,2013,硕士,独立浴室,2007/7/6
11830606,1000093,2014/12/9 21:42,42,D62604,87178904,男,1993,2014,硕士,公共浴室一,2007/7/6
478879,1000095,2014/10/10 1:26,83,A13797,63170893,女,1991,2012,硕士,独立浴室,2007/7/6
11616614,1000093,2014/12/28 19:46,188,D71207,66024782,男,1994,2013,本科,公共浴室一,2007/7/6
1166736,1000095,2014/12/26 17:14,8,B43001,19066934,女,1996,2014,本科,独立浴室,2007/7/6
1233706,1000095,2014/11/30 1:09,121,E36386,71115631,女,1991,2014,博士,独立浴室,2007/7/6
11017945,1000092,2014/11/7 17:49,30,E69964,38065771,男,1996,2014,本科,公共浴室三,2007/7/6
10135926,1000091,2014/11/11 16:30,184,E73749,75055705,男,1994,2012,本科,公共浴室二,2007/7/6
436986,1000095,2014/10/4 1:04,49,A47374,61161696,男,1989,2012,硕士,独立浴室,2007/7/6
135952,1000095,2014/9/8 19:37,72,E36940,43162756,女,1990,2012,硕士,独立浴室,2007/7/6
1095301,1000095,2015/1/15 21:32,8,A61546,55065179,男,1997,2014,本科,独立浴室,2007/7/6
300886,1000095,2014/12/25 1:22,115,B40825,97108937,男,1991,2013,硕士,独立浴室,2007/7/6
132414,1000095,2014/9/9 12:57,17,C76140,37119954,女,1986,2011,博士,独立浴室,2007/7/6
10147300,1000091,2014/11/1 21:02,172,A74705,73050102,女,1995,2013,本科,公共浴室二,2007/7/6
11852486,1000093,2014/11/27 20:01,200,C65185,65081501,男,1993,2011,本科,公共浴室一,2007/7/6
11557294,1000093,2014/9/8 20:24,162,A24745,79102884,男,1994,2013,本科,公共浴室一,2007/7/6
10972344,1000092,2014/9/14 21:35,200,D77240,32053756,女,1996,2014,本科,公共浴室三,2007/7/6
10953116,1000092,2014/11/24 20:54,168,C45872,38133487,女,1991,2014,硕士,公共浴室三,2007/7/6
10903096,1000092,2014/12/4 16:20,200,C50733,35102720,男,1994,2013,本科,公共浴室三,2007/7/6
1089051,1000095,2014/11/9 22:17,16,C73076,62164932,男,1991,2014,硕士,独立浴室,2007/7/6
10957594,1000092,2014/11/23 21:55,200,D60559,11065222,男,1996,2014,本科,公共浴室三,2007/7/6
249779,1000095,2015/1/11 1:39,38,D70886,89112894,男,1990,2013,硕士,独立浴室,2007/7/6
10067067,1000091,2014/10/1 18:06,200,B73235,41011848,男,1994,2013,本科,公共浴室二,2007/7/6
11077535,1000092,2014/11/24 21:09,200,E46900,32105739,女,1993,2012,本科,公共浴室三,2007/7/6
220485,1000095,2014/9/21 9:22,88,A50133,84124712,男,1986,2008,博士,独立浴室,2007/7/6
715052,1000095,2014/11/3 1:08,200,E18113,22148576,男,1991,2013,硕士,独立浴室,2007/7/6
1320112,1000095,2014/12/6 1:16,9,B73370,46160212,男,1989,2013,硕士,独立浴室,2007/7/6
1030263,1000095,2014/10/7 11:44,24,A50930,65123307,男,1990,2014,硕士,独立浴室,2007/7/6
1193939,1000095,2015/1/30 22:59,198,A57692,88170627,男,1991,2014,硕士,独立浴室,2007/7/6
10293464,1000091,2014/10/18 16:29,18,A68743,32183901,男,1990,2014,硕士,公共浴室二,2007/7/6
10148640,1000091,2014/11/15 21:08,136,B65749,88015140,女,1994,2012,本科,公共浴室二,2007/7/6
11602439,1000093,2014/10/9 20:38,188,D72903,56099624,女,1995,2013,本科,公共浴室一,2007/7/6
11038380,1000092,2014/11/2 20:36,2,C66299,47067594,男,1995,2014,本科,公共浴室三,2007/7/6
635895,1000095,2014/9/10 1:11,24,C53918,72170557,男,1991,2013,博士,独立浴室,2007/7/6
10174990,1000091,2014/9/30 21:42,52,A11648,92011843,男,1997,2014,本科,公共浴室二,2007/7/6
1153072,1000095,2014/9/15 20:50,110,E74542,51148421,男,1991,2013,硕士,独立浴室,2007/7/6
1310017,1000095,2014/11/10 21:10,129,C79320,96120671,男,1991,2014,硕士,独立浴室,2007/7/6
10181304,1000091,2014/10/5 21:27,32,A32332,25102280,男,1992,2011,本科,公共浴室二,2007/7/6
11080771,1000092,2014/10/14 21:44,10,A57014,51170689,男,1990,2012,博士,公共浴室三,2007/7/6
11831161,1000093,2014/12/11 18:52,6,C69757,61064394,女,1993,2011,本科,公共浴室一,2007/7/6
11677690,1000093,2014/11/25 17:34,4,E72609,17062376,男,1992,2011,本科,公共浴室一,2007/7/6
11581382,1000093,2015/1/15 20:01,78,A76396,44064606,男,1994,2013,本科,公共浴室一,2007/7/6
11628088,1000093,2014/11/9 21:11,194,D77719,81025503,男,1995,2013,本科,公共浴室一,2007/7/6
1274185,1000095,2014/9/17 19:25,32,E40634,34179401,女,1985,2011,博士,独立浴室,2007/7/6
10027439,1000091,2014/10/3 18:42,20,D74175,19063648,女,1995,2013,本科,公共浴室二,2007/7/6
213268,1000095,2014/10/27 21:56,124,C72988,27126911,男,1981,2011,博士,独立浴室,2007/7/6
961445,1000095,2015/1/4 20:54,48,A70809,12071039,男,1996,2014,本科,独立浴室,2007/7/6
11053348,1000092,2014/11/3 21:09,200,E69292,21071281,男,1996,2014,本科,公共浴室三,2007/7/6
11727111,1000093,2014/11/19 18:44,112,A42275,65011546,女,1993,2011,本科,公共浴室一,2007/7/6
10139338,1000091,2015/1/6 22:01,168,E61076,28062866,男,1994,2012,本科,公共浴室二,2007/7/6
424989,1000095,2014/11/14 22:35,40,D64394,68162194,女,1990,2013,硕士,独立浴室,2007/7/6
11839323,1000093,2014/10/13 19:10,70,D66010,61159408,男,1991,2014,硕士,公共浴室一,2007/7/6
1262589,1000095,2014/11/26 9:17,200,D75252,36159459,女,1992,2014,硕士,独立浴室,2007/7/6
770863,1000095,2014/11/25 17:17,185,E62699,37162904,女,1989,2012,硕士,独立浴室,2007/7/6
10965626,1000092,2014/10/22 20:43,14,D69208,64062124,男,1996,2014,本科,公共浴室三,2007/7/6
11873174,1000093,2014/12/12 20:58,200,C46754,83043412,女,1993,2011,本科,公共浴室一,2007/7/6
10976806,1000092,2014/12/21 16:32,200,D53204,22021477,男,1995,2014,本科,公共浴室三,2007/7/6
301497,1000095,2014/9/9 18:44,78,C62197,13160345,男,1991,2012,博士,独立浴室,2007/7/6
249645,1000095,2014/10/24 22:33,24,D70886,89112894,男,1990,2013,硕士,独立浴室,2007/7/6
10294061,1000091,2014/12/20 17:09,8,B73290,76017092,女,1995,2014,本科,公共浴室二,2007/7/6
11803404,1000093,2014/11/4 18:31,20,B79443,37064834,女,1996,2014,本科,公共浴室一,2007/7/6
10312678,1000091,2014/10/18 21:27,200,D55611,46052768,女,1993,2012,本科,公共浴室二,2007/7/6
1224307,1000095,2014/12/23 16:44,66,C29524,72075272,女,1996,2014,本科,独立浴室,2007/7/6
10172714,1000091,2014/10/30 21:58,120,B66726,75058388,男,1993,2012,本科,公共浴室二,2007/7/6
10052541,1000091,2014/10/6 20:00,26,A59322,55002197,男,1995,2013,本科,公共浴室二,2007/7/6
192258,1000095,2014/10/14 8:20,24,C77798,36149071,男,1989,2012,博士,独立浴室,2007/7/6
831369,1000095,2014/11/13 20:06,35,D65559,64162862,女,1991,2013,硕士,独立浴室,2007/7/6
644952,1000095,2014/12/5 8:40,14,C52807,61148449,男,1991,2013,硕士,独立浴室,2007/7/6
3184,1000095,2014/10/15 22:23,1,C77143,59173148,女,1989,2013,博士,独立浴室,2007/7/6
579485,1000095,2014/9/21 1:12,54,A40229,81149196,男,1989,2012,博士,独立浴室,2007/7/6
11776144,1000093,2014/10/8 18:29,12,A69165,73051984,女,1993,2011,本科,公共浴室一,2007/7/6
10913052,1000092,2014/10/10 17:00,200,E61341,82059000,女,1995,2013,本科,公共浴室三,2007/7/6
516899,1000095,2014/9/23 22:51,150,A60987,73128839,男,1989,2013,博士,独立浴室,2007/7/6
1061366,1000095,2014/10/20 21:23,54,E63354,93115659,男,1993,2014,硕士,独立浴室,2007/7/6
941061,1000095,2014/11/5 13:31,91,A33697,88148567,女,1990,2013,硕士,独立浴室,2007/7/6
509176,1000095,2015/1/12 1:42,73,A58886,93140998,男,1985,2012,博士,独立浴室,2007/7/6
205483,1000095,2014/9/9 21:35,12,E28061,37140968,女,1989,2012,硕士,独立浴室,2007/7/6
1210465,1000095,2014/11/25 21:36,200,B71359,41159308,男,1991,2014,博士,独立浴室,2007/7/6
782223,1000095,2014/10/17 1:28,22,A28084,63129175,女,1988,2012,硕士,独立浴室,2007/7/6
496741,1000095,2014/9/14 22:35,200,C56484,98122695,男,1990,2013,硕士,独立浴室,2007/7/6
741467,1000095,2015/1/10 21:09,62,A51825,44148919,男,1991,2013,硕士,独立浴室,2007/7/6
11060722,1000092,2014/9/14 21:47,54,E43022,81167033,女,1991,2014,硕士,公共浴室三,2007/7/6
1112900,1000095,2015/1/3 16:59,12,D78612,72055333,男,1995,2014,本科,独立浴室,2007/7/6
1183667,1000095,2014/12/31 20:02,48,B51325,87160622,男,1991,2014,硕士,独立浴室,2007/7/6
10174608,1000091,2014/11/26 17:12,56,B38775,72013484,女,1992,2010,本科,公共浴室二,2007/7/6
762551,1000095,2014/12/8 20:06,46,C39731,83161179,女,1988,2012,硕士,独立浴室,2007/7/6
10983178,1000092,2014/11/30 20:53,184,E72341,61055174,女,1996,2014,本科,公共浴室三,2007/7/6
10341061,1000091,2014/11/8 17:14,200,B77915,47010569,女,1994,2012,本科,公共浴室二,2007/7/6
11851242,1000093,2014/9/28 18:14,54,A70614,83056819,男,1993,2011,本科,公共浴室一,2007/7/6
11066990,1000092,2015/1/15 20:36,38,E32411,36131892,女,1992,2014,硕士,公共浴室三,2007/7/6
10956117,1000092,2014/11/30 19:46,200,E41723,13099888,男,1996,2014,本科,公共浴室三,2007/7/6
11641143,1000093,2014/9/24 20:37,30,D31820,15065663,男,1995,2013,本科,公共浴室一,2007/7/6
11870790,1000093,2015/1/12 18:16,94,B44793,29159063,男,1993,2014,硕士,公共浴室一,2007/7/6
801866,1000095,2014/12/15 21:18,200,B77601,52173325,女,1989,2010,博士,独立浴室,2007/7/6
10123900,1000091,2014/11/17 16:15,74,D72436,28008346,男,1993,2012,本科,公共浴室二,2007/7/6
530911,1000095,2014/12/27 10:50,112,E15110,67183160,男,1990,2012,硕士,独立浴室,2007/7/6
935127,1000095,2014/12/26 22:22,4,E50953,14000438,男,1994,2013,本科,独立浴室,2007/7/6
10925402,1000092,2014/12/5 22:04,112,B40312,47063187,男,1993,2012,本科,公共浴室三,2007/7/6
610844,1000095,2014/9/23 21:45,163,A64378,63118455,男,1990,2013,硕士,独立浴室,2007/7/6
214919,1000095,2014/10/5 1:05,36,B74283,77182661,男,1991,2013,硕士,独立浴室,2007/7/6
10922936,1000092,2014/9/30 20:42,164,B77818,31067625,女,1995,2013,本科,公共浴室三,2007/7/6
11686899,1000093,2014/9/5 22:13,22,B45047,78025973,男,1993,2013,本科,公共浴室一,2007/7/6
964372,1000095,2014/12/26 20:56,100,B62319,16021230,男,1996,2014,本科,独立浴室,2007/7/6
142613,1000095,2015/1/20 22:40,200,E50697,82171663,女,1992,2012,硕士,独立浴室,2007/7/6
88214,1000095,2014/10/7 1:10,33,B38649,19161344,女,1991,2012,硕士,独立浴室,2007/7/6
11661588,1000093,2015/1/11 17:26,200,E60895,35051340,女,1995,2013,本科,公共浴室一,2007/7/6
1292739,1000095,2015/1/20 10:54,150,C44078,69128476,女,1987,2014,博士,独立浴室,2007/7/6
11873740,1000093,2015/1/5 17:22,68,B27159,51067613,女,1996,2014,本科,公共浴室一,2007/7/6
27301,1000095,2015/1/17 14:29,126,A54122,19055776,男,1996,2013,本科,独立浴室,2007/7/6
594489,1000095,2014/12/24 1:18,200,C76953,74167513,女,1989,2012,硕士,独立浴室,2007/7/6
10261470,1000091,2014/11/17 20:23,142,A62065,32056249,女,1996,2014,本科,公共浴室二,2007/7/6
