年份,常住人口,年末户籍人口,废水排放总量,废水化学需氧量排放总量 ,污水处理厂座数,垃圾产生量,清运粪便,住宅投资额,上海市生产总值,一般公共预算支出,普通高等学校,获博士学位人数,获硕士学位人数,职工平均工资
1995, 1 414.00, 1 301.37,  22.45,  11.61,17,  668,  216,  433.76, 2 518.08,  267.89,  14.41,  606, 2 742, 9 279
1996, 1 451.00, 1 304.43,  22.85,  11.41,20,  736,  217,  466.99, 2 980.75,  342.66,  14.79,  627, 3 233, 10 663
1997, 1 489.00, 1 305.46,  21.10,  9.99,22,  755,  227,  458.22, 3 465.28,  428.92,  15.38,  890, 3 585, 11 425
1998, 1 527.00, 1 306.58,  20.81,  9.00,22,  824,  218,  404.96, 3 831.00,  480.70,  16.51, 1 090, 3 552, 12 059
1999, 1 567.00, 1 313.12,  20.28,  8.52,22,  767,  172,  378.82, 4 222.30,  546.38,  18.63, 1 323, 4 288, 14 147
2000, 1 608.60, 1 321.63,  19.37,  7.25,27,  858,  256,  443.90, 4 812.15,  622.84,  22.68, 1 307, 4 546, 15 420
2001, 1 668.33, 1 327.14,  19.50,  6.80,26,  901,  219,  466.71, 5 257.66,  726.38,  28.00, 1 487, 5 330, 17 764
2002, 1 712.97, 1 334.23,  19.21,  6.49,27,  760,  238,  584.51, 5 795.02,  877.84,  33.16, 1 655, 6 067, 19 473
2003, 1 765.84, 1 341.77,  18.22,  6.11,30,  800,  251,  694.30, 6 762.38, 1 102.64,  37.85, 1 994, 7 683, 22 160
2004, 1 834.98, 1 352.39,  19.34,  5.64,37,  802,  258,  922.61, 8 165.38, 1 395.69,  41.57, 2 678, 10 580, 24 398
2005, 1 890.26, 1 360.26,  19.97,  5.11,42,  777,  254,  936.36, 9 365.54, 1 660.32,  44.26, 3 119, 13 245, 26 823
2006, 1 964.11, 1 368.08,  22.37,  4.83,43,  805,  247,  854.15, 10 718.04, 1 813.80,  46.63, 3 772, 15 957, 29 569
2007, 2 063.58, 1 378.86,  22.66,  4.76,45,  852,  232,  853.13, 12 668.12, 2 201.92,  48.49, 4 355, 19 250, 34 707
2008, 2 140.65, 1 391.04,  22.60,  4.41,47,  841,  220,  871.52, 14 275.80, 2 617.68,  50.29, 4 483, 20 734, 39 502
2009, 2 210.28, 1 400.70,  23.05,  4.12,51,  870,  221,  922.81, 15 285.58, 2 989.65,  51.28, 4 661, 23 622, 42 789
2010, 2 302.66, 1 412.32,  24.82,  3.67,52,  890,  201, 1 232.96, 17 433.21, 3 302.89,  51.57, 4 749, 23 458, 46 757
2011, 2 347.46, 1 419.36,  19.86,  4.46,53, 1 142,  207, 1 403.13, 19 533.84, 3 914.88,  51.13, 4 610, 25 568, 51 968
2012, 2 380.43, 1 426.93,  22.05,  4.77,53, 11 728,  200, 1 457.64, 20 553.52, 4 184.02,  50.66, 4 913, 29 270, 56 300
2013, 2 415.15, 1 432.34,  22.30,  4.54,53, 13 716,  222, 1 626.95, 22 257.66, 4 528.61,  50.48, 5 077, 30 311, 60 435
2014, 2 425.68, 1 438.69,  22.12,  4.39,53, 15 135,  200, 1 730.81, 24 060.87, 5 182.65,  50.66, 4 516, 32 056, 65 417
2015, 2 415.27, 1 442.97,  22.41,  4.69,53, 10 755,  173, 1 822.73, 25 643.47, 6 191.56,  51.16, 4 490, 33 378, 71 268
2016, 2 419.70, 1 450.00,  22.08,  3.66,53, 7 796,  160, 1 979.85, 28 178.65, 6 918.94,  51.47, 5 009, 34 724, 78 045
