设备号,统计日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号
10001,20170702,精彩点,寄生兽(高清),2017/7/1 22:08,2017/7/2 0:08,10853
10001,20170702,精彩点,寄生兽(高清)(经典传奇漫画改编之作),2017/7/1 22:08,2017/7/2 0:08,10853
10001,20170716,精彩点,樱之味：舌尖上的日本(01)(高清),2017/7/16 22:04,2017/7/16 22:39,10853
10001,20170716,精彩点,06月16日 奔跑吧：热巴林依晨变暴力姐妹花(高清),2017/7/16 19:23,2017/7/16 20:49,10853
10001,20170716,精彩点,樱之味：舌尖上的日本(02)(高清),2017/7/16 22:39,2017/7/16 23:10,10853
10001,20170719,今日上线,超时空男臣(01),2017/7/19 19:20,2017/7/19 20:02,10853
10001,20170722,精彩点,超时空男臣(02),2017/7/22 21:26,2017/7/22 21:27,10853
10001,20170722,精彩点,超时空男臣(02),2017/7/22 19:28,2017/7/22 20:10,10853
10001,20170722,精彩点,07月09日 极限挑战 第三季：孙红雷智斗大妈 张艺兴进化小狐狸(高清),2017/7/22 21:28,2017/7/22 23:02,10853
10001,20170723,精彩点,热浪球爱战(高清),2017/7/23 0:38,2017/7/23 0:46,10853
10001,20170723,精彩点,热浪球爱战(高清)(比基尼嫩模沙滩肉搏),2017/7/23 0:38,2017/7/23 0:46,10853
10001,20170725,精彩点,超时空男臣(05),2017/7/25 19:43,2017/7/25 20:21,10853
10001,20170725,精彩点,超时空男臣(04),2017/7/25 19:00,2017/7/25 19:43,10853
10001,20170725,精彩点,超时空男臣(03),2017/7/25 18:55,2017/7/25 19:00,10853
10001,20170727,精彩点,舌尖上的中国Ⅱ？心传(高清),2017/7/27 20:24,2017/7/27 21:13,10853
10001,20170727,精彩点,舌尖上的中国Ⅱ？时节(高清),2017/7/27 20:19,2017/7/27 20:24,10853
10001,20170829,精彩点,味道中国(高清),2017/8/29 19:49,2017/8/29 20:34,10853
10001,20170829,精彩点,味道中国(高清)(“后舌尖时代”的味觉表达),2017/8/29 19:49,2017/8/29 20:34,10853
10001,20170829,精彩点,味道中国(高清)(“后舌尖时代”的味觉表达),2017/8/29 20:34,2017/8/29 21:32,10853
10001,20170829,精彩点,味道中国(高清),2017/8/29 20:34,2017/8/29 21:32,10853
10001,20170830,热点专题,穿越时空的少女(高清),2017/8/30 20:57,2017/8/30 21:00,10853
10001,20170830,热点专题,蜡笔小新：梦境世界大突击(高清),2017/8/30 21:00,2017/8/30 22:20,10853
10001,20170830,热点专题,穿越时空的少女(高清)(小清新动漫的极致),2017/8/30 20:57,2017/8/30 21:00,10853
10001,20170830,热点专题,蜡笔小新：梦境世界大突击(高清)(搞笑萌贱依旧),2017/8/30 21:00,2017/8/30 22:20,10853
10001,20170830,精彩点,霍比特人：五军之战(高清)(魔幻最终一役),2017/8/29 22:00,2017/8/30 0:31,10853
10001,20170830,精彩点,霍比特人：五军之战(调字幕)(高清),2017/8/29 22:00,2017/8/30 0:31,10853
10001,20170831,热点专题,勇者传说(高清),2017/8/30 22:20,2017/8/31 0:09,10853
10001,20170831,院线大片,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),2017/8/31 21:38,2017/8/31 22:19,10853
10001,20170831,热点专题,青衣小怪物,2017/8/31 20:26,2017/8/31 21:25,10853
10001,20170831,热点专题,勇者传说(高清)(新扎勇士的魔幻旅途),2017/8/30 22:20,2017/8/31 0:09,10853
10001,20170831,热点专题,青衣小怪物(K隆星人寄住地球),2017/8/31 20:26,2017/8/31 21:25,10853
10001,20170831,院线大片,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),2017/8/31 21:30,2017/8/31 21:36,10853
10001,20170903,今日上线,与君相恋100次(高清)(Miwa&坂口健太郎真人版《你的名字》),2017/9/3 19:46,2017/9/3 20:19,10853
10001,20170903,今日上线,与君相恋100次(高清)(Miwa&坂口健太郎真人版《你的名字》),2017/9/3 20:19,2017/9/3 20:21,10853
10004,20170803,精彩点,07月30日 极限挑战 第三季：孙红雷脸基尼抢镜(高清),2017/8/3 22:04,2017/8/3 22:10,10886
10004,20170803,精彩点,07月30日 极限挑战 第三季：孙红雷脸基尼抢镜(高清),2017/8/3 22:10,2017/8/3 23:44,10886
10010,20170717,精彩点,我的前半生(03)(高清),2017/7/17 12:11,2017/7/17 12:53,11021
10010,20170717,精彩点,我的前半生(02)(高清),2017/7/17 11:23,2017/7/17 12:10,11021
10010,20170717,精彩点,我的前半生(01)(高清),2017/7/17 10:38,2017/7/17 11:23,11021
10010,20170718,精彩点,我的前半生(11)(高清),2017/7/18 11:45,2017/7/18 12:26,11021
10010,20170718,精彩点,我的前半生(09)(高清),2017/7/18 10:57,2017/7/18 11:45,11021
10010,20170719,精彩点,我的前半生(16)(高清),2017/7/19 9:49,2017/7/19 10:31,11021
10010,20170719,精彩点,我的前半生(18)(高清),2017/7/19 11:03,2017/7/19 11:21,11021
10010,20170719,精彩点,我的前半生(17)(高清),2017/7/19 10:31,2017/7/19 11:03,11021
10010,20170719,精彩点,我的前半生(13)(高清),2017/7/19 9:40,2017/7/19 9:49,11021
10010,20170719,精彩点,我的前半生(19)(高清),2017/7/19 11:21,2017/7/19 12:44,11021
10010,20170719,精彩点,我的前半生(20)(高清),2017/7/19 12:44,2017/7/19 13:25,11021
10010,20170722,精彩点,07月14日 中国新歌声 第二季：杰伦Eason对唱(高清),2017/7/22 10:11,2017/7/22 10:50,11021
10010,20170724,精彩点,我们的少年时代(26)(高清),2017/7/24 15:48,2017/7/24 15:52,11021
10010,20170724,精彩点,我们的少年时代(26)(高清),2017/7/24 16:04,2017/7/24 20:08,11021
10010,20170817,精彩点,08月11日 天天向上：张若昀为长沙美食打call(高清),2017/8/17 20:55,2017/8/17 20:56,11021
10010,20170827,精彩点,03月31日 王牌对王牌 第二季：王源林俊杰隔空互动(高清),2017/8/27 21:30,2017/8/27 21:31,11021
10010,20170829,精彩点,人间至味是清欢(04)(高清),2017/8/29 21:04,2017/8/29 21:13,11021
10010,20170831,精彩点,08月15日 爱情保卫战：我受够了这种无声的生活(高清),2017/8/31 16:51,2017/8/31 17:38,11021
10010,20170831,精彩点,人间至味是清欢(05)(高清),2017/8/31 16:47,2017/8/31 16:51,11021
10010,20170831,精彩点,08月23日 爱情保卫战：男友瞒女友为女同事买包(高清),2017/8/31 17:38,2017/8/31 17:46,11021
10010,20170908,精彩点,10月15日 十二道锋味 第三季：谢霆锋守候极光 萧敬腾秒变雪孩子(高清),2017/9/8 9:12,2017/9/8 10:11,11021
10010,20170908,精彩点,十二道锋味 第三季：杨紫琼霆锋非洲惊险钓鲨鱼(高清),2017/9/8 10:11,2017/9/8 10:43,11021
10010,20170908,精彩点,十二道锋味 第三季：谢霆锋守候极光 萧敬腾秒变雪孩子(高清),2017/9/8 9:12,2017/9/8 10:11,11021
10013,20170715,精彩点,大军师司马懿之军师联盟(01)(高清),2017/7/15 21:32,2017/7/15 22:19,11075
10013,20170715,精彩点,大军师司马懿之军师联盟(02)(高清),2017/7/15 22:24,2017/7/15 23:08,11075
10013,20170716,精彩点,大军师司马懿之军师联盟(06)(高清),2017/7/16 11:50,2017/7/16 12:36,11075
10013,20170716,精彩点,大军师司马懿之军师联盟(08)(高清),2017/7/16 13:21,2017/7/16 19:49,11075
10013,20170716,精彩点,大军师司马懿之军师联盟(05)(高清),2017/7/16 11:06,2017/7/16 11:50,11075
10013,20170716,精彩点,大军师司马懿之军师联盟(03)(高清),2017/7/15 23:08,2017/7/16 0:18,11075
10013,20170716,精彩点,大军师司马懿之军师联盟(07)(高清),2017/7/16 12:36,2017/7/16 13:20,11075
10013,20170716,精彩点,大军师司马懿之军师联盟(04)(高清),2017/7/16 0:18,2017/7/16 11:05,11075
10013,20170717,精彩点,07月06日 贝肯熊(高清),2017/7/17 18:25,2017/7/17 18:42,11075
10013,20170717,精彩点,07月04日 贝肯熊(高清),2017/7/17 17:24,2017/7/17 17:58,11075
10013,20170717,精彩点,07月03日 贝肯熊(高清),2017/7/17 16:58,2017/7/17 17:23,11075
10013,20170717,精彩点,07月02日 贝肯熊(高清),2017/7/17 16:34,2017/7/17 16:57,11075
10013,20170717,精彩点,07月05日 贝肯熊(高清),2017/7/17 22:30,2017/7/17 22:56,11075
10013,20170717,精彩点,07月07日 贝肯熊(高清),2017/7/17 23:07,2017/7/17 23:31,11075
10013,20170717,精彩点,07月05日 贝肯熊(高清),2017/7/17 17:58,2017/7/17 18:25,11075
10013,20170717,精彩点,07月02日 贝肯熊(高清),2017/7/17 12:33,2017/7/17 16:34,11075
10013,20170717,精彩点,07月06日 贝肯熊(高清),2017/7/17 22:57,2017/7/17 23:06,11075
10013,20170717,精彩点,07月04日 贝肯熊(高清),2017/7/17 22:05,2017/7/17 22:30,11075
10013,20170717,精彩点,07月01日 贝肯熊(高清),2017/7/17 12:07,2017/7/17 12:32,11075
10013,20170718,精彩点,07月01日 贝肯熊(高清),2017/7/18 19:44,2017/7/18 20:09,11075
10013,20170718,精彩点,07月13日 贝肯熊(高清),2017/7/18 13:49,2017/7/18 14:14,11075
