用户号,设备号,点播日期,节目名称,点播金额,点播金额.元.,二级目录
10004,11186,20170716,【NEW】分裂(高清)(“一美”演绎24重人格，北美周末夺冠),999,9.99,院线大片
10004,11186,20170716,破冰船(高清)(冰山巨创海船危在旦夕),499,4.99,精彩点
10004,11186,20170818,【NEW】逆时营救(高清)(平行时空，变异互博),999,9.99,院线大片
10012,10149,20170702,幽游白书(101)(高清),99,0.99,动漫剧场
10012,10149,20170704,【NEW】蓝精灵：寻找神秘村(高清)(“蓝色娘子军”卖萌登场),999,9.99,院线大片
10012,10149,20170711,巧虎来啦(07),49,0.49,少儿乐园
10012,10149,20170903,海底小纵队(29)(高清),99,0.99,动漫剧场
10012,10149,20170910,【NEW】三生三世十里桃花(高清)(刘亦菲版“白浅”美出天际),999,9.99,院线大片
10012,10149,20170928,【NEW】银河护卫队2(高清)(漫威史上最佳续集，解星爵身世之谜),999,9.99,院线大片
10025,10114,20170901,海底小纵队(40)(高清),99,0.99,动漫剧场
10064,10645,20170806,人民的名义(37)(高清),99,0.99,精彩点
10064,10645,20170807,人民的名义(39)(高清),99,0.99,精彩点
10064,10645,20170807,人民的名义(38)(高清),99,0.99,精彩点
10082,11141,20170906,讲古：惠来海角甘泉,50,0.5,潮语专区
10082,11141,20170906,讲古：贼,50,0.5,潮语专区
10085,10452,20170808,【NEW】速度与激情8(高清)(雪地飙车，竞速潜艇),999,9.99,院线大片
10088,11234,20170807,血狼犬(高清)(狼犬大战震慑心灵),999,9.99,院线大片
10088,11234,20170811,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),999,9.99,院线大片
10089,10291,20170815,魔法俏佳人 第一季(02),499,4.99,少儿乐园
10089,10291,20170815,魔法俏佳人 第一季(04),499,4.99,少儿乐园
10089,10291,20170815,魔法俏佳人 第一季(05),499,4.99,少儿乐园
10089,10291,20170815,魔法俏佳人 第一季(03),499,4.99,少儿乐园
10104,10349,20170714,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),999,9.99,院线大片
10105,10785,20170707,猪猪侠：光明守卫者·上部(26)(高清),99,0.99,动漫剧场
10105,10785,20170708,猪猪侠：光明守卫者·上部(25)(高清),99,0.99,动漫剧场
10107,11259,20170827,同盟(05),99,0.99,精彩点
10107,11259,20170827,同盟(04),99,0.99,精彩点
10107,11259,20170828,同盟(06),99,0.99,精彩点
10107,11259,20170828,同盟(09),99,0.99,精彩点
10107,11259,20170828,同盟(07),99,0.99,精彩点
10107,11259,20170828,同盟(11),99,0.99,精彩点
10107,11259,20170828,同盟(10),99,0.99,精彩点
10107,11259,20170828,同盟(08),99,0.99,精彩点
10115,11179,20170813,巧虎来啦(15),49,0.49,少儿乐园
10115,11179,20170813,08月09日 智慧树,49,0.49,少儿乐园
10115,11179,20170813,08月10日 智慧树,49,0.49,少儿乐园
10115,11179,20170813,08月01日 七巧板,49,0.49,少儿乐园
10115,11179,20170919,曹格演唱会(高清),199,1.99,热门影视
10129,11001,20170725,胜利的游戏 第一季：曹云金吐槽假脸李小璐(高清),99,0.99,热门影视
10129,11001,20170726,屌丝男士 第二季(03)(高清),99,0.99,热门影视
10129,11001,20170818,【NEW】银河护卫队2(高清)(漫威史上最佳续集，解星爵身世之谜),999,9.99,院线大片
10129,11001,20170820,长城(高清)(鹿晗“回眸杀”，小怂兵逆袭),999,9.99,院线大片
10131,10630,20170830,我的前半生(01)(高清),99,0.99,精彩点
10131,10630,20170830,我的前半生(03)(高清),99,0.99,精彩点
10131,10630,20170830,我的前半生(02)(高清),99,0.99,精彩点
10131,10630,20170831,我的前半生(08)(高清),99,0.99,精彩点
10131,10630,20170831,我的前半生(04)(高清),99,0.99,精彩点
10131,10630,20170831,我的前半生(06)(高清),99,0.99,精彩点
10131,10630,20170831,我的前半生(05)(高清),99,0.99,精彩点
10131,10630,20170910,我的前半生(20)(高清),99,0.99,精彩点
10131,10630,20170910,我的前半生(13)(高清),99,0.99,精彩点
10131,10630,20170910,我的前半生(09)(高清),99,0.99,精彩点
10131,10630,20170910,我的前半生(21)(高清),99,0.99,精彩点
10131,10630,20170910,我的前半生(19)(高清),99,0.99,精彩点
10131,10630,20170911,我的前半生(26)(高清),99,0.99,精彩点
10131,10630,20170911,我的前半生(22)(高清),99,0.99,精彩点
10131,10630,20170911,我的前半生(25)(高清),99,0.99,精彩点
10131,10630,20170911,我的前半生(24)(高清),99,0.99,精彩点
10131,10630,20170911,我的前半生(23)(高清),99,0.99,精彩点
10131,10630,20170912,我的前半生(28)(高清),99,0.99,精彩点
10131,10630,20170912,我的前半生(27)(高清),99,0.99,精彩点
10131,10630,20170913,我的前半生(30)(高清),99,0.99,精彩点
10131,10630,20170913,我的前半生(31)(高清),99,0.99,精彩点
10131,10630,20170913,我的前半生(29)(高清),99,0.99,精彩点
10131,10630,20170915,欢乐颂2(12)(高清),99,0.99,精彩点
10131,10630,20170917,欢乐颂2(13)(高清),99,0.99,精彩点
10131,10630,20170921,欢乐颂2(28)(高清),99,0.99,精彩点
10131,10630,20170921,使徒行者2(01),99,0.99,精彩点
10131,10630,20170922,欢乐颂2(31)(高清),99,0.99,精彩点
10131,10630,20170924,欢乐颂2(39)(高清),99,0.99,精彩点
10133,11053,20170706,精灵梦叶罗丽(10),49,0.49,动漫剧场
10133,11053,20170706,精灵梦叶罗丽3(02)(高清),99,0.99,动漫剧场
10133,11053,20170711,精灵梦叶罗丽2(17)(高清),99,0.99,动漫剧场
10133,11053,20170712,精灵梦叶罗丽2(10)(高清),99,0.99,动漫剧场
10133,11053,20170712,精灵梦叶罗丽2(09)(高清),99,0.99,动漫剧场
10133,11053,20170717,精灵梦叶罗丽2(04)(高清),99,0.99,动漫剧场
10133,11053,20170717,精灵梦叶罗丽2(05)(高清),99,0.99,动漫剧场
10133,11053,20170717,精灵梦叶罗丽2(03)(高清),99,0.99,动漫剧场
10133,11053,20170718,精灵梦叶罗丽2(06)(高清),99,0.99,动漫剧场
10133,11053,20170903,07月02日 小花仙,49,0.49,精彩点
10133,11053,20170903,07月01日 小花仙,49,0.49,精彩点
10133,11053,20170915,镇魂街 第一季(16)(高清),99,0.99,热门影视
10133,11053,20170915,【NEW】雄狮(国语版)(高清)(奥斯卡六项提名，“平民窟”男主寻亲路),999,9.99,院线大片
10133,11053,20170917,爱丽丝梦游仙境(高清)(唯美华丽的梦幻国度),499,4.99,热点专题
10138,10058,20170708,巧虎来啦(13),49,0.49,少儿乐园
10138,10058,20170708,巧虎来啦(15),49,0.49,少儿乐园
10138,10058,20170708,05月05日 快乐大巴,49,0.49,少儿乐园
10138,10058,20170708,巧虎来啦(14),49,0.49,少儿乐园
10138,10058,20170708,小猪佩奇 第三季(26),499,4.99,少儿乐园
10138,10058,20170709,巧虎来啦(11),49,0.49,少儿乐园
10138,10058,20170709,托马斯和他的朋友们 第十五季(20),499,4.99,少儿乐园
10138,10058,20170709,巧虎来啦(12),49,0.49,少儿乐园
10138,10058,20170709,小猪佩奇 第三季(03),499,4.99,少儿乐园
10138,10058,20170709,小猪佩奇 第三季(25),499,4.99,少儿乐园
10138,10058,20170710,巧虎来啦(10),49,0.49,少儿乐园
10138,10058,20170710,小猪佩奇 第四季(26),499,4.99,少儿乐园
10138,10058,20170713,巧虎来啦(09),49,0.49,少儿乐园
10138,10058,20170715,巧虎来啦(08),49,0.49,少儿乐园
10138,10058,20170715,小猪佩奇 第三季(24),499,4.99,少儿乐园
10138,10058,20170716,巧虎来啦(07),49,0.49,少儿乐园
10138,10058,20170716,小猪佩奇 第三季(23),499,4.99,少儿乐园
10138,10058,20170719,生化危机：终章(高清)(集结最强，战力升级),999,9.99,院线大片
10138,10058,20170722,超级飞侠3(20)(高清),99,0.99,动漫剧场
10138,10058,20170723,【NEW】摔跤吧！爸爸(高清)(燃中带泪！三傻男主再出高分神片),999,9.99,院线大片
10138,10058,20170723,巧虎来啦(04),49,0.49,少儿乐园
10138,10058,20170727,巧虎来啦(11),49,0.49,少儿乐园
10138,10058,20170731,巧虎来啦(15),49,0.49,少儿乐园
10138,10058,20170731,巧虎来啦(12),49,0.49,少儿乐园
10138,10058,20170801,巧虎来啦(14),49,0.49,少儿乐园
10138,10058,20170801,小猪佩奇 第三季(26),499,4.99,少儿乐园
10138,10058,20170804,【NEW】女间谍(高清)(“火辣尤物”爆笑救场),999,9.99,院线大片
10138,10058,20170807,【NEW】美好的意外(高清)(桂纶镁遇陈坤“性情大变”),999,9.99,院线大片
10138,10058,20170807,【NEW】速度与激情8(高清)(雪地飙车，竞速潜艇),999,9.99,院线大片
10138,10058,20170808,巧虎来啦(13),49,0.49,少儿乐园
10138,10058,20170808,巧虎来啦(12),49,0.49,少儿乐园
10138,10058,20170810,巧虎来啦(11),49,0.49,少儿乐园
10138,10058,20170813,托马斯和他的朋友们 第十五季(20),499,4.99,少儿乐园
