设备号,统计时间,用户号,频道,回看开始时间,回看结束时间,回看时长.时.
10001,20170723,10853,东方卫视-高清,2017/7/22 23:02,2017/7/23 0:38,0.6417
10001,20170723,10853,东方卫视-高清,2017/7/22 23:02,2017/7/23 0:38,0.9511
10004,20170713,10886,北京卫视-高清,2017/7/12 22:11,2017/7/13 7:48,2
10004,20170713,10886,北京卫视-高清,2017/7/12 22:11,2017/7/13 7:48,2
10004,20170713,10886,北京卫视-高清,2017/7/12 22:11,2017/7/13 7:48,1.8083
10004,20170713,10886,北京卫视-高清,2017/7/12 22:11,2017/7/13 7:48,1.8019
10004,20170713,10886,北京卫视-高清,2017/7/12 22:11,2017/7/13 7:48,2
10004,20170813,10886,中央6台-高清,2017/8/13 13:01,2017/8/13 15:03,1.0656
10004,20170813,10886,中央6台-高清,2017/8/13 13:01,2017/8/13 15:03,0.9822
10004,20170903,10886,深圳卫视-高清,2017/9/3 21:28,2017/9/3 22:04,0.0739
10004,20170903,10886,深圳卫视-高清,2017/9/3 21:28,2017/9/3 22:04,0.5311
10004,20170923,10886,东方卫视-高清,2017/9/23 22:52,2017/9/23 23:27,0.5792
10004,20170924,10886,东方卫视-高清,2017/9/24 11:25,2017/9/24 12:06,0.1067
10004,20170924,10886,东方卫视-高清,2017/9/24 11:25,2017/9/24 12:06,0.5756
10004,20170924,10886,东方卫视-高清,2017/9/24 11:08,2017/9/24 11:25,0.2753
10004,20170924,10886,东方卫视-高清,2017/9/24 11:06,2017/9/24 11:07,0.0258
10004,20170924,10886,东方卫视-高清,2017/9/24 0:41,2017/9/24 1:11,0.4967
10004,20170924,10886,东方卫视-高清,2017/9/24 0:04,2017/9/24 0:41,0.6106
10004,20170924,10886,东方卫视-高清,2017/9/23 23:27,2017/9/24 0:04,0.5483
10004,20170924,10886,东方卫视-高清,2017/9/23 23:27,2017/9/24 0:04,0.0825
10004,20170925,10886,东方卫视-高清,2017/9/25 21:35,2017/9/25 22:12,0.4117
10004,20170925,10886,东方卫视-高清,2017/9/25 21:35,2017/9/25 22:12,0.2033
10004,20170925,10886,东方卫视-高清,2017/9/25 22:12,2017/9/25 22:34,0.3661
10004,20170926,10886,东方卫视-高清,2017/9/26 22:18,2017/9/26 22:20,0.0297
10004,20170926,10886,东方卫视-高清,2017/9/26 22:20,2017/9/26 23:16,0.9242
10004,20170926,10886,东方卫视-高清,2017/9/25 22:34,2017/9/26 7:19,1.4311
10004,20170926,10886,东方卫视-高清,2017/9/25 22:34,2017/9/26 7:19,1.325
10004,20170926,10886,东方卫视-高清,2017/9/25 22:34,2017/9/26 7:19,2
10004,20170926,10886,东方卫视-高清,2017/9/25 22:34,2017/9/26 7:19,2
10004,20170926,10886,东方卫视-高清,2017/9/25 22:34,2017/9/26 7:19,2
10004,20170927,10886,东方卫视-高清,2017/9/27 0:00,2017/9/27 0:41,0.6875
10004,20170927,10886,东方卫视-高清,2017/9/26 23:18,2017/9/27 0:00,0.6883
