用户号,业务品牌,用户状态,状态改变时间,预存款,套餐,销售品,资费,入网时间,销售品生效时间,销售品失效时间,机顶盒编号
11183,互动电视,正常        ,20160718,120,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160718,20160718,20500101,11284
10830,互动电视,正常        ,20160119,0,,互动标准包,互动标准包-包月-26.5元,20160119,20170301,20500101,10980
10073,互动电视,正常        ,20141122,1,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130704,20130704,20500101,10551
10536,互动电视,正常        ,20140630,0,乐惠套餐-12M-2年-1880,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140630,20140630,20500101,10716
10082,互动电视,正常        ,20130711,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130711,20130711,20500101,11141
10783,互动电视,正常        ,20170125,0,乐惠套餐-15M-1年-1180元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20151230,20151230,20500101,10524
10381,互动电视,正常        ,20160123,1,[13年底促销]6M融合套餐1(互动+宽带),[互动+宽带]互动(26.5元/月)-捆绑200元增值费,[互动+宽带]互动(26.5元/月)-捆绑200元增值费(资费),20131213,20131213,20500101,10167
11188,互动电视,正常        ,20161228,0,,互动标准包(副卡),互动标准包(副卡)-388购机-包月-26.5元,20161228,20161228,20500101,10639
10546,互动电视,正常        ,20141004,64.27,乐惠套餐-12M-1年-1180,互动+联合宽带-380购机,互动+联合宽带-包月-26.5元-380购机,20141004,20141004,20500101,11263
10543,互动电视,正常        ,20140927,50.84,,互动600-捆快乐点2年-送12M体验,互动标准包-600预存-26.5元-捆快乐点2年-送15M体验 ,20140927,20140927,20500101,11201
11028,互动电视,正常        ,20160530,60,,互动59元包-600预存,互动59元包-600预存,20160530,20160530,20500101,11116
10274,互动电视,正常        ,20131007,0,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20131007,20131007,20500101,10479
11323,互动电视,正常        ,20160509,60,乐惠套餐-25M-包月-109元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160509,20160509,20500101,11060
10435,互动电视,正常        ,20171029,270,乐惠套餐-8M-包月-69元-预存600元,互动+联合宽带-49元-月享,互动+联合宽带-49元-月享,20140118,20161201,20500101,10020
10003,互动电视,正常        ,20090228,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20070729,20160131,20500101,10198
10191,互动电视,正常        ,20130908,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130908,20130908,20500101,11213
10822,互动电视,正常        ,20160114,0,乐惠套餐-25M-3年-2380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20160114,20160114,20500101,10678
10902,互动电视,正常        ,20160220,0,,互动标准包-688购机-送快乐点半年(到期顺延),互动标准包-包月-26.5元-688购机-送快乐点半年(到期顺延),20160220,20160220,20500101,11041
10207,互动电视,正常        ,20130913,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130913,20150101,20500101,10502
10206,互动电视,正常        ,20130913,0,6M融合套餐1(互动+宽带),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还),[互动+宽带6M]互动(26.5元/月)-捆时移回看(前三个月返还)(资费),20130913,20130913,20500101,10744
10208,互动电视,正常        ,20130913,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130913,20150101,20500101,10727
10700,互动电视,正常        ,20150825,0,乐惠套餐-25M-1年-1380元(C),互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20150825,20150825,20500101,10946
10440,互动电视,正常        ,20140113,132,,互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天),互动电视预存600入网(26.5元/月)-捆绑快乐点2年(含6M体验30天)(资费),20140113,20140113,20500101,10688
10597,互动电视,正常        ,20141231,25,,互动标准包-600购机-送快乐点2年-12M体验,互动600购机-26.5元-送快乐点2年-送12M体验,20141231,20141231,20500101,10823
10566,互动电视,正常        ,20141128,0,,互动标准包-600购机-送快乐点2年,互动600购机-26.5元-送快乐点2年-送12M体验,20141128,20141128,20500101,10232
10157,互动电视,正常        ,20171007,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130826,20130826,20500101,11072
10530,互动电视,正常        ,20140531,0,乐惠套餐-6M-1年-980,互动+联合宽带-标准包,互动+联合宽带-包月-26.5元-280购机,20140531,20140531,20500101,10839
11151,互动电视,正常        ,20161122,265,乐惠套餐-15M-包月-89元-预存600元,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20161122,20161122,20500101,10515
10868,互动电视,正常        ,20170918,0,乐惠套餐-15M-包月-89元-预存1年费用,互动+联合宽带-59元包-月享,互动+联合宽带-59元包-月享,20160128,20160128,20500101,10242
11324,互动电视,正常        ,20160709,0,,互动39元包-租机,互动39元包-包月-租机,20160709,20160709,20500101,10285
10282,互动电视,正常        ,20131015,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20131015,20150101,20500101,11097
10280,互动电视,正常        ,20131011,0,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20131011,20131011,20500101,10597
10209,互动电视,正常        ,20140128,64.27,,互动标准包-600预存-送快乐点2年(到期停),互动600预存-26.5元-捆快乐点2年,20130913,20130913,20500101,10160
10210,互动电视,正常        ,20140128,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130913,20150101,20500101,10982
10179,互动电视,正常        ,20130905,0,6M融合套餐1(互动+宽带),互动49元包,互动49元包,20130905,20150901,20500101,10055
10180,互动电视,正常        ,20130905,0,,互动标准包(副卡),互动标准包(副卡)-包月-26.5元,20130905,20150101,20500101,10592
