ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
11830606,1000093,2014/12/9 21:42,42,D62604,87178904,男,1993,2014,硕士,公共浴室一,2007/7/6
11616614,1000093,2014/12/28 19:46,188,D71207,66024782,男,1994,2013,本科,公共浴室一,2007/7/6
11852486,1000093,2014/11/27 20:01,200,C65185,65081501,男,1993,2011,本科,公共浴室一,2007/7/6
11557294,1000093,2014/9/8 20:24,162,A24745,79102884,男,1994,2013,本科,公共浴室一,2007/7/6
11602439,1000093,2014/10/9 20:38,188,D72903,56099624,女,1995,2013,本科,公共浴室一,2007/7/6
11831161,1000093,2014/12/11 18:52,6,C69757,61064394,女,1993,2011,本科,公共浴室一,2007/7/6
11677690,1000093,2014/11/25 17:34,4,E72609,17062376,男,1992,2011,本科,公共浴室一,2007/7/6
11581382,1000093,2015/1/15 20:01,78,A76396,44064606,男,1994,2013,本科,公共浴室一,2007/7/6
11628088,1000093,2014/11/9 21:11,194,D77719,81025503,男,1995,2013,本科,公共浴室一,2007/7/6
11727111,1000093,2014/11/19 18:44,112,A42275,65011546,女,1993,2011,本科,公共浴室一,2007/7/6
11839323,1000093,2014/10/13 19:10,70,D66010,61159408,男,1991,2014,硕士,公共浴室一,2007/7/6
11873174,1000093,2014/12/12 20:58,200,C46754,83043412,女,1993,2011,本科,公共浴室一,2007/7/6
11803404,1000093,2014/11/4 18:31,20,B79443,37064834,女,1996,2014,本科,公共浴室一,2007/7/6
11776144,1000093,2014/10/8 18:29,12,A69165,73051984,女,1993,2011,本科,公共浴室一,2007/7/6
11851242,1000093,2014/9/28 18:14,54,A70614,83056819,男,1993,2011,本科,公共浴室一,2007/7/6
11641143,1000093,2014/9/24 20:37,30,D31820,15065663,男,1995,2013,本科,公共浴室一,2007/7/6
11870790,1000093,2015/1/12 18:16,94,B44793,29159063,男,1993,2014,硕士,公共浴室一,2007/7/6
11686899,1000093,2014/9/5 22:13,22,B45047,78025973,男,1993,2013,本科,公共浴室一,2007/7/6
11661588,1000093,2015/1/11 17:26,200,E60895,35051340,女,1995,2013,本科,公共浴室一,2007/7/6
11873740,1000093,2015/1/5 17:22,68,B27159,51067613,女,1996,2014,本科,公共浴室一,2007/7/6
11847609,1000093,2015/1/12 16:39,62,A51642,55056764,男,1993,2011,本科,公共浴室一,2007/7/6
11682356,1000093,2014/12/15 21:56,10,C22554,55064822,男,1995,2013,本科,公共浴室一,2007/7/6
11829889,1000093,2014/9/14 21:22,24,D64990,16066429,男,1996,2014,本科,公共浴室一,2007/7/6
11681283,1000093,2014/12/30 20:56,130,D39040,13068156,男,1994,2013,本科,公共浴室一,2007/7/6
11762862,1000093,2014/10/10 21:18,56,C70497,41068258,女,1994,2012,本科,公共浴室一,2007/7/6
11787860,1000093,2014/11/9 20:20,200,B46597,18059726,男,1993,2011,本科,公共浴室一,2007/7/6
11559568,1000093,2014/12/16 19:44,86,D72035,83006024,女,1994,2013,本科,公共浴室一,2007/7/6
11840530,1000093,2014/12/7 22:02,200,A47418,28053379,女,1996,2014,本科,公共浴室一,2007/7/6
