ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
11017945,1000092,2014/11/7 17:49,30,E69964,38065771,男,1996,2014,本科,公共浴室三,2007/7/6
10972344,1000092,2014/9/14 21:35,200,D77240,32053756,女,1996,2014,本科,公共浴室三,2007/7/6
10953116,1000092,2014/11/24 20:54,168,C45872,38133487,女,1991,2014,硕士,公共浴室三,2007/7/6
10903096,1000092,2014/12/4 16:20,200,C50733,35102720,男,1994,2013,本科,公共浴室三,2007/7/6
10957594,1000092,2014/11/23 21:55,200,D60559,11065222,男,1996,2014,本科,公共浴室三,2007/7/6
11077535,1000092,2014/11/24 21:09,200,E46900,32105739,女,1993,2012,本科,公共浴室三,2007/7/6
11038380,1000092,2014/11/2 20:36,2,C66299,47067594,男,1995,2014,本科,公共浴室三,2007/7/6
11080771,1000092,2014/10/14 21:44,10,A57014,51170689,男,1990,2012,博士,公共浴室三,2007/7/6
11053348,1000092,2014/11/3 21:09,200,E69292,21071281,男,1996,2014,本科,公共浴室三,2007/7/6
10965626,1000092,2014/10/22 20:43,14,D69208,64062124,男,1996,2014,本科,公共浴室三,2007/7/6
10976806,1000092,2014/12/21 16:32,200,D53204,22021477,男,1995,2014,本科,公共浴室三,2007/7/6
10913052,1000092,2014/10/10 17:00,200,E61341,82059000,女,1995,2013,本科,公共浴室三,2007/7/6
11060722,1000092,2014/9/14 21:47,54,E43022,81167033,女,1991,2014,硕士,公共浴室三,2007/7/6
10983178,1000092,2014/11/30 20:53,184,E72341,61055174,女,1996,2014,本科,公共浴室三,2007/7/6
11066990,1000092,2015/1/15 20:36,38,E32411,36131892,女,1992,2014,硕士,公共浴室三,2007/7/6
10956117,1000092,2014/11/30 19:46,200,E41723,13099888,男,1996,2014,本科,公共浴室三,2007/7/6
10925402,1000092,2014/12/5 22:04,112,B40312,47063187,男,1993,2012,本科,公共浴室三,2007/7/6
10922936,1000092,2014/9/30 20:42,164,B77818,31067625,女,1995,2013,本科,公共浴室三,2007/7/6
11044622,1000092,2014/12/12 16:13,74,E69835,17115634,男,1991,2014,博士,公共浴室三,2007/7/6
11010992,1000092,2014/10/12 20:03,70,B71785,79042848,男,1996,2014,本科,公共浴室三,2007/7/6
10974787,1000092,2014/12/5 18:56,200,A73409,17067316,男,1995,2014,本科,公共浴室三,2007/7/6
11003335,1000092,2014/11/25 19:29,196,D38502,23059107,女,1995,2014,本科,公共浴室三,2007/7/6
10991321,1000092,2014/12/12 16:20,2,A79333,72051682,男,1996,2014,本科,公共浴室三,2007/7/6
10921072,1000092,2014/11/5 18:32,74,A45734,32173399,男,1990,2012,硕士,公共浴室三,2007/7/6
11002646,1000092,2014/12/18 16:14,164,B62314,13099703,男,1995,2014,本科,公共浴室三,2007/7/6
11004621,1000092,2014/10/31 21:01,200,B78863,91001892,女,1996,2014,本科,公共浴室三,2007/7/6
10983303,1000092,2014/9/13 21:45,114,D39106,49019704,男,1995,2014,本科,公共浴室三,2007/7/6
10921168,1000092,2014/12/18 21:41,200,B12919,27169294,男,1989,2012,硕士,公共浴室三,2007/7/6
11067270,1000092,2014/10/7 21:04,148,E74678,99022747,女,1996,2014,本科,公共浴室三,2007/7/6
