ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
10135926,1000091,2014/11/11 16:30,184,E73749,75055705,男,1994,2012,本科,公共浴室二,2007/7/6
10147300,1000091,2014/11/1 21:02,172,A74705,73050102,女,1995,2013,本科,公共浴室二,2007/7/6
10067067,1000091,2014/10/1 18:06,200,B73235,41011848,男,1994,2013,本科,公共浴室二,2007/7/6
10293464,1000091,2014/10/18 16:29,18,A68743,32183901,男,1990,2014,硕士,公共浴室二,2007/7/6
10148640,1000091,2014/11/15 21:08,136,B65749,88015140,女,1994,2012,本科,公共浴室二,2007/7/6
10174990,1000091,2014/9/30 21:42,52,A11648,92011843,男,1997,2014,本科,公共浴室二,2007/7/6
10181304,1000091,2014/10/5 21:27,32,A32332,25102280,男,1992,2011,本科,公共浴室二,2007/7/6
10027439,1000091,2014/10/3 18:42,20,D74175,19063648,女,1995,2013,本科,公共浴室二,2007/7/6
10139338,1000091,2015/1/6 22:01,168,E61076,28062866,男,1994,2012,本科,公共浴室二,2007/7/6
10294061,1000091,2014/12/20 17:09,8,B73290,76017092,女,1995,2014,本科,公共浴室二,2007/7/6
10312678,1000091,2014/10/18 21:27,200,D55611,46052768,女,1993,2012,本科,公共浴室二,2007/7/6
10172714,1000091,2014/10/30 21:58,120,B66726,75058388,男,1993,2012,本科,公共浴室二,2007/7/6
10052541,1000091,2014/10/6 20:00,26,A59322,55002197,男,1995,2013,本科,公共浴室二,2007/7/6
10174608,1000091,2014/11/26 17:12,56,B38775,72013484,女,1992,2010,本科,公共浴室二,2007/7/6
10341061,1000091,2014/11/8 17:14,200,B77915,47010569,女,1994,2012,本科,公共浴室二,2007/7/6
10123900,1000091,2014/11/17 16:15,74,D72436,28008346,男,1993,2012,本科,公共浴室二,2007/7/6
10261470,1000091,2014/11/17 20:23,142,A62065,32056249,女,1996,2014,本科,公共浴室二,2007/7/6
10286745,1000091,2015/1/21 19:05,40,D75674,87018092,女,1992,2011,本科,公共浴室二,2007/7/6
10293761,1000091,2014/11/29 20:19,78,B74618,96066663,女,1995,2012,本科,公共浴室二,2007/7/6
10112107,1000091,2014/12/27 18:07,38,A31491,99025328,男,1994,2012,本科,公共浴室二,2007/7/6
