ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
1233706,1000095,2014/11/30 1:09,121,E36386,71115631,女,1991,2014,博士,独立浴室,2007/7/6
132414,1000095,2014/9/9 12:57,17,C76140,37119954,女,1986,2011,博士,独立浴室,2007/7/6
220485,1000095,2014/9/21 9:22,88,A50133,84124712,男,1986,2008,博士,独立浴室,2007/7/6
635895,1000095,2014/9/10 1:11,24,C53918,72170557,男,1991,2013,博士,独立浴室,2007/7/6
11080771,1000092,2014/10/14 21:44,10,A57014,51170689,男,1990,2012,博士,公共浴室三,2007/7/6
1274185,1000095,2014/9/17 19:25,32,E40634,34179401,女,1985,2011,博士,独立浴室,2007/7/6
213268,1000095,2014/10/27 21:56,124,C72988,27126911,男,1981,2011,博士,独立浴室,2007/7/6
301497,1000095,2014/9/9 18:44,78,C62197,13160345,男,1991,2012,博士,独立浴室,2007/7/6
192258,1000095,2014/10/14 8:20,24,C77798,36149071,男,1989,2012,博士,独立浴室,2007/7/6
3184,1000095,2014/10/15 22:23,1,C77143,59173148,女,1989,2013,博士,独立浴室,2007/7/6
579485,1000095,2014/9/21 1:12,54,A40229,81149196,男,1989,2012,博士,独立浴室,2007/7/6
516899,1000095,2014/9/23 22:51,150,A60987,73128839,男,1989,2013,博士,独立浴室,2007/7/6
509176,1000095,2015/1/12 1:42,73,A58886,93140998,男,1985,2012,博士,独立浴室,2007/7/6
1210465,1000095,2014/11/25 21:36,200,B71359,41159308,男,1991,2014,博士,独立浴室,2007/7/6
801866,1000095,2014/12/15 21:18,200,B77601,52173325,女,1989,2010,博士,独立浴室,2007/7/6
1292739,1000095,2015/1/20 10:54,150,C44078,69128476,女,1987,2014,博士,独立浴室,2007/7/6
381836,1000095,2014/11/13 22:23,65,C77210,16114046,男,1990,2013,博士,独立浴室,2007/7/6
11044622,1000092,2014/12/12 16:13,74,E69835,17115634,男,1991,2014,博士,公共浴室三,2007/7/6
