ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
171159,1000095,2014/10/20 1:07,96,E51394,35170993,女,1993,2013,硕士,独立浴室,2007/7/6
478879,1000095,2014/10/10 1:26,83,A13797,63170893,女,1991,2012,硕士,独立浴室,2007/7/6
1166736,1000095,2014/12/26 17:14,8,B43001,19066934,女,1996,2014,本科,独立浴室,2007/7/6
1233706,1000095,2014/11/30 1:09,121,E36386,71115631,女,1991,2014,博士,独立浴室,2007/7/6
135952,1000095,2014/9/8 19:37,72,E36940,43162756,女,1990,2012,硕士,独立浴室,2007/7/6
132414,1000095,2014/9/9 12:57,17,C76140,37119954,女,1986,2011,博士,独立浴室,2007/7/6
10147300,1000091,2014/11/1 21:02,172,A74705,73050102,女,1995,2013,本科,公共浴室二,2007/7/6
10972344,1000092,2014/9/14 21:35,200,D77240,32053756,女,1996,2014,本科,公共浴室三,2007/7/6
10953116,1000092,2014/11/24 20:54,168,C45872,38133487,女,1991,2014,硕士,公共浴室三,2007/7/6
11077535,1000092,2014/11/24 21:09,200,E46900,32105739,女,1993,2012,本科,公共浴室三,2007/7/6
10148640,1000091,2014/11/15 21:08,136,B65749,88015140,女,1994,2012,本科,公共浴室二,2007/7/6
11602439,1000093,2014/10/9 20:38,188,D72903,56099624,女,1995,2013,本科,公共浴室一,2007/7/6
11831161,1000093,2014/12/11 18:52,6,C69757,61064394,女,1993,2011,本科,公共浴室一,2007/7/6
1274185,1000095,2014/9/17 19:25,32,E40634,34179401,女,1985,2011,博士,独立浴室,2007/7/6
10027439,1000091,2014/10/3 18:42,20,D74175,19063648,女,1995,2013,本科,公共浴室二,2007/7/6
11727111,1000093,2014/11/19 18:44,112,A42275,65011546,女,1993,2011,本科,公共浴室一,2007/7/6
424989,1000095,2014/11/14 22:35,40,D64394,68162194,女,1990,2013,硕士,独立浴室,2007/7/6
1262589,1000095,2014/11/26 9:17,200,D75252,36159459,女,1992,2014,硕士,独立浴室,2007/7/6
770863,1000095,2014/11/25 17:17,185,E62699,37162904,女,1989,2012,硕士,独立浴室,2007/7/6
11873174,1000093,2014/12/12 20:58,200,C46754,83043412,女,1993,2011,本科,公共浴室一,2007/7/6
10294061,1000091,2014/12/20 17:09,8,B73290,76017092,女,1995,2014,本科,公共浴室二,2007/7/6
11803404,1000093,2014/11/4 18:31,20,B79443,37064834,女,1996,2014,本科,公共浴室一,2007/7/6
10312678,1000091,2014/10/18 21:27,200,D55611,46052768,女,1993,2012,本科,公共浴室二,2007/7/6
1224307,1000095,2014/12/23 16:44,66,C29524,72075272,女,1996,2014,本科,独立浴室,2007/7/6
831369,1000095,2014/11/13 20:06,35,D65559,64162862,女,1991,2013,硕士,独立浴室,2007/7/6
3184,1000095,2014/10/15 22:23,1,C77143,59173148,女,1989,2013,博士,独立浴室,2007/7/6
11776144,1000093,2014/10/8 18:29,12,A69165,73051984,女,1993,2011,本科,公共浴室一,2007/7/6
10913052,1000092,2014/10/10 17:00,200,E61341,82059000,女,1995,2013,本科,公共浴室三,2007/7/6
941061,1000095,2014/11/5 13:31,91,A33697,88148567,女,1990,2013,硕士,独立浴室,2007/7/6
205483,1000095,2014/9/9 21:35,12,E28061,37140968,女,1989,2012,硕士,独立浴室,2007/7/6
782223,1000095,2014/10/17 1:28,22,A28084,63129175,女,1988,2012,硕士,独立浴室,2007/7/6
11060722,1000092,2014/9/14 21:47,54,E43022,81167033,女,1991,2014,硕士,公共浴室三,2007/7/6
