ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
11616614,1000093,2014/12/28 19:46,188,D71207,66024782,男,1994,2013,本科,公共浴室一,2007/7/6
1166736,1000095,2014/12/26 17:14,8,B43001,19066934,女,1996,2014,本科,独立浴室,2007/7/6
11017945,1000092,2014/11/7 17:49,30,E69964,38065771,男,1996,2014,本科,公共浴室三,2007/7/6
10135926,1000091,2014/11/11 16:30,184,E73749,75055705,男,1994,2012,本科,公共浴室二,2007/7/6
1095301,1000095,2015/1/15 21:32,8,A61546,55065179,男,1997,2014,本科,独立浴室,2007/7/6
10147300,1000091,2014/11/1 21:02,172,A74705,73050102,女,1995,2013,本科,公共浴室二,2007/7/6
11852486,1000093,2014/11/27 20:01,200,C65185,65081501,男,1993,2011,本科,公共浴室一,2007/7/6
11557294,1000093,2014/9/8 20:24,162,A24745,79102884,男,1994,2013,本科,公共浴室一,2007/7/6
10972344,1000092,2014/9/14 21:35,200,D77240,32053756,女,1996,2014,本科,公共浴室三,2007/7/6
10903096,1000092,2014/12/4 16:20,200,C50733,35102720,男,1994,2013,本科,公共浴室三,2007/7/6
10957594,1000092,2014/11/23 21:55,200,D60559,11065222,男,1996,2014,本科,公共浴室三,2007/7/6
10067067,1000091,2014/10/1 18:06,200,B73235,41011848,男,1994,2013,本科,公共浴室二,2007/7/6
11077535,1000092,2014/11/24 21:09,200,E46900,32105739,女,1993,2012,本科,公共浴室三,2007/7/6
10148640,1000091,2014/11/15 21:08,136,B65749,88015140,女,1994,2012,本科,公共浴室二,2007/7/6
11602439,1000093,2014/10/9 20:38,188,D72903,56099624,女,1995,2013,本科,公共浴室一,2007/7/6
11038380,1000092,2014/11/2 20:36,2,C66299,47067594,男,1995,2014,本科,公共浴室三,2007/7/6
10174990,1000091,2014/9/30 21:42,52,A11648,92011843,男,1997,2014,本科,公共浴室二,2007/7/6
10181304,1000091,2014/10/5 21:27,32,A32332,25102280,男,1992,2011,本科,公共浴室二,2007/7/6
11831161,1000093,2014/12/11 18:52,6,C69757,61064394,女,1993,2011,本科,公共浴室一,2007/7/6
11677690,1000093,2014/11/25 17:34,4,E72609,17062376,男,1992,2011,本科,公共浴室一,2007/7/6
11581382,1000093,2015/1/15 20:01,78,A76396,44064606,男,1994,2013,本科,公共浴室一,2007/7/6
11628088,1000093,2014/11/9 21:11,194,D77719,81025503,男,1995,2013,本科,公共浴室一,2007/7/6
10027439,1000091,2014/10/3 18:42,20,D74175,19063648,女,1995,2013,本科,公共浴室二,2007/7/6
961445,1000095,2015/1/4 20:54,48,A70809,12071039,男,1996,2014,本科,独立浴室,2007/7/6
11053348,1000092,2014/11/3 21:09,200,E69292,21071281,男,1996,2014,本科,公共浴室三,2007/7/6
11727111,1000093,2014/11/19 18:44,112,A42275,65011546,女,1993,2011,本科,公共浴室一,2007/7/6
10139338,1000091,2015/1/6 22:01,168,E61076,28062866,男,1994,2012,本科,公共浴室二,2007/7/6
10965626,1000092,2014/10/22 20:43,14,D69208,64062124,男,1996,2014,本科,公共浴室三,2007/7/6
11873174,1000093,2014/12/12 20:58,200,C46754,83043412,女,1993,2011,本科,公共浴室一,2007/7/6
10976806,1000092,2014/12/21 16:32,200,D53204,22021477,男,1995,2014,本科,公共浴室三,2007/7/6
10294061,1000091,2014/12/20 17:09,8,B73290,76017092,女,1995,2014,本科,公共浴室二,2007/7/6
11803404,1000093,2014/11/4 18:31,20,B79443,37064834,女,1996,2014,本科,公共浴室一,2007/7/6
10312678,1000091,2014/10/18 21:27,200,D55611,46052768,女,1993,2012,本科,公共浴室二,2007/7/6
1224307,1000095,2014/12/23 16:44,66,C29524,72075272,女,1996,2014,本科,独立浴室,2007/7/6
10172714,1000091,2014/10/30 21:58,120,B66726,75058388,男,1993,2012,本科,公共浴室二,2007/7/6
10052541,1000091,2014/10/6 20:00,26,A59322,55002197,男,1995,2013,本科,公共浴室二,2007/7/6
11776144,1000093,2014/10/8 18:29,12,A69165,73051984,女,1993,2011,本科,公共浴室一,2007/7/6
10913052,1000092,2014/10/10 17:00,200,E61341,82059000,女,1995,2013,本科,公共浴室三,2007/7/6
1112900,1000095,2015/1/3 16:59,12,D78612,72055333,男,1995,2014,本科,独立浴室,2007/7/6
10174608,1000091,2014/11/26 17:12,56,B38775,72013484,女,1992,2010,本科,公共浴室二,2007/7/6
10983178,1000092,2014/11/30 20:53,184,E72341,61055174,女,1996,2014,本科,公共浴室三,2007/7/6
10341061,1000091,2014/11/8 17:14,200,B77915,47010569,女,1994,2012,本科,公共浴室二,2007/7/6
11851242,1000093,2014/9/28 18:14,54,A70614,83056819,男,1993,2011,本科,公共浴室一,2007/7/6
10956117,1000092,2014/11/30 19:46,200,E41723,13099888,男,1996,2014,本科,公共浴室三,2007/7/6
11641143,1000093,2014/9/24 20:37,30,D31820,15065663,男,1995,2013,本科,公共浴室一,2007/7/6
10123900,1000091,2014/11/17 16:15,74,D72436,28008346,男,1993,2012,本科,公共浴室二,2007/7/6
935127,1000095,2014/12/26 22:22,4,E50953,14000438,男,1994,2013,本科,独立浴室,2007/7/6
10925402,1000092,2014/12/5 22:04,112,B40312,47063187,男,1993,2012,本科,公共浴室三,2007/7/6
10922936,1000092,2014/9/30 20:42,164,B77818,31067625,女,1995,2013,本科,公共浴室三,2007/7/6
11686899,1000093,2014/9/5 22:13,22,B45047,78025973,男,1993,2013,本科,公共浴室一,2007/7/6
964372,1000095,2014/12/26 20:56,100,B62319,16021230,男,1996,2014,本科,独立浴室,2007/7/6
11661588,1000093,2015/1/11 17:26,200,E60895,35051340,女,1995,2013,本科,公共浴室一,2007/7/6
11873740,1000093,2015/1/5 17:22,68,B27159,51067613,女,1996,2014,本科,公共浴室一,2007/7/6
27301,1000095,2015/1/17 14:29,126,A54122,19055776,男,1996,2013,本科,独立浴室,2007/7/6
10261470,1000091,2014/11/17 20:23,142,A62065,32056249,女,1996,2014,本科,公共浴室二,2007/7/6
10286745,1000091,2015/1/21 19:05,40,D75674,87018092,女,1992,2011,本科,公共浴室二,2007/7/6
10293761,1000091,2014/11/29 20:19,78,B74618,96066663,女,1995,2012,本科,公共浴室二,2007/7/6
11010992,1000092,2014/10/12 20:03,70,B71785,79042848,男,1996,2014,本科,公共浴室三,2007/7/6
11847609,1000093,2015/1/12 16:39,62,A51642,55056764,男,1993,2011,本科,公共浴室一,2007/7/6
10112107,1000091,2014/12/27 18:07,38,A31491,99025328,男,1994,2012,本科,公共浴室二,2007/7/6
10210382,1000091,2014/12/5 16:54,34,A71817,66051372,男,1995,2014,本科,公共浴室二,2007/7/6
11682356,1000093,2014/12/15 21:56,10,C22554,55064822,男,1995,2013,本科,公共浴室一,2007/7/6
10264815,1000091,2014/11/10 16:17,200,E70698,17061250,女,1996,2014,本科,公共浴室二,2007/7/6
11829889,1000093,2014/9/14 21:22,24,D64990,16066429,男,1996,2014,本科,公共浴室一,2007/7/6
10974787,1000092,2014/12/5 18:56,200,A73409,17067316,男,1995,2014,本科,公共浴室三,2007/7/6
945529,1000095,2015/1/11 14:55,198,A22649,79052253,男,1996,2014,本科,独立浴室,2007/7/6
10060118,1000091,2014/9/23 19:35,120,B52142,14054635,女,1995,2013,本科,公共浴室二,2007/7/6
11681283,1000093,2014/12/30 20:56,130,D39040,13068156,男,1994,2013,本科,公共浴室一,2007/7/6
10207980,1000091,2015/1/12 17:56,96,C71555,85033768,女,1996,2014,本科,公共浴室二,2007/7/6
10140408,1000091,2014/9/25 21:54,162,C77985,15105351,男,1994,2012,本科,公共浴室二,2007/7/6
11003335,1000092,2014/11/25 19:29,196,D38502,23059107,女,1995,2014,本科,公共浴室三,2007/7/6
11762862,1000093,2014/10/10 21:18,56,C70497,41068258,女,1994,2012,本科,公共浴室一,2007/7/6
10991321,1000092,2014/12/12 16:20,2,A79333,72051682,男,1996,2014,本科,公共浴室三,2007/7/6
11787860,1000093,2014/11/9 20:20,200,B46597,18059726,男,1993,2011,本科,公共浴室一,2007/7/6
10097803,1000091,2014/12/8 18:44,10,D70441,71062415,女,1993,2012,本科,公共浴室二,2007/7/6
11559568,1000093,2014/12/16 19:44,86,D72035,83006024,女,1994,2013,本科,公共浴室一,2007/7/6
10033605,1000091,2014/11/3 19:17,146,D40419,41057880,男,1993,2012,本科,公共浴室二,2007/7/6
10336637,1000091,2014/9/29 21:13,82,E46317,55052426,男,1995,2012,本科,公共浴室二,2007/7/6
10109066,1000091,2015/1/12 18:43,96,D78118,55060569,女,1994,2012,本科,公共浴室二,2007/7/6
