ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
171159,1000095,2014/10/20 1:07,96,E51394,35170993,女,1993,2013,硕士,独立浴室,2007/7/6
478879,1000095,2014/10/10 1:26,83,A13797,63170893,女,1991,2012,硕士,独立浴室,2007/7/6
1166736,1000095,2014/12/26 17:14,8,B43001,19066934,女,1996,2014,本科,独立浴室,2007/7/6
1233706,1000095,2014/11/30 1:09,121,E36386,71115631,女,1991,2014,博士,独立浴室,2007/7/6
436986,1000095,2014/10/4 1:04,49,A47374,61161696,男,1989,2012,硕士,独立浴室,2007/7/6
135952,1000095,2014/9/8 19:37,72,E36940,43162756,女,1990,2012,硕士,独立浴室,2007/7/6
1095301,1000095,2015/1/15 21:32,8,A61546,55065179,男,1997,2014,本科,独立浴室,2007/7/6
300886,1000095,2014/12/25 1:22,115,B40825,97108937,男,1991,2013,硕士,独立浴室,2007/7/6
132414,1000095,2014/9/9 12:57,17,C76140,37119954,女,1986,2011,博士,独立浴室,2007/7/6
1089051,1000095,2014/11/9 22:17,16,C73076,62164932,男,1991,2014,硕士,独立浴室,2007/7/6
249779,1000095,2015/1/11 1:39,38,D70886,89112894,男,1990,2013,硕士,独立浴室,2007/7/6
220485,1000095,2014/9/21 9:22,88,A50133,84124712,男,1986,2008,博士,独立浴室,2007/7/6
715052,1000095,2014/11/3 1:08,200,E18113,22148576,男,1991,2013,硕士,独立浴室,2007/7/6
1320112,1000095,2014/12/6 1:16,9,B73370,46160212,男,1989,2013,硕士,独立浴室,2007/7/6
1030263,1000095,2014/10/7 11:44,24,A50930,65123307,男,1990,2014,硕士,独立浴室,2007/7/6
1193939,1000095,2015/1/30 22:59,198,A57692,88170627,男,1991,2014,硕士,独立浴室,2007/7/6
635895,1000095,2014/9/10 1:11,24,C53918,72170557,男,1991,2013,博士,独立浴室,2007/7/6
1153072,1000095,2014/9/15 20:50,110,E74542,51148421,男,1991,2013,硕士,独立浴室,2007/7/6
1310017,1000095,2014/11/10 21:10,129,C79320,96120671,男,1991,2014,硕士,独立浴室,2007/7/6
1274185,1000095,2014/9/17 19:25,32,E40634,34179401,女,1985,2011,博士,独立浴室,2007/7/6
213268,1000095,2014/10/27 21:56,124,C72988,27126911,男,1981,2011,博士,独立浴室,2007/7/6
961445,1000095,2015/1/4 20:54,48,A70809,12071039,男,1996,2014,本科,独立浴室,2007/7/6
424989,1000095,2014/11/14 22:35,40,D64394,68162194,女,1990,2013,硕士,独立浴室,2007/7/6
1262589,1000095,2014/11/26 9:17,200,D75252,36159459,女,1992,2014,硕士,独立浴室,2007/7/6
770863,1000095,2014/11/25 17:17,185,E62699,37162904,女,1989,2012,硕士,独立浴室,2007/7/6
301497,1000095,2014/9/9 18:44,78,C62197,13160345,男,1991,2012,博士,独立浴室,2007/7/6
249645,1000095,2014/10/24 22:33,24,D70886,89112894,男,1990,2013,硕士,独立浴室,2007/7/6
1224307,1000095,2014/12/23 16:44,66,C29524,72075272,女,1996,2014,本科,独立浴室,2007/7/6
192258,1000095,2014/10/14 8:20,24,C77798,36149071,男,1989,2012,博士,独立浴室,2007/7/6
831369,1000095,2014/11/13 20:06,35,D65559,64162862,女,1991,2013,硕士,独立浴室,2007/7/6
644952,1000095,2014/12/5 8:40,14,C52807,61148449,男,1991,2013,硕士,独立浴室,2007/7/6
3184,1000095,2014/10/15 22:23,1,C77143,59173148,女,1989,2013,博士,独立浴室,2007/7/6
579485,1000095,2014/9/21 1:12,54,A40229,81149196,男,1989,2012,博士,独立浴室,2007/7/6
