ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
11830606,1000093,2014/12/9 21:42,42,D62604,87178904,男,1993,2014,硕士,公共浴室一,2007/7/6
11616614,1000093,2014/12/28 19:46,188,D71207,66024782,男,1994,2013,本科,公共浴室一,2007/7/6
11017945,1000092,2014/11/7 17:49,30,E69964,38065771,男,1996,2014,本科,公共浴室三,2007/7/6
10135926,1000091,2014/11/11 16:30,184,E73749,75055705,男,1994,2012,本科,公共浴室二,2007/7/6
436986,1000095,2014/10/4 1:04,49,A47374,61161696,男,1989,2012,硕士,独立浴室,2007/7/6
1095301,1000095,2015/1/15 21:32,8,A61546,55065179,男,1997,2014,本科,独立浴室,2007/7/6
300886,1000095,2014/12/25 1:22,115,B40825,97108937,男,1991,2013,硕士,独立浴室,2007/7/6
11852486,1000093,2014/11/27 20:01,200,C65185,65081501,男,1993,2011,本科,公共浴室一,2007/7/6
11557294,1000093,2014/9/8 20:24,162,A24745,79102884,男,1994,2013,本科,公共浴室一,2007/7/6
10903096,1000092,2014/12/4 16:20,200,C50733,35102720,男,1994,2013,本科,公共浴室三,2007/7/6
1089051,1000095,2014/11/9 22:17,16,C73076,62164932,男,1991,2014,硕士,独立浴室,2007/7/6
10957594,1000092,2014/11/23 21:55,200,D60559,11065222,男,1996,2014,本科,公共浴室三,2007/7/6
249779,1000095,2015/1/11 1:39,38,D70886,89112894,男,1990,2013,硕士,独立浴室,2007/7/6
10067067,1000091,2014/10/1 18:06,200,B73235,41011848,男,1994,2013,本科,公共浴室二,2007/7/6
220485,1000095,2014/9/21 9:22,88,A50133,84124712,男,1986,2008,博士,独立浴室,2007/7/6
715052,1000095,2014/11/3 1:08,200,E18113,22148576,男,1991,2013,硕士,独立浴室,2007/7/6
1320112,1000095,2014/12/6 1:16,9,B73370,46160212,男,1989,2013,硕士,独立浴室,2007/7/6
1030263,1000095,2014/10/7 11:44,24,A50930,65123307,男,1990,2014,硕士,独立浴室,2007/7/6
1193939,1000095,2015/1/30 22:59,198,A57692,88170627,男,1991,2014,硕士,独立浴室,2007/7/6
10293464,1000091,2014/10/18 16:29,18,A68743,32183901,男,1990,2014,硕士,公共浴室二,2007/7/6
11038380,1000092,2014/11/2 20:36,2,C66299,47067594,男,1995,2014,本科,公共浴室三,2007/7/6
635895,1000095,2014/9/10 1:11,24,C53918,72170557,男,1991,2013,博士,独立浴室,2007/7/6
10174990,1000091,2014/9/30 21:42,52,A11648,92011843,男,1997,2014,本科,公共浴室二,2007/7/6
1153072,1000095,2014/9/15 20:50,110,E74542,51148421,男,1991,2013,硕士,独立浴室,2007/7/6
1310017,1000095,2014/11/10 21:10,129,C79320,96120671,男,1991,2014,硕士,独立浴室,2007/7/6
10181304,1000091,2014/10/5 21:27,32,A32332,25102280,男,1992,2011,本科,公共浴室二,2007/7/6
11080771,1000092,2014/10/14 21:44,10,A57014,51170689,男,1990,2012,博士,公共浴室三,2007/7/6
11677690,1000093,2014/11/25 17:34,4,E72609,17062376,男,1992,2011,本科,公共浴室一,2007/7/6
