ID,商户代码,交易日期时间,交易金额,学生卡号,学生学号,学生性别,出生年,入学年,学生类型,商户名称,商户成立日期
171159,1000095,2014/10/20 1:07,96,E51394,35170993,女,1993,2013,硕士,独立浴室,2007/7/6
11830606,1000093,2014/12/9 21:42,42,D62604,87178904,男,1993,2014,硕士,公共浴室一,2007/7/6
478879,1000095,2014/10/10 1:26,83,A13797,63170893,女,1991,2012,硕士,独立浴室,2007/7/6
436986,1000095,2014/10/4 1:04,49,A47374,61161696,男,1989,2012,硕士,独立浴室,2007/7/6
135952,1000095,2014/9/8 19:37,72,E36940,43162756,女,1990,2012,硕士,独立浴室,2007/7/6
300886,1000095,2014/12/25 1:22,115,B40825,97108937,男,1991,2013,硕士,独立浴室,2007/7/6
10953116,1000092,2014/11/24 20:54,168,C45872,38133487,女,1991,2014,硕士,公共浴室三,2007/7/6
1089051,1000095,2014/11/9 22:17,16,C73076,62164932,男,1991,2014,硕士,独立浴室,2007/7/6
249779,1000095,2015/1/11 1:39,38,D70886,89112894,男,1990,2013,硕士,独立浴室,2007/7/6
715052,1000095,2014/11/3 1:08,200,E18113,22148576,男,1991,2013,硕士,独立浴室,2007/7/6
1320112,1000095,2014/12/6 1:16,9,B73370,46160212,男,1989,2013,硕士,独立浴室,2007/7/6
1030263,1000095,2014/10/7 11:44,24,A50930,65123307,男,1990,2014,硕士,独立浴室,2007/7/6
1193939,1000095,2015/1/30 22:59,198,A57692,88170627,男,1991,2014,硕士,独立浴室,2007/7/6
10293464,1000091,2014/10/18 16:29,18,A68743,32183901,男,1990,2014,硕士,公共浴室二,2007/7/6
1153072,1000095,2014/9/15 20:50,110,E74542,51148421,男,1991,2013,硕士,独立浴室,2007/7/6
1310017,1000095,2014/11/10 21:10,129,C79320,96120671,男,1991,2014,硕士,独立浴室,2007/7/6
424989,1000095,2014/11/14 22:35,40,D64394,68162194,女,1990,2013,硕士,独立浴室,2007/7/6
11839323,1000093,2014/10/13 19:10,70,D66010,61159408,男,1991,2014,硕士,公共浴室一,2007/7/6
1262589,1000095,2014/11/26 9:17,200,D75252,36159459,女,1992,2014,硕士,独立浴室,2007/7/6
770863,1000095,2014/11/25 17:17,185,E62699,37162904,女,1989,2012,硕士,独立浴室,2007/7/6
249645,1000095,2014/10/24 22:33,24,D70886,89112894,男,1990,2013,硕士,独立浴室,2007/7/6
831369,1000095,2014/11/13 20:06,35,D65559,64162862,女,1991,2013,硕士,独立浴室,2007/7/6
644952,1000095,2014/12/5 8:40,14,C52807,61148449,男,1991,2013,硕士,独立浴室,2007/7/6
1061366,1000095,2014/10/20 21:23,54,E63354,93115659,男,1993,2014,硕士,独立浴室,2007/7/6
941061,1000095,2014/11/5 13:31,91,A33697,88148567,女,1990,2013,硕士,独立浴室,2007/7/6
205483,1000095,2014/9/9 21:35,12,E28061,37140968,女,1989,2012,硕士,独立浴室,2007/7/6
782223,1000095,2014/10/17 1:28,22,A28084,63129175,女,1988,2012,硕士,独立浴室,2007/7/6
496741,1000095,2014/9/14 22:35,200,C56484,98122695,男,1990,2013,硕士,独立浴室,2007/7/6
741467,1000095,2015/1/10 21:09,62,A51825,44148919,男,1991,2013,硕士,独立浴室,2007/7/6
11060722,1000092,2014/9/14 21:47,54,E43022,81167033,女,1991,2014,硕士,公共浴室三,2007/7/6
1183667,1000095,2014/12/31 20:02,48,B51325,87160622,男,1991,2014,硕士,独立浴室,2007/7/6
762551,1000095,2014/12/8 20:06,46,C39731,83161179,女,1988,2012,硕士,独立浴室,2007/7/6
11066990,1000092,2015/1/15 20:36,38,E32411,36131892,女,1992,2014,硕士,公共浴室三,2007/7/6
11870790,1000093,2015/1/12 18:16,94,B44793,29159063,男,1993,2014,硕士,公共浴室一,2007/7/6
530911,1000095,2014/12/27 10:50,112,E15110,67183160,男,1990,2012,硕士,独立浴室,2007/7/6
610844,1000095,2014/9/23 21:45,163,A64378,63118455,男,1990,2013,硕士,独立浴室,2007/7/6
214919,1000095,2014/10/5 1:05,36,B74283,77182661,男,1991,2013,硕士,独立浴室,2007/7/6
142613,1000095,2015/1/20 22:40,200,E50697,82171663,女,1992,2012,硕士,独立浴室,2007/7/6
88214,1000095,2014/10/7 1:10,33,B38649,19161344,女,1991,2012,硕士,独立浴室,2007/7/6
594489,1000095,2014/12/24 1:18,200,C76953,74167513,女,1989,2012,硕士,独立浴室,2007/7/6
654887,1000095,2014/9/3 1:06,16,C42174,62178992,男,1991,2013,硕士,独立浴室,2007/7/6
1314016,1000095,2014/11/13 1:18,89,C51856,41113238,男,1993,2012,硕士,独立浴室,2007/7/6
678124,1000095,2014/9/30 10:04,83,B59134,52148912,男,1991,2013,硕士,独立浴室,2007/7/6
556374,1000095,2014/10/20 21:15,160,A32430,94140035,男,1989,2012,硕士,独立浴室,2007/7/6
431002,1000095,2014/9/23 22:06,198,B32204,81109153,女,1989,2012,硕士,独立浴室,2007/7/6
1083146,1000095,2014/10/18 1:13,52,C59075,38173251,男,1994,2014,硕士,独立浴室,2007/7/6
767373,1000095,2014/12/30 8:28,200,C56989,92148608,男,1991,2013,硕士,独立浴室,2007/7/6
653694,1000095,2014/9/8 1:09,14,C15777,95176295,男,1989,2012,硕士,独立浴室,2007/7/6
985277,1000095,2014/11/21 22:10,145,E69758,92158822,男,1992,2014,硕士,独立浴室,2007/7/6
861966,1000095,2014/10/12 21:35,24,D50653,98175673,女,1991,2013,硕士,独立浴室,2007/7/6
703898,1000095,2014/10/10 20:27,25,A66086,57140789,女,1990,2013,硕士,独立浴室,2007/7/6
88827,1000095,2014/12/25 9:01,188,C46459,16128357,女,1987,2013,硕士,独立浴室,2007/7/6
929196,1000095,2014/10/19 21:54,16,D16151,33136550,女,1986,2012,硕士,独立浴室,2007/7/6
746619,1000095,2014/10/21 1:23,86,B76050,35133920,女,1991,2013,硕士,独立浴室,2007/7/6
249424,1000095,2014/12/10 12:46,19,B14617,58148829,男,1991,2013,硕士,独立浴室,2007/7/6
309893,1000095,2014/11/8 21:07,70,A51910,16140556,女,1991,2013,硕士,独立浴室,2007/7/6
346720,1000095,2014/11/26 21:17,62,A36881,69162192,女,1989,2013,硕士,独立浴室,2007/7/6
690224,1000095,2014/12/7 18:54,107,B42466,89121973,女,1991,2013,硕士,独立浴室,2007/7/6
914217,1000095,2014/11/20 1:19,200,E30874,53114989,男,1990,2012,硕士,独立浴室,2007/7/6
885855,1000095,2014/10/6 1:08,20,C65804,77113556,男,1989,2013,硕士,独立浴室,2007/7/6
439419,1000095,2014/11/28 14:45,200,B55053,79114285,女,1987,2012,硕士,独立浴室,2007/7/6
10921072,1000092,2014/11/5 18:32,74,A45734,32173399,男,1990,2012,硕士,公共浴室三,2007/7/6
931900,1000095,2014/9/13 21:27,200,E63323,33148562,男,1990,2013,硕士,独立浴室,2007/7/6
129771,1000095,2014/9/16 10:35,25,A49391,76114114,女,1990,2012,硕士,独立浴室,2007/7/6
303023,1000095,2015/1/8 1:49,44,B70184,96126732,女,1992,2013,硕士,独立浴室,2007/7/6
1038639,1000095,2014/10/10 21:29,200,B69036,66183045,女,1992,2014,硕士,独立浴室,2007/7/6
800906,1000095,2014/10/13 7:29,54,D46783,37140038,男,1989,2012,硕士,独立浴室,2007/7/6
10921168,1000092,2014/12/18 21:41,200,B12919,27169294,男,1989,2012,硕士,公共浴室三,2007/7/6
70079,1000095,2014/12/1 1:17,62,B62217,25129238,女,1988,2013,硕士,独立浴室,2007/7/6
595188,1000095,2014/12/28 20:15,33,C68657,69139254,女,1990,2013,硕士,独立浴室,2007/7/6
1201271,1000095,2014/12/22 22:31,36,B71077,32159115,男,1991,2014,硕士,独立浴室,2007/7/6
1087664,1000095,2014/10/17 22:11,22,D66485,81173255,男,1992,2014,硕士,独立浴室,2007/7/6
1049174,1000095,2015/1/20 16:17,132,C45039,71113157,女,1991,2014,硕士,独立浴室,2007/7/6
144085,1000095,2015/1/14 7:07,118,E64860,74148334,男,1990,2013,硕士,独立浴室,2007/7/6
1173757,1000095,2014/11/10 9:41,94,B75477,28158835,男,1992,2014,硕士,独立浴室,2007/7/6
547057,1000095,2014/12/21 20:32,187,E77272,82148542,男,1991,2013,硕士,独立浴室,2007/7/6
557094,1000095,2014/9/29 22:45,200,B23167,76161091,女,1989,2012,硕士,独立浴室,2007/7/6
333449,1000095,2014/9/1 1:07,200,B25201,89172172,男,1990,2012,硕士,独立浴室,2007/7/6
11841345,1000093,2014/11/24 18:23,136,D69857,16110865,男,1991,2014,硕士,公共浴室一,2007/7/6
430053,1000095,2014/9/24 22:15,9,C65646,71183715,女,1991,2013,硕士,独立浴室,2007/7/6
653385,1000095,2014/9/10 12:58,200,C71025,21176298,男,1982,2012,硕士,独立浴室,2007/7/6
868878,1000095,2014/11/17 19:56,200,C73065,21148723,男,1990,2013,硕士,独立浴室,2007/7/6
526864,1000095,2014/12/2 1:23,8,B64684,17173816,男,1989,2013,硕士,独立浴室,2007/7/6
735045,1000095,2014/9/8 1:08,112,E46703,84174157,男,1989,2012,硕士,独立浴室,2007/7/6
409999,1000095,2014/9/12 1:14,12,E27673,77138433,男,1990,2013,硕士,独立浴室,2007/7/6
775879,1000095,2014/9/12 20:33,19,B48097,98178258,女,1991,2013,硕士,独立浴室,2007/7/6
714972,1000095,2014/9/8 19:01,129,E18113,22148576,男,1991,2013,硕士,独立浴室,2007/7/6
10076889,1000091,2014/12/6 21:32,16,A30632,56161684,男,1990,2012,硕士,公共浴室二,2007/7/6
1212682,1000095,2014/11/5 13:30,72,C58998,49176685,男,1988,2014,硕士,独立浴室,2007/7/6
1030222,1000095,2014/9/15 1:18,200,A50930,65123307,男,1990,2014,硕士,独立浴室,2007/7/6
643595,1000095,2014/9/21 1:12,6,C44233,84174112,男,1991,2013,硕士,独立浴室,2007/7/6
887001,1000095,2014/10/29 1:22,126,B68392,27148298,男,1991,2013,硕士,独立浴室,2007/7/6
791021,1000095,2014/12/27 21:31,200,D64648,76110752,女,1991,2013,硕士,独立浴室,2007/7/6
776907,1000095,2014/11/26 1:21,200,B67756,61110745,男,1990,2013,硕士,独立浴室,2007/7/6
868720,1000095,2014/9/30 10:04,38,C73065,21148723,男,1990,2013,硕士,独立浴室,2007/7/6
669864,1000095,2015/1/17 20:52,2,CC8190,26161333,男,1990,2012,硕士,独立浴室,2007/7/6
11069926,1000092,2014/11/3 14:34,200,D44586,11133623,女,1988,2014,硕士,公共浴室三,2007/7/6
931041,1000095,2014/10/12 22:42,48,B61017,52148556,女,1992,2013,硕士,独立浴室,2007/7/6
10935795,1000092,2014/9/25 17:29,120,C68001,95139946,女,1992,2014,硕士,公共浴室三,2007/7/6
1292105,1000095,2014/12/12 12:28,108,C73824,86135246,女,1991,2013,硕士,独立浴室,2007/7/6
845079,1000095,2014/11/1 1:19,140,B60820,42128571,女,1990,2013,硕士,独立浴室,2007/7/6
108744,1000095,2014/9/20 1:19,200,E68207,25131685,男,1990,2013,硕士,独立浴室,2007/7/6
834950,1000095,2014/10/23 22:15,113,C48903,82183152,男,1991,2012,硕士,独立浴室,2007/7/6
130005,1000095,2015/1/5 10:17,121,A49391,76114114,女,1990,2012,硕士,独立浴室,2007/7/6
600029,1000095,2014/12/8 9:19,148,E36686,29160807,女,1989,2012,硕士,独立浴室,2007/7/6
1113272,1000095,2014/11/30 8:28,172,B24746,26162566,男,1992,2014,硕士,独立浴室,2007/7/6
11840176,1000093,2014/12/14 22:21,172,A22341,43115037,男,1991,2014,硕士,公共浴室一,2007/7/6
393490,1000095,2014/12/7 19:00,188,B70185,56145015,女,1990,2013,硕士,独立浴室,2007/7/6
1242511,1000095,2014/11/23 1:05,89,D55534,95158807,男,1992,2014,硕士,独立浴室,2007/7/6
714966,1000095,2015/1/20 21:07,200,B25865,26183460,男,1989,2012,硕士,独立浴室,2007/7/6
824301,1000095,2014/12/1 6:49,134,B49252,19113896,男,1990,2013,硕士,独立浴室,2007/7/6
