ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
10,1,-38.94,3.943,2.79
10,2,-38.94,3.943,2.213
10,3,-36.06,3.942,2.792
10,4,-36.06,3.942,2.214
10,5,-38.94,1.055,2.79
10,6,-38.94,1.055,2.212
10,7,-36.06,1.054,2.791
10,8,-36.06,1.054,2.213
11,1,-38.94,3.943,1.79
11,2,-38.94,3.943,1.212
11,3,-36.06,3.943,1.791
11,4,-36.06,3.943,1.213
11,5,-38.94,1.055,1.789
11,6,-38.94,1.055,1.212
11,7,-36.06,1.054,1.79
11,8,-36.06,1.055,1.212
12,1,-38.94,3.943,0.7892
12,2,-38.94,3.943,0.2115
12,3,-36.06,3.943,0.7897
12,4,-36.06,3.943,0.2116
12,5,-38.94,1.056,0.789
12,6,-38.94,1.056,0.2114
12,7,-36.06,1.055,0.7893
12,8,-36.06,1.056,0.2115
13,1,-33.94,3.942,2.792
13,2,-33.94,3.942,2.214
13,3,-31.06,3.942,2.793
13,4,-31.06,3.942,2.215
13,5,-33.94,1.053,2.791
13,6,-33.94,1.054,2.213
13,7,-31.06,1.052,2.792
13,8,-31.06,1.053,2.214
14,1,-33.94,3.942,1.791
14,2,-33.94,3.943,1.213
14,3,-31.06,3.942,1.792
14,4,-31.06,3.942,1.213
14,5,-33.94,1.054,1.79
14,6,-33.94,1.055,1.212
14,7,-31.06,1.053,1.791
14,8,-31.06,1.054,1.213
15,1,-33.94,3.943,0.7898
15,2,-33.94,3.943,0.2116
15,3,-31.06,3.943,0.7901
15,4,-31.06,3.943,0.2117
15,5,-33.94,1.055,0.7894
15,6,-33.94,1.056,0.2115
15,7,-31.06,1.055,0.7896
15,8,-31.06,1.056,0.2116
16,1,-28.94,3.941,2.794
16,2,-28.94,3.942,2.216
16,3,-26.06,3.941,2.795
16,4,-26.06,3.941,2.217
16,5,-28.95,1.052,2.792
16,6,-28.94,1.052,2.214
16,7,-26.06,1.05,2.793
16,8,-26.06,1.051,2.215
17,1,-28.94,3.942,1.792
17,2,-28.94,3.942,1.214
17,3,-26.06,3.941,1.793
17,4,-26.06,3.942,1.215
17,5,-28.94,1.053,1.791
17,6,-28.94,1.054,1.213
17,7,-26.06,1.052,1.792
17,8,-26.06,1.053,1.213
18,1,-28.94,3.943,0.7904
18,2,-28.94,3.943,0.2118
18,3,-26.06,3.943,0.7908
18,4,-26.06,3.943,0.2119
18,5,-28.94,1.055,0.7898
18,6,-28.94,1.056,0.2116
18,7,-26.06,1.054,0.79
18,8,-26.06,1.056,0.2117
19,1,-23.95,3.94,2.796
19,2,-23.94,3.941,2.218
19,3,-21.06,3.94,2.798
19,4,-21.06,3.94,2.219
19,5,-23.95,1.049,2.794
19,6,-23.94,1.05,2.216
19,7,-21.06,1.048,2.795
19,8,-21.06,1.049,2.216
20,1,-23.94,3.941,1.794
20,2,-23.94,3.942,1.215
20,3,-21.06,3.941,1.795
20,4,-21.06,3.942,1.216
20,5,-23.94,1.051,1.792
20,6,-23.94,1.053,1.214
20,7,-21.06,1.05,1.793
20,8,-21.06,1.052,1.214
21,1,-23.94,3.942,0.7912
21,2,-23.94,3.943,0.212
21,3,-21.06,3.942,0.7917
21,4,-21.06,3.943,0.2122
21,5,-23.94,1.054,0.7903
21,6,-23.94,1.056,0.2118
21,7,-21.06,1.053,0.7906
21,8,-21.06,1.056,0.2119
22,1,-18.94,3.939,2.799
22,2,-18.94,3.94,2.22
22,3,-16.06,3.939,2.8
22,4,-16.06,3.939,2.221
22,5,-18.94,1.047,2.796
22,6,-18.94,1.048,2.217
22,7,-16.06,1.046,2.797
22,8,-16.06,1.047,2.218
23,1,-18.94,3.94,1.796
23,2,-18.94,3.941,1.216
23,3,-16.06,3.94,1.797
23,4,-16.06,3.941,1.217
23,5,-18.94,1.05,1.793
23,6,-18.94,1.051,1.215
23,7,-16.06,1.049,1.794
23,8,-16.06,1.05,1.215
24,1,-18.94,3.942,0.7921
24,2,-18.94,3.943,0.2123
24,3,-16.06,3.942,0.7927
24,4,-16.06,3.943,0.2125
24,5,-18.94,1.053,0.7909
24,6,-18.94,1.056,0.212
24,7,-16.06,1.052,0.7914
24,8,-16.06,1.055,0.2121
25,1,-13.94,3.938,2.801
25,2,-13.94,3.939,2.221
25,3,-11.05,3.935,2.804
25,4,-11.05,3.936,2.224
25,5,-13.94,1.045,2.798
25,6,-13.94,1.046,2.219
25,7,-11.05,1.041,2.799
25,8,-11.05,1.043,2.22
26,1,-13.94,3.939,1.797
26,2,-13.94,3.94,1.218
26,3,-11.05,3.937,1.8
26,4,-11.05,3.938,1.22
26,5,-13.94,1.047,1.795
26,6,-13.94,1.049,1.216
26,7,-11.05,1.044,1.796
26,8,-11.05,1.046,1.217
27,1,-13.94,3.941,0.7931
27,2,-13.94,3.943,0.2126
27,3,-11.05,3.939,0.7947
27,4,-11.05,3.942,0.2131
27,5,-13.94,1.051,0.7918
27,6,-13.94,1.055,0.2123
27,7,-11.05,1.047,0.7932
27,8,-11.05,1.053,0.2129
28,1,-8.928,3.932,2.808
28,2,-8.927,3.933,2.228
28,3,-6.04,3.926,2.817
28,4,-6.04,3.928,2.234
28,5,-8.931,1.037,2.801
28,6,-8.931,1.039,2.221
28,7,-6.043,1.027,2.807
28,8,-6.043,1.03,2.226
29,1,-8.928,3.934,1.803
29,2,-8.931,3.936,1.221
29,3,-6.041,3.93,1.807
29,4,-6.045,3.934,1.223
29,5,-8.932,1.04,1.797
29,6,-8.933,1.042,1.218
29,7,-6.044,1.032,1.801
29,8,-6.046,1.035,1.22
30,1,-8.934,3.938,0.7955
30,2,-8.94,3.941,0.2133
30,3,-6.048,3.936,0.7965
30,4,-6.054,3.941,0.2134
30,5,-8.935,1.043,0.7941
30,6,-8.94,1.051,0.2132
30,7,-6.048,1.037,0.7952
30,8,-6.054,1.049,0.2135
31,1,-3.934,3.922,2.821
31,2,-3.934,3.925,2.237
31,3,-1.055,3.921,2.818
31,4,-1.055,3.924,2.235
31,5,-3.935,1.021,2.809
31,6,-3.936,1.025,2.228
31,7,-1.055,1.02,2.807
31,8,-1.055,1.024,2.226
32,1,-3.935,3.928,1.809
32,2,-3.937,3.932,1.225
32,3,-1.055,3.927,1.808
32,4,-1.056,3.932,1.224
