date,time,tweet,tweetid
2016-12-05 13:53:11+00:00,13:53:11,I am thrilled to nominate Dr. @RealBenCarson as our next Secretary of the US Dept. of Housing and Urban Development… https://t.co/OJKuDFhP3r,805772007220645000
2016-12-05 16:00:27+00:00,16:00:27,"If the press would cover me accurately &amp; honorably, I would have far less reason to ""tweet."" Sadly, I don't know if that will ever happen!",805804034309427000
2016-12-05 23:06:43+00:00,23:06:43,"#ThankYouTour2016 

12/6- North Carolina
https://t.co/79AHq3NC0v

12/8- Iowa
https://t.co/1IuRTVwMSx

12/9- Michiga… https://t.co/vcQaIJ8qoB",805911307270713000
2016-12-06 13:52:35+00:00,13:52:35,"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!",806134244384899000
2016-12-06 16:45:27+00:00,16:45:27,"Join me tonight in Fayetteville, North Carolina at 7pm! 
#ThankYouTour2016 
Tickets: https://t.co/79AHq3NC0v https://t.co/KoZCE7JeG7",806177746397306000
2016-12-06 19:09:49+00:00,19:09:49,"Masa (SoftBank) of Japan has agreed to invest $50 billion in the U.S. toward businesses and 50,000 new jobs....",806214078465245000
2016-12-06 19:10:27+00:00,19:10:27,Masa said he would never do this had we (Trump) not won the election!,806214236053667000
2016-12-06 21:17:45+00:00,21:17:45,"Departing New York with General James 'Mad Dog' Mattis for tonight's rally in Fayetteville, North Carolina! See you… https://t.co/Z8sgJBWI09",806246271405162000
2016-12-07 03:33:20+00:00,03:33:20,"A great night in Fayetteville, North Carolina. Thank you! #ICYMI watch here: https://t.co/ZAuTgxKPpb https://t.co/EF9xRWmciA",806340792247795000
2016-12-07 12:18:56+00:00,12:18:56,I will be interviewed on the @TODAYshow at 7:30. Enjoy!,806473064703725000
2016-12-07 18:38:00+00:00,18:38:00,"We pause today to remember the 2,403 American heroes who selflessly gave their lives at Pearl Harbor 75 years ago...
https://t.co/r5eRLR24Q3",806568460620857000
2016-12-07 19:37:32+00:00,19:37:32,"Join me tomorrow in Des Moines, Iowa with Vice President-Elect @mike_pence - at 7:00pm!
#ThankYouTour2016 #MAGA… https://t.co/Geq6sT70IT",806583438748815000
2016-12-08 00:41:48+00:00,00:41:48,"Chuck Jones, who is President of United Steelworkers 1999, has done a terrible job representing workers. No wonder companies flee country!",806660011904614000
2016-12-08 01:56:40+00:00,01:56:40,"If United Steelworkers 1999 was any good, they would have kept those jobs in Indiana. Spend more time working-less time talking. Reduce dues",806678853305384000
2016-12-08 21:15:52+00:00,21:15:52,Today we lost a great pioneer of air and space in John Glenn. He was a hero and inspired generations of future explorers. He will be missed.,806970576359325000
2016-12-08 22:55:24+00:00,22:55:24,"On my way to Des Moines, Iowa- will see you soon with @mike_pence. Join us! Tickets: https://t.co/1IuRTVwMSx #ThankYouTour2016",806995622117122000
2016-12-08 23:12:11+00:00,23:12:11,"Join me tomorrow! #MAGA 
10am- Baton Rouge, LA. 
Tickets: https://t.co/rvIQ6Yq45P
7pm- Grand Rapids, MI.
Tickets: https://t.co/2UTwAg5V87",806999846674698000
2016-12-09 03:02:04+00:00,03:02:04,"THANK YOU IOWA!
#ThankYouTour2016 https://t.co/v6EB2OQMeO",807057700857188000
2016-12-09 19:42:30+00:00,19:42:30,"Join me live in Louisiana! Tomorrow, we need you to go to the polls &amp; send John Kennedy to the U.S. Senate. https://t.co/O0jtz0BKeL",807309464705630000
2016-12-09 22:13:21+00:00,22:13:21,Thank you Louisiana! Get out &amp; vote for John Kennedy tomorrow. Electing Kennedy will help enact our agenda on behal… https://t.co/sHXeyreEZI,807347429062443000
2016-12-10 03:30:50+00:00,03:30:50,"Thank you Michigan. We are going to bring back your jobs &amp; together, we will MAKE AMERICA GREAT AGAIN!
Watch:… https://t.co/EyLOo26FqW",807427326522884000
2016-12-10 11:19:24+00:00,11:19:24,".@RudyGiuliani, one of the finest people I know and a former GREAT Mayor of N.Y.C., just took himself out of consideration for ""State"".",807545243608420000
2016-12-10 11:27:22+00:00,11:27:22,I have NOTHING to do with The Apprentice except for fact that I conceived it with Mark B &amp; have a big stake in it. Will devote ZERO TIME!,807547249681166000
2016-12-10 12:38:24+00:00,12:38:24,"As a show of support for our Armed Forces, I will be going to The Army-Navy Game today. Looking forward to it, should be fun!",807565127021109000
2016-12-10 14:11:49+00:00,14:11:49,"Reports by @CNN that I will be working on The Apprentice during my Presidency, even part time, are ridiculous &amp; untrue - FAKE NEWS!",807588632877998000
2016-12-10 14:14:23+00:00,14:14:23,"A very interesting read. Unfortunately, so much is true.
https://t.co/ER2BoM765M",807589280071684000
2016-12-10 18:41:12+00:00,18:41:12,"RT @TrumpInaugural: Counting down the days until the swearing in of @realDonaldTrump &amp; @mike_pence. Check in here for the latest updates. #…",807656426374103000
2016-12-10 19:09:13+00:00,19:09:13,October 2015 - thanks Chris Wallace @FoxNewsSunday! https://t.co/VEsgPcWq7z,807663477322027000
2016-12-10 19:09:28+00:00,19:09:28,"RT @FoxNewsSunday: Sunday-- our exclusive interview with President-elect @realDonaldTrump 
Watch on @FoxNews at 2p/10p ET 
Check your local…",807663539116802000
2016-12-11 12:56:18+00:00,12:56:18,I will be interviewed today on Fox News Sunday with Chris Wallace at 10:00 (Eastern) Network. ENJOY!,807932020236124000
2016-12-11 13:12:06+00:00,13:12:06,"Being at the Army - Navy Game was fantastic. There is nothing like the spirit in that stadium. A wonderful experience, and congrats to Army!",807935995316408000
