SH,SZ,DJI,FTSE,HIS,N225,SPX
0.01177438,-0.001194932,-0.001128759,0.004020748,0.020693311,0.002534611,0.003110806
-0.008556452,-0.000902283,0.000157006,0.001364392,0.006134306,0.004634515,0.000545376
-0.019060321,-0.020172509,0.003133067,-0.000600538,-0.006589126,-0.00465043,0.003993283
0.001008331,0.002411509,0.001067607,0.001359738,0.00122518,0.010862314,0.002877549
0.005228179,-0.008047863,0.004304077,0.000691816,0.005134162,0.007456628,0.001745232
0.018874826,0.016589724,-0.003450247,-0.007132545,-0.003794479,-0.013334968,-0.009425438
-0.031432372,-0.027632311,0.00502253,-0.004598908,-0.026231242,0.015954902,0.008291384
0.013428694,0.014311965,0.002784309,0.004506154,-0.001456308,0.006799546,0.002423567
0.002671554,0.004547516,-0.009465273,-0.007820321,-0.002895469,-0.011633501,-0.010882186
0.004007279,0.007297141,0.010853593,0.007127127,-0.009006399,-0.008342332,0.012422194
0.003015438,-0.000812139,-0.01146643,0.003406762,0.010105828,-0.002546691,-0.010654438
-0.029703105,-0.03308787,-0.020318871,-0.016890928,-0.018239461,0.012116266,-0.019126605
0.002222571,7.74E-05,-0.02109707,-0.015935777,-0.020096129,-0.025898322,-0.022389806
-0.009630368,-0.025182053,0.002344644,-0.006036816,-0.006563812,-0.007378995,0.004587541
-0.010984203,-0.010033307,-0.00025207,-0.008080852,-0.006176897,-0.017987842,-0.004212071
-0.024541432,-0.024978784,0.00409879,0.003139368,-0.024036832,-0.007114645,0.004868323
-0.010918189,-0.009564731,-0.011367432,-0.011316719,-0.003799468,0.01569829,-0.011888153
0.002520087,0.006098932,-0.00526359,-0.013843422,0.016009418,-0.020983357,-0.009877767
-0.001621477,0.001379192,0.011672558,0.008279305,-0.011580584,0.000684211,0.014165355
-0.016164511,-0.012276959,0.010869938,0.011286129,0.006032847,0.016142372,0.012889515
-0.002262396,-0.006374374,-0.002557447,0.006818174,0.001403384,0.003199938,-0.005489426
0.023280142,0.028927176,-0.026477507,-0.005724899,0.021950315,-0.004657935,-0.031635816
-0.002842741,-0.007620193,0.001004277,-0.021909067,-0.018529757,-0.029286272,0.002892972
-0.018840905,-0.020953732,-0.010425473,-0.015370544,-0.033825567,-0.010522409,-0.008902849
-0.001439423,0.00253096,0.015050094,0.006187201,-0.005823639,-0.001902969,0.012955814
0.004645815,0.001931786,-0.00201622,0.003823932,0.012170032,0.003125114,-0.002235056
0.011349324,0.017796598,0.010485381,0.003934081,0.006644854,0.012784264,0.009633914
0.001005027,0.003213607,-0.004450856,0.005729862,0.018326409,0.03008914,-0.002748402
0.010871526,0.006537815,0.027756179,-0.00369374,-0.001084829,-0.0046616,0.029770646
-0.004894114,-0.00744263,-0.009771783,0.039953782,0.005342733,-0.01491639,-0.012176614
-0.006957293,-0.011888001,0.008883431,-0.006933457,0.011986918,-0.009543543,0.009673506
0.013190411,0.017484849,-0.005134538,0.005222375,-0.00755696,0.002379872,-0.002083164
