jobname,money,company_name,p_bot,industry,job_bt
机器学习,25k-50k,无秘,"25k-50k,经验3-5年,硕士","移动互联网,金融 / B轮","
职位描述：

开发和改进风控模型，提升产品和后台管理系统的智能度。

要求：
1、非常扎实的数学和机器学习基础，有2年以上数据挖掘领域的工作经验。
2、关注成效，能灵活运用各种算法解决实际问题。
3、喜欢跟踪机器学习领域的业界动态和发展趋势。
4、自我驱动。

"
机器学习工程师,18k-35k,阳光产险信保事业部,"18k-35k,经验3-5年,硕士",金融 / 不需要融资,"
职位描述：

岗位职责
1. 利用机器学习方法解决金融领域的实际业务问题；
2. 研究非结构化数据在信贷风控领域中的应用；
3. 探索深度学习、增强学习、迁移学习等技术在金融业务的应用；
4. 跟踪人工智能前沿技术，在实际业务中尝试应用；
 
岗位任职条件：
1. 计算机/数学/统计/金融或相关领域学位，统招本科及以上学历；
2. 扎实的算法、编程、数理基础，熟练使用Java、Python中的至少一种编程语言；
3. 熟悉常用的机器学习、深度学习算法，有实践经验者优先；
4. 熟悉中国市场信贷、股票、债券、基金等产品和规则，有量化相关从业经历者优先；
5. 具备大数据处理能力，有分布式环境下非结构化数据处理经验者优先；
6. 善于学习，思维活跃，乐于挑战，有良好的沟通表达能力和团队精神；

"
机器学习总监,40k-80k,创新工场AI工程院,"40k-80k,经验5-10年,本科",移动互联网 / 未融资,"
职位描述：

职位描述：
1）负责AI工程院机器学习平台产品研发；
2）制定产品研发计划以及项目管理；
3）组建和带领技术团队完成研发目标。
任职要求：
1）大数据和机器学习领域三年以上研发管理经验；
2）熟悉机器学习底层算法和应用框架；
3）善于组织管理，具有很强的执行力；
4）具备较强的解决问题能力和良好的沟通能力。

"
机器学习开发工程师,25k-35k,chinapex,"25k-35k,经验3-5年,硕士","数据服务,广告营销 / B轮","
职位描述：

工作职责:
1.负责公司智能化数据服务平台机器学习和数据挖掘产品的研究与开发
2.负责机器学习和深度学习框架的研究和改进，包括整合框架以及常用算法和模型
 
职位要求：
1.计算机相关专业硕士以上学历，三年以上工业界工作经验
2.具备扎实的数据挖掘/机器学习基础，熟练掌握常用模型包括分类/聚类/回归/深度学习等机器学习算法
3.熟练Spark ML/Tensorflow等机器学习框架，有大数据处理经验，熟练部署与使用Hadoop/Spark集群的优先
4.有强烈的上进心和求知欲，善于学习和运用新知识，有良好的团队意识

"
中级机器学习/数据挖掘工程师,15k-30k,360企业安全,"15k-30k,经验1年以下,本科","电子商务,企业服务 / 不需要融资","
职位描述：

职位描述：

 负责大规模机器学习、认知计算的算法和相关系统研发。


岗位要求    

本科以及以上学历，一年相关职位工作经验；
掌握一项以上keras、nolearn、lasagne、theano、tensorflow等机器学习工具，能通过数据挖掘技术处理海量数据，分析与挖掘潜在规律和关联，认识、建模并解决实际问题。


"
机器学习/深度学习平台高级研发工程师--北京,20k-40k,百度,"20k-40k,经验3-5年,本科","移动互联网,数据服务 / 不需要融资","
职位描述：

-研究国内外主流机器学习/深度学习框架的实现及相关理论、技术，包括但不限于Tensorflow、PaddlePaddle、Mahout、SparkMllib    -基于以上主流机器/深度学习框架，研发云端机器学习/深度学习产品。 (https://cloud.baidu.com/product/bdl.html  ; https://cloud.baidu.com/product/bml.html )    
-计算机或相关专业本科及以上学历    -熟悉Linux/Unix平台上的主流编程语言，例如Python、Java等    -善于学习新的知识，对解决具有挑战性的问题充满激情    -良好的团队合作精神，较强的沟通能力    

"
机器学习工程师,25k-50k,roobo,"25k-50k,经验3-5年,本科",移动互联网 / B轮,"
职位描述：

工作职责
1.    负责搜索、推荐以及其他AI相关的机器学习建模和改进；
2.    改进已有模型，研发新模型，解决复杂问题；
3.    跟进业界新的研究成果，使用新技术促进业务发展。
职位要求
1.    机器学习相关专业研究生以上学历，3年以上工作经验；
2.    熟悉常用的机器学习理论，熟悉理论推导以及参数优化等过程，有良好的数学基础；
3.    熟悉linux环境，精通 C++、Python等程序设计语言；
4.    具有良好的分析问题能力和解决问题能力，对解决具有挑战性问题充满激情。
有如下经历者优先
1.    有深度学习开发或应用经验；
2.    有机器学习工具改进经验，或在顶级会议上发表过高质量论文；
3.    有机器学习系统架构设计和开发经验；
4.    有个人技术博客或在各技术社区活跃。

"
深度/机器学习,25k-50k,深睿医疗,"25k-50k,经验不限,硕士","移动互联网,医疗健康 / A轮","
职位描述：

职位描述：
研究深度学习（包括各种神经网络结构与应用）或计算机视觉各个领域（目标检测识别等）中核心算法
将上述核心算法和模型应用到医疗领域的现实场景中，并针对应用场景进行优化和定制等
将算法高效地实现到多种不同平台和框架上，并基于对平台和框架的内部机制的理解，持续对算法和模型实现进行优化
支持公司在医疗领域相关应用产品的研究、开发、文档撰写工作；
岗位要求：
机器学习/模式识别及其他相关领域硕士及其以上学历
在深度学习领域有较深的理论研究和实践经验
良好的算法基础，扎实的编程功底，有较大型项目的开发经验
能够熟练使用OpenCV，精通C/C++，Python,      golang等，熟悉Linux开发环境
善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神，有创造性思维，有推进人工智能的理想和使命感。
有以下经验者优先：
有深度学习相关经验，有RNN，CNN模型训练经验，熟悉常用的深度学习软件（如caffe，theano等）
在相关方向知名国际会议发表过论文（如CVPR，ICCV，ECCV，NIPS，ICLR，TPAMI等）
参加过国际国内算法类竞赛，并取得一定名次者

"
机器学习J10027,15k-25k,TalkingData,"15k-25k,经验1-3年,硕士",移动互联网 / C轮,"
职位描述：

工作职责：TalkingData（北京腾云天下科技有限公司）成立于2011年，是国内专业的独立第三方移动数据服务平台。TalkingData一直致力于数据的深耕与数据价值的挖掘，从数据的采集、处理到数据的分析，再到数据的应用与咨询，目前，TalkingData已经形成了一套以“智能数据平台(SmartDP)”为主的完整数据应用体系；构筑了一套以数据商业化平台、数据服务平台，及数据合作平台为核心的数据生态。目前，TalkingData的平均月活跃用户为7亿，为超过12万款移动应用，以及10万应用开发者提供服务。覆盖的客户主要为金融、地产、快消、零售、出行、政府等行业中的领军企业，连续三年实现业务的三倍快速增长。职位描述：1，利用机器学习解决公司数据业务相关的问题2，通过算法建模解决线上数据系统的预测相关的问题3，通过算法模型，构建基于大数据的数据产品4，跟踪国内外先进的机器学习和相关的数据科学问题任职资格：1，掌握常用的机器学习的算法模型2，掌握Spark、Flink等大数据处理技术3，掌握TensorFlow,Caffe等深度学习的技术4，掌握Scala,Python,R等数据科学常用的语言5，了解广告防作弊、金融征信、文本处理等等数据科学业务6，对数据敏感，能够用算法解决问题""

"
机器学习/数据挖掘研发工程师,20k-35k,尚德机构,"20k-35k,经验不限,硕士",教育 / B轮,"
职位描述：

岗位职责：   
1.通过用户的属性和行为，构建特征和模型，预测用户下一步的行为；   
2.移动APP内容推荐，为用户个性化地推送内容；
3.深度学习等前沿技术的调研与应用。
招聘要求：    
1.计算机或数学相关专业本科以上学历（包括统招和自考）；   
2.熟悉机器学习经典算法（分类、聚类、回归、DNN等），并具备实践经验；    
3.熟悉linux操作系统和常用命令,熟练使用python或其他脚本语言；   
4.熟练使用一门常用开发语言，如c++/java；   
5.有推荐、广告点击率预估、语音识别或者其他机器学习方面工作经验；   
6.对数据敏感，对使用机器学习解决工业问题有热情。

团队构成： BAT一线互联网团队成员+技术氛围浓+学历背景强+分享平台优。团队核心分别来自雅虎p4p（pay for porformance）团队，阿里妈妈&腾讯soso广告创始团队（后广点通），前美团金融支付项目技术团队负责人，前搜狗品牌广告技术团队负责人等。

内部福利：（只要技术被认可，薪资超给力）
校招：完爆一线互联网公司起薪（24w年薪起）+团队牛人辈出（拽且谦卑）+导师责任承包制+逗逼活动多（男女比例不失调）+扁平化团队管理
社招：一线互联网薪资水平（15薪）+完善社保公积金福利+扁平化团队管理（职业晋升无天花板）+内部教育资源共享（免费学习部分课程产品）

"
机器学习/自然语言处理,20k-40k,大特保,"20k-40k,经验1-3年,本科",金融 / B轮,"
职位描述：

岗位职责1. 参与互联网保险领域的自然语言处理、人工智能方向的技术研发；2. 参与保险智能问答、智能交互的研发；3. 结合保险业务的搜索、推荐等场景，灵活应用数据挖掘、NLP、机器学习等技术解决实际问题。岗位要求：1.较强的编程实现能力，熟练掌握Python/Java/c的一种或多种语言，熟练掌握算法和数据结构；2.了解NLP、数据挖掘、机器学习的基础知识，能对问题不断优化解决方案；3.优秀的分析和解决问题的能力；4.有实际项目经验者优先、有对话机器人经验者优先；

"
