jobname,money,company_name,p_bot,industry,job_bt
机器学习算法工程师,20k-40k,追一科技,"20k-40k,经验不限,硕士","移动互联网,企业服务 / B轮","
职位描述：

岗位职责：1.根据公司的需要，负责建设为公司业务服务的机器学习、数据分析算法平台；2.针对项目涉及的核心算法，应用多核、多机、GPU等并行化方案优化执行效率；3.针对公司开放平台建设需求，参与平台的架构、接口的设计与实现。 
岗位要求：1.全日制本科毕业及以上；2.精通C/C++/Python等编程语言，精通Linux系统应用开发；3.了解机器学习算法原理，对算法高效实现有浓厚兴趣，有一定机器学习算法实现经验；4.有知名互联网公司工作、实习经历者优先；5.有并行计算、GPU计算相关经验者优先。

"
机器学习讲师组长J10066,30k-40k,传智播客,"30k-40k,经验3-5年,本科",教育 / C轮,"
职位描述：

工作职责：1、负责python机器学习部分的研究工作；2、负责机器学习的授课工作；3、制作课程案例，编写教学文档；任职资格：1、熟练掌握python语言，熟练使用第三方框架；2、扎实的计算机基本功及数学基础；3、熟悉常见机器学习算法（如逻辑回归、SVM、神经网络、决策树、贝叶斯等）；4、熟悉Linux开发环境；5、熟悉至少一种深度学习训练工具（Caffe/Theano/Keras/ConvNet/TensorFlow/Torch等）；6、具有较好的团队合作精神、沟通能力和较强的责任感；7、思路清晰，有较强的学习能力。

"
机器学习算法-智能通知栏,25k-40k,小米,"25k-40k,经验3-5年,硕士",移动互联网 / D轮及以上,"
职位描述：

【职位吸引】
1.海量推送数据；
2.技术团队赞；
3.小米期权！！！

【岗位职责】
1. 负责将大数据算法与MIUI系统相集成，通过机器学习方式，提升push准确率，改善用户日常使用手机的体验；
2. 利用大数据对线上算法性能、日志进行分析，挖掘提升线上系统算法的性能与稳定性。
【招聘要求】
1. 统招硕士以上学历，计算机相关专业；
2. 3年以上工作经验，熟练使用Linux系统的常用命令和开发环境；
3. 熟悉Java/Scala等编程语言；
4. 有一定的spark/mapreduce/hive等大数据平台经验；
5. 具备良好的机器学习基础；
6. 追求架构和代码的极致优雅。

"
高级机器学习算法工程师,30k-60k,网易,"30k-60k,经验3-5年,本科","电子商务,移动互联网 / 上市公司","
职位描述：

岗位职责
1. 针对计算广告，内容推荐，图像处理，OCR，机器翻译，语音等业务，开发机器学习算法原型系统，开展线上算法实验；2. 对实验数据进行处理和分析，发现现有系统和算法的不足，提出改进并推动实现；3. 追踪算法前沿技术，探索将新技术应用于实际业务。

资格要求：
1. 计算机或相关专业本科以上学历，有较多的程序开发经验；2. 熟悉linux，java和C/C++开发；3. 有以下领域之一的背景：机器学习/数据挖掘/信息检索/自然语言处理/统计分析/图像处理，OCR/语音识别/Hadoop/Spark。有深度学习和神经网络模型经验者优先；4. 良好的主动性，逻辑思维能力和沟通能力

"
资深算法工程师（机器学习方向）,30k-60k,云之梦科技,"30k-60k,经验5-10年,博士","移动互联网,O2O / A轮","
职位描述：

岗位职责：
负责机器学习相关技术领域的课题研究工作和应用开发， 跟踪国内外机器学习领域最新的研究方向和技术成果。
任职要求：
机器学习及深度学习等相关专业博士学历, 5年以上研发经验；
对深度学习相关算法有深入研究，在国际顶级会议或期刊有代表性工作发表；
扎实的数学基础及较强的工程能力，熟练掌握C++编程；
具备良好的团队合作精神和沟通表达能力；
有一定项目管理经验。

"
机器学习工程师,12k-24k,安存科技,"12k-24k,经验3-5年,硕士","移动互联网,数据服务 / 未融资","
职位描述：

岗位职责：
1.负责机器学习算法的开发及优化；
2.负责大数据预测产品的核心模型与算法的创新研究和实现；
3.应用机器学习、统计预测等前沿技术分析设备传感器海量数据；
4.参与大数据预测模型的产品和服务的实施；
岗位要求：
1.计算机或数学统计等相关专业本科以上学历，3年以上数据科学相关工作经验；
2.扎实的机器学习、数据统计理论和技术基础，有相关研究或工程经验 ；
3.扎实的编程基础，熟悉scala/Python/R等编程语言；
4.优秀的逻辑思维和独立思考能力，对数据有敏锐的直觉；
5.熟悉Linux开发环境，良好的系统编程、数据结构、算法基础、系统设计能力；
高端人才待遇可以面议！

"
【实验室】机器学习--开发工程师--北京,16k-32k,美图公司,"16k-32k,经验1-3年,本科","移动互联网,硬件 / 上市公司","
职位描述：

部门介绍：
•高速发展的美图公司（产品包括美图秀秀，美拍，美图手机等）在全球拥有超过10亿用户，以技术创新切实改变了人们的生活方式。
•影像实验室（MTlab, http://mtlab.meitu.com/）是美图的核心算法研究部门，成立于2010年，致力于计算机视觉和深度学习技术。
•这里有业界顶尖的研发团队，海量的数据资源，最前沿最有趣的研究课题；这里没有条条框框，尊重个性，给你广阔的发展空间！

工作职责：
以提高深度学习的实验效率为宗旨，负责开发维护相关工具和云平台建设。
职业发展方向:
可成为懂AI的全栈工程师或架构师
 
任职资格：
1. 了解机器学习，深度学习相关概念
2. 常用Python, 熟悉c++
3. 掌握至少一门Python Web开发框架（Tornado、Django、Flask等)，有Web后端开发实际项目经验
4. 掌握linux下的开发工具(包括shell, vi , git等)的使用
5. 计算机原理基础扎实，好学，积极主动
6. 有独立分析和解决问题的能力，有良好的团队合作精神
7. 工作经验：1-2年或优秀应届生
 
对以下任一项熟悉的优先：
1. caffe, pytorch, mxnet, tensorflow等机器学习框架
2. docker或相关容器技术

"
机器学习工程师,15k-30k,上海宏鹿信息技术服务有限公司,"15k-30k,经验1-3年,本科",移动互联网 / 不需要融资,"
职位描述：

1.参与数据采集、机器学习，个性化推荐系统的设计和开发；
2.整个推荐系统架构设计和开发, 研发高质量的相关推荐算法和个性化推荐算法；
3.针对计算广告，内容推荐等业务，开发机器学习算法原型系统，开展线上算法实验；
4.对实验数据进行处理和分析，发现现有系统和算法的不足，提出改进并推动实现；

任职资格：
1. 机器学习/模式识别等相关专业本科及以上学历；
2. 在机器学习领域有较深的理论研究和实践经验，2年以上工作经验；
3. 熟悉linux，java和C/C++开发；并熟练使用以下脚本语言：python/shell/scala；
4. 良好的主动性，逻辑思维能力和沟通能力。

"
自然语言处理及机器学习研究员,20k-40k,三角兽科技,"20k-40k,经验1-3年,硕士",移动互联网 / A轮,"
职位描述：

这是一份偏向理论研究的工作，需要应聘者对自然语言处理与机器学习及相关领域中的前沿知识有深度认知。

有项目经验者优先录取，加入我们的团队，你将站在全新的视角感受人工智能带给我们的变化和影响！

【工作职责】
1、 参与研究对话语义建模、问答系统、短文本语义理解、无结构文本挖掘等 NLP 关键前沿技术；
2、参与探索深度学习模型在 NLP 领域中的应用，实现真正美观有效的深度学习模型；
3、 参与构建各种基本机器学习的实用化工具包。
 
【职位要求】
1、计算机及相关专业硕士及以上学历；
2、具备自然语言处理及机器学习方面的基础理论知识，有相关实战项目经验者优先；
3、了解当前主要深度学习模型的基本框架及基本思想，有一定的 Tensor Flow 或 Keras 等深度学习框架使用经验，在深度学习领域发表过论文或有意愿发表论文者优先；
4、熟悉 C/C++及 Python 语言，有一定的编程能力；
5、思路清晰，主动性强，能承受工作压力，能够迅速融入团队。



"
高德-数据挖掘&机器学习算法高级工程师/技术专家,18k-36k,阿里巴巴—高德,"18k-36k,经验3-5年,本科",移动互联网 / 上市公司,"
职位描述：

职位描述：
1. 高德大数据是阿里巴巴大数据战略重要组成部分，基于高德百PB级海量日志数据，通过数据挖掘建立多维度地理画像和用户画像；
2. 以高德大数据为核心，对具体问题进行分析，构建机器学习模型，参与高德数据产品与应用的数据研发，发掘数据商业价值，结合阿里巴巴经济体各类大数据，为阿里巴巴经济体各项业务进行数据赋能。

职位要求：
1. 本科及以上学历，计算机、数学等相关专业，至少有1年工作经验；
2. 熟悉常用算法和数据结构，熟悉数据挖掘、机器学习；
3. 具备Linux环境研发能力，至少熟悉一门编程语言；
4. 有Hadoop等海量数据研发经验优先；
5. 有用户画像、广告、推荐、金融建模等相关经验者优先。

"
