company,bt
泛微,利用 相关 技术 算法 提供 文本 分析 相关 基础 方案 服务 针对 海量 文本 内容 进行 中文分词 语义识别 自动聚类 等 文本挖掘 工作 负责 搭建 相关 机器学习     大 数据计算平台 负责 数据 业务 紧密 集合 熟练掌握 自然语言处理 NLP 相关 理论 技术 方法 熟练掌握 使用 java 数学 正则 至少 掌握 一种 脚本语言 熟悉 中英文分词 词性标注 实体识别 句法分析 自动文本分类 关键值提取 等 自然语言处理 技术 熟悉 语义分析 方法 技术 相似度计算 本体理论 语义推理 等 熟悉 人机对话 前沿 方向 研究 方向 熟悉 了解 人工智能 机器学习 等 领域 前沿 方向 研究 动向 具备 将 机器学习 自然语言处理 理论 转化 为 实践 能力 具有 相关 项目 研发 经验 者 项目 主要 参 人员 优先
美团点评,描述 描述 1 负责 对话系统 研究 开发 2 将 对话系统 最新 研究成果 应用 于 外卖 垂直 领域 开发 外卖 语音交互 解决方案 资格 13 年 以上 自然语言处理 相关 研发 经验 2 有 扎实 自然语言处理 机器学习 技术 基础 3 有过 对话 管理 相关 技术 意图解析 对话生成 知识图谱 等 研发 经验 者 优先 4 有过 深度 学习 研究 经验 者 优先
知网,岗位职责           负责 自然语言 相关 算法 研发 任务         海量 数据 处理 挖掘         上级 领导 监督 下 定期 完成 量化 工作         能 独立 处理 解决 所 负责 任务         根据 开发进度 任务分配 完成 相应 模块 软件 设计 开发 编程 任务         进行 程序 单元 功能 测试 查出 软件 存 缺陷 并 保证 其 质量           岗位             1 熟悉 分词 语义分析 信息抽取 等 自然语言处理 基础 算法 应用             2 熟悉 分类 聚类 情感分析 关联规则挖掘 协同过滤 等 常用 机器学习 数据挖掘 算法             3 对 搜索引擎 有 一定 了解             4 熟悉 python c 至少 一门 语言 开发 有 扎实 数据结构 算法 基础             5 有 较 强 系统设计 编程能力             6 计算机科学 数学 统计 等 相关 专业 优先  
Gridsum 国双,针对 海量 文本 内容 进行 中文分词 语义识别 自动 文本 聚类 情感分析 等 文本挖掘 工作 为 公司 产品 加入 文本挖掘 功能 实际 场景 中 有效 运用 成熟 文本挖掘 算法 将 文本挖掘 技术 产品化 小组 产品设计 讨论 共同 讨论 设计 产品 自然语言处理 相关 专业 毕业 熟练掌握 自然语言处理 领域 基础理论 方法 熟悉 中文分词 语义分析 文本 聚类 情感分析 等 基础 算法 应用 拥有 编程能力 可以 通过 编写程序 实现 运用 文本挖掘 算法 解决 实际 问题 拥有 根据 实际 情况 调整 优化 文本挖掘 算法 能力 以 达到 最终 商业 目标 拥有 实际 文本挖掘 项目 经验 熟悉 软件开发 流程 配置 库 使用 拥有 软件开发 流程 中 代码 规范 意识 配置管理 规范 意识 文档 撰写 规范 意识 团队 合作 沟通交流 意识
中邮消费,利用 自然语言处理 NLP 机器学习 算法 对 海量 数据 进行 挖掘 分析 包括 但 不 限于 文本 聚类 语义理解 信息抽取 知识图谱 对话生成 等 开发 自然语言 对话系统 后 端 服务 应用
秒针系统,        1   利用 相关 技术 算法 提供 文本 分析 相关 基础 方案 服务 2   针对 海量 文本 内容 进行 中文分词 语义识别 自动聚类 等 文本挖掘 工作   1   硕士 及 以上学历 计算机 统计 等 相关 专业 对 数据 敏感 2   熟悉 中英文分词 词性标注 实体识别 句法分析 自动文本分类 关键值提取 等 自然语言处理 技术 熟悉 语义分析 方法 技术 相似度计算 本体理论 语义推理 等 3   具备 将 机器学习 自然语言处理 理论 转化 为 实践 能力 4   熟悉 python JavaC 之一 编程语言 具备 以下 任意 一项 优先 5   熟悉 人工智能 知识图谱 深度 学习 等 领域 前沿 方向 研究 动态 并 具备 实现 论文 能力 6   熟悉 hive hbase es spark 等 大 数据 存储技术
笨鸟社交,自然语言处理 工程师 基于 机器学习 自然语言处理 提取标签化信息 推荐系统 开发
蓦然认知科技,内容 1   负责 后 端 服务 研发 维护 策略 算法 迭代 升级 2 相关 领域 数据挖掘 自动更新 3 支持 产品线 效果 迭代 1   至少 有   自然语言处理 信息检索 机器学习 数据挖掘 数学   之一 专业 背景 或 相关 项目 经历     2   数据结构 基础 扎实 了解 常用 算法 3   熟悉 C 编程语言 或能 尽快 上 手   4   熟悉 Linux 开发 环境 熟练 使用 至少 一种 脚本语言 shell awk python perl 5   善于 思考 有 较 强 分析 解决问题 能力   6   踏实 上 进 有 较 强 沟通 协作 能力     关于 蓦然认知科技 我们 是 一家 专注 于 认知 计算 自然语言 理解 技术 初创 公司 对外 提供 人机 协作 智能 对话 整体 解决方案 是 国内 唯一 家 能够 全 语音 完成 复杂 任务 决策 引擎 该 决策 引擎 可 为 机器人 智能 硬件 等 设备 制造商 提供 流畅 人机对话 精准 语义理解 以及 知识 推理 自动化 服务 对接 功能 可以 全 语音 全自动 完成 车载 交互 家居 交互 客服 问答 等 工作 并 可以 替代 特定 场景 下 人工 服务 如 餐馆 服务员 公司 前台 客服 场馆 导游 个人 助理 等 是 一个 可以 快速 移植 实时 学习 多 场景 融合 机器人 交互 及 决策 系统   公司 文化 创新 一直 以来 人工智能 赋予 了 人类 无限 遐想 空间 蓦然 认知 鼓励 每 一个 加入 合作伙伴 都 需要 拥有 丰富 想象力 创造力 来 未来 世界 对话 专注 人工智能 领域 太过 广泛 我们 推崇 执着 专注 打造 全球 最大 中文 交互 决策 引擎 唯实 我们 相信 实践 是 检验 真理 唯一标准 人工智能 前沿 科技 是 为了 更好 帮助 人类 解决 实际 问题   公司 福利 加入 我们 你 将 顶级 自然语言处理 专家 共同 打造 全球 最大 中文 交互 决策 引擎 加入 我们 你 将 来自 不同 领域 伙伴 们 一起 合作 提高 技术 市场 产品 全方位 领导力
海知智能,1     负责 自然语言处理 深度 学习 海量 文本处理 及 挖掘 中 应用 包括 财经 信息抽取 新闻 主题发现 文本 相关度 模型 知识图谱 构建 文本摘要 等 2     负责 深度 学习 机器人 对话 领域 工作 包括 用户 问答 意图 分析 上下文 对话 理解 知识图谱 任务 型 闲聊 机器人 等 资格 1     从事 过 任务 型 闲聊 问答 机器人 或 深度 学习 nlp 相关 项目 可以 独立 开展 项目 工作 有 一定 抗压 能力 2     熟悉 机器学习 自然语言 基础 算法 有 深度 学习 项目 经验 者 优先 3     熟悉 NLP 领域 一些 开源 算法 库 或 工具 比如 tensorflow keras stanford NLP NLTK Apache Open NLP Kaldi mahout word2vec 等 4     有 文本分类 舆情 情感分析 知识图谱 问答系统 自然语言处理 深度 学习 人工智能 海量 数据处理 挖掘 经验 优先 5     良好 团队 合作 精神 较强 沟通 能力   几个 重要 问题 1       公司 会 非常重视 这个 作为 公司 所有 产品 平稳 落地 技术 业务 测试 支撑 未来 走 技术 专家 还是 管理 路线 公司 都 会 支持 提供 你 想要 舞台 2     哪 类人 特别 适合 对 人工智能 机器人 方向 有 强烈 兴趣 能够 适应 创业 苦 累 有 责任心 有 较 强 学习 能力 并 付诸 实际行动 3     哪 类人 特别 不 适合 只是 想 找 一个 码农 工作 没有 明确 工作 目标 惧怕 挑战 4     需要 应聘者 做 什么 准备 做个 有心人 不要 没有 任何 准备 就 来 面试 了 企业 价值观 GROWTH   MODEL   Goal   结果 导向 不 讲 苦劳 讲 功劳 不 论资排辈   Respect 尊重 以及 值得尊敬 Open 开放 心态 一切 皆 有 可能   Win - win 双赢 以及 多 赢 待人 如己 换位 思考   Trust 信任 以及 令人 信任 做 靠 谱 事儿 成靠 谱 人   Happy   痛 并 快乐 着 不断 超越自我 取得 更大 成就   说明   1 兴趣 主动 聪明 比 当前 能力 要 重要 10 倍 这样 人 我们 团队 成长 会 非常 快 因为 你 可以 直接 来 争取 想 做 事情 公司 一定 竭尽所能 给 你 锻炼 机会 只要 你 能 对 你 自己 负责 把 事情 真正 做到 位 但 如果 是 推 一下 动 一下 人 我们 一定 不会 要   2 对于 特别 优秀 人才 薪酬 范围 可不 局限 此 薪酬 范围 期权 可谈
一下科技,  职责 为 推荐 搜索 广告 等 功能设计 实现 高质量 基础 特征 Category Topic   Entity 等 对 用户 以及 用户 反馈 动作 评论 建模 快速 定位问题 收集 数据 设计 解决方案 提升 产品 体验 具备 强悍 编码 能力 有 扎实 数据结构 算法 功底 2 熟悉 Linux 开发 环境 熟悉 PythonJavaC 语言 3 熟悉 自然语言处理 常见 算法 模型 语言 模型 MaxEnt CRF   pLSALDA   w2v   CNNRNN 等 或 主导 过 NLP 项目 如 中文分词 文本分类 文本 聚类 对 使用 NLP 技术 解决 实际 问题 尤为 感兴趣 者 优先
