jobname,money,company_name,p_bot,industry,job_bt
深度学习工程师/深度学习专家,30k-60k,航仕科技,"30k-60k,经验3-5年,本科","移动互联网,O2O / C轮","
职位描述：

工作要求
1、本科或以上学历，计算机或者模式识别专业等相关专业；
2、掌握机器学习/深度学习等相关知识，有该领域算法的研究或开发经验；
4、熟悉神经网络的各种模型，如：深度神经网络，卷积神经网络，递归神经网络等；
5、熟悉统计学习算法及模型（如支持向量机、Boosting等）
6、熟悉深度学习的开源框架，如Theano,caffe,pylearn2,Keras等；
8、具有较强的自我驱动能力和足够的自信心，崇拜技术，并热衷于改变世界；
7、有图像识别理解，人脸检测识别、目标检测和跟踪项目经验的优先。

*leader全部来自于BAT类型的公司，年底不少于16个月，同等技术水平薪酬待遇广东省排名前3.

*我们对学历有硬性要求，除非有知名互联网公司背景，不然最少本科，好学历有加分！

*除了互联网公司，我们也欢迎华为，三星，小米等有底层经验的人选。

"
深度学习（杭州）,13k-26k,图普科技（深度学习图像识别云）,"13k-26k,经验不限,硕士","移动互联网,数据服务 / A轮","
职位描述：




岗位职责：
1.展开机器学习/深度学习等相关领域研究和开发工作； 
2.从事深度学习系统开发工作（包括机器学习、图像处理等的算法和系统研发）

岗位要求：
1.机器学习/模式识别等相关专业硕士；
2.熟悉linux，c++，python以及后端服务器开发
3.在深度学习领域有一定实践经验；
4.善于解决和分析问题，富有想象力和学习能力，良好的团队合作精神。有创造性思维，有推进人工智能的理想和使命感；

a.写过或较深入参与过深度学习框架开发者优先；
b.在ML/DL方向知名国际会议期刊发表过论文者优先；

"
深度学习工程师,20k-40k,海深科技,"20k-40k,经验1-3年,硕士","移动互联网,电子商务 / A轮","
职位描述：

岗位要求：
1.深入了解机器学习算法，CNN， RCNN 等网络的应用，以及优化技术。
2.熟悉以下深度学习的框架应用中的任意一种：Caffe, Torch, TensorFlow，MXNet。
3.熟悉数据结构和算法，有一定的代码能力，python, C, Java
4.有图像识别算法，以及GPU计算相关经验的优先考虑

公司介绍：
我们是一个做图像识别和智能视频行为分析的创新技术公司，为零售行业提供智能解决方案。视频行为分析是人工智能领域最前沿的应用领域，有巨大的市场应用场景。我们在深度学习领域有世界前沿性的研究成果，为京东，小红书，搜狗，百联集团等著名企业提供技术服务。创始合伙人来自硅谷，有10年以上的研发经验。创始团队来自国内外知名学府：清华，上海交大，佐治亚理工，宾夕法尼亚大学，加州伯克利等高等院校，并曾在Google, Yahoo!, Baidu 等互联网公司担任核心技术岗位。

"
​深度学习平台工程师,15k-30k,OPPO,"15k-30k,经验不限,不限",移动互联网 / 不需要融资,"
职位描述：

岗位职责：1. 大规模深度学习平台建设与维护，支持深度学习网络模型训练。2. 在图像，语音识别等AI方向进行探索&价值落地。招聘要求：1、熟悉DNN、CNN、LSTM等神经网络模型，并掌握其原理。2、扎实的计算机基础，对算法和数据结构有深入应用经验。3、熟练掌握 python及C++或者JAVA两种及两种以上开发语言。4、熟悉常用深度学习开源框架，如MXNet、TensorFlow、Caffe，有较深入的源码研究和一定的实践经验。

"
机器学习,15k-30k,慕课网,"15k-30k,经验1-3年,不限","移动互联网,教育 / 不需要融资","
职位描述：

慕课网招募兼职讲师，负责创作视频课程的内容。
收益为分成形式。

要求：

对数据清洗、探索性分析和可视化等算法以外的实际应用有过研究。案例包括模拟数据（方便略去熟悉数据和数据清洗的步骤）、机器学习的经典案例（如MNIST手写数字图像库）和Kaggle竞赛热门数据集（如泰坦尼克号存亡数据等）。

热爱分享，逻辑思路清晰，普通话标准，语言表达流畅，有公司内部分享或大会分享经验优先。

"
深度学习软件工程师,20k-40k,缤果盒子,"20k-40k,经验1-3年,硕士","移动互联网,O2O / B轮","
职位描述：

职位诱惑：
项目提成,五险一金,弹性时间
岗位职责：
1、负责深度学习平台研发；
2、研发人脸识别、物品识别、检测与跟踪、行人跟踪与统计、动作识别等功能产品；
3、保证以上产品可以在现有平台上正常运转。

任职资格：
1、硕士以上学历，一年以上工作经验，具备CV&ML领域扎实的基础理论和丰富的实践经验，熟悉Deep DNN/CNN理论；
2、熟练掌握C++、Python、docker／kubernetes和GPU编程，熟悉Linux编程环境；
3、对Caffe、TF 、MXnet等深度学习框架有深入的实践，熟练掌握深度卷积神经网络的调参策略；
4、具有良好的沟通能力，和良好的团队合作精神。

"
计算机视觉算法/深度学习算法工程师,15k-30k,地平线机器人,"15k-30k,经验不限,本科","移动互联网,硬件 / C轮","
职位描述：

岗位职责：
1、  负责计算机视觉算法和深度学习算法的前沿技术的研发工作。
2、  负责物体检测（行人、车辆、通用目标）、分类、跟踪、识别、图像理解、图像质量评估和增强，视频分析等前沿技术研发和实现。
 
岗位要求：
1、图像处理、模式识别、机器学习相关专业本科以上。
2、在深度学习、统计机器学习、计算机视觉和最优化方法等方面有较深入的研究。
3、熟悉物体（行人、车辆、人脸、通用目标）检测、跟踪与识别算法。
4、熟悉图像理解（分类、分割等）、视频分析算法。
5、熟悉cnn，rcnn，frcnn，boost，svm其中至少一种，并且有实战经验
6、动手能力强，熟练掌握C/C++/Python/Matlab语言，有较强的算法分析和实现能力
7、精通Caffe、MxNet、Tensorflow、Cuda-convnet、Torch等任一种深度学习开源框架者优先。
8、熟练阅读相关英文论文和专利，并能快速编程实现；

"
机器学习,15k-30k,中移在线服务有限公司,"15k-30k,经验3-5年,硕士",移动互联网 / 不需要融资,"
职位描述：

职位诱惑：
扁平,领导NICE,机会多,薪资福利齐全
职位描述：
一、工作内容/职位描述：
1、负责文本处理、语义分析、分类聚类、情绪识别等算法的研发工作； 2、负责基于文本语义的客服知识库构建，知识挖掘，以及构建基于知识库的智能应用； 3、负责构建基于文本的智能应答系统以及优化提升。
二、任职资格：
教育：硕士或以上学历； 知识：具备计算机软件、数据挖掘，机器学习，模式识别，信号处理等相关专业知识； 技能：有数据挖掘、机器学习相关算法的研究、开发和应用能力； 熟悉某一种或几种脚本语言，具备良好的C/C++编程基础，有一定的项目经验； 有过开源自然语言处理工具的使用经验者优先； 熟悉自然语言处理领域基本理论和方法； 对数据结构和算法设计有较为深刻的理解； 经验：具有3年以上研发经验。 
工作地址

"
深度学习研究员,8k-15k,锐泰利集团,"8k-15k,经验不限,本科",移动互联网 / 不需要融资,"
职位描述：

（1）至少1年深度学习建模算法经验；（2）熟悉Tensorflow、Keras、Mxnet、caffe至少一种平台；（3）工作职责：改进、调优算法；设计新的算法；数据收集处理等；也欢迎优秀的应届生。

"
机器学习,25k-50k,无秘,"25k-50k,经验3-5年,硕士","移动互联网,金融 / B轮","
职位描述：

职位诱惑：
相信技术创新，大数据风控

职位描述：
开发和改进风控模型，提升产品和后台管理系统的智能度。

要求：
1、非常扎实的数学和机器学习基础，有2年以上数据挖掘领域的工作经验。
2、关注成效，能灵活运用各种算法解决实际问题。
3、喜欢跟踪机器学习领域的业界动态和发展趋势。
4、自我驱动。

"
