jobname,money,company_name,p_bot,industry,job_bt
数据挖掘高级工程师/专家,25k-50k,美团点评,"25k-50k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

1.用户行为数据挖掘，建立排序点击调权模型，提升系统转化率。
2.对接业务需求，负责排序特征工程，建立排序学习模型。
3.建立排序学习离线效果评估和线上效果验证的方案。
工作要求：
1.熟悉常用的数据挖掘算法，对排序场景下的机器学习算法有深刻理解，和丰富的应用经验。
2.熟悉常用的排序效果离线评估方案，对排序在线效果对比评估有分析经验。
3.熟悉常用的设计模式，代码整洁。
4.优秀的解决实际问题的能力和良好的学习习惯。

"
数据挖掘工程师,20k-40k,爱云校,"20k-40k,经验3-5年,本科","教育,数据服务 / C轮","
职位描述：

工作职责：

根据需求文档完成功能设计、开发与测试 
分析与解决线上问题，定位线上服务瓶颈与调优系统性能      
分析与挖掘大规模数据 

职位要求：

计算机或相关专业本科以上学历 
熟悉c/c++,      java, python之一，对数据结构和算法设计具有深刻的理解 
具备丰富的Linux/Unix下开发经验，熟悉多线程编程、网络编程，有后端模块开发经验者优先      
熟悉Linux      C/C++开发工具和相关开发测试工具的使用，熟练掌握shell、perl、python使用者优先 
熟悉分布式系统、大规模分布式存储和数据处理、hadoop、spark、redis、mongo等相关技术者优先 
熟练使用关系数据库，如MySQL等

有以下经验者优先
- 网页抓取和解析
- 数据提取与清洗
- 数据库建模、索引优化
- 数据分析与统计
- 参与过数据挖掘、机器学习方面工作或研究

"
数据挖掘工程师/专家,30k-60k,糖豆,"30k-60k,经验3-5年,本科","社交网络,文化娱乐 / B轮","
职位描述：

工作内容：
1. 基于Spark、Hadoop构建统一、高效大数据平台
2. 构建大数据数据仓库，负责用户行为分析以及业务评估
3. 构建精细用户画像，负责推荐、搜索等团队数据合作

岗位要求：
1. 至少要求熟悉Java,Python,Scala语言之一
2. 具有良好数据结构算法原理基础
3. 熟悉MapReduce,HDFS,Hive,Hbase等Hadoop技术栈，至少一年Hadoop开发经验.
4. 熟悉数据库原理，熟悉关系数据库(mysql,postgres等)，了解Nosql更佳。
5. 了解linux原理，有linux环境开发经验，了解Bash等脚本语言

"
数据挖掘工程师（lsht）,20k-30k,网易,"20k-30k,经验1-3年,硕士","电子商务,移动互联网 / 上市公司","
职位描述：

工作职责：
1、深入理解业务，构建用户画像、个性化推荐、预测、  风险控制等系统，完善数据挖掘体系。
2、针对具体的业务问题，提取、抽象为合理有效的数学问题，规划、设计、实现基于数据挖掘的解决方案；
3、 和业务部门密切配合，深入理解业务，使用机器学习方法刻画用户特征并实现原型系统
4、进行数据特征工程和机器学习模型的选取和调优，实现模型的测试和落地；
5、对具体业务需求场景，设计用户价值、用户行为预测、用户分类、用户画像、用户生命周期、用户流失、交易盈利、风险控制等模型

任职资格：
1.、硕士以上学历，计算机、统计、电子、数学、数理统计等相关专业，机器学习/数据挖掘/信息检索/自然语言处理/统计分析相关背景；
2、具有很强利用数据挖掘技术解决实际业务问题的能力和成功案例，对数据挖掘各环节有深入理解；
3、掌握常用的分类、回归、聚类、预测、关联规则、序列模式等挖掘算法，了解数据挖掘前沿技术，对算法的优缺点及适用场景有自己的见解；
4、熟练使用一种或多种数据挖掘工具，熟悉hadoop/Spark /Hive等至少一种分布式计算技术，具有海量数据处理经验；
5、  具有很强的学习和研究能力，英语熟练，能够熟练阅读英文技术资料，积极创新、乐于协作、善于沟通。

"
数据挖掘工程师,25k-50k,猎户星空,"25k-50k,经验不限,本科","移动互联网,硬件 / A轮","
职位描述：

职位描述
负责自然语言及结构化数据信息抽取和挖掘策略研发
负责各种垂类资源搜索服务研发和维护
探索数据挖掘关键技术，并应用到各类数据服务之中
 
职位要求
计算机相关学科本科及以上学历，3年以上工作经验
熟练掌握自然语言处理的基本原理和方法
对机器学习/深度学习的基本原理和方法有一定了解和经验
熟练掌握一门以上计算机语言（如python）和数据处理技能
较强的学习能力和动手能力，对数据敏感且严谨
搜索/推荐/知识图谱相关工作经验者优先
有分布式数据处理平台开发经验者优先

"
数据挖掘工程师,10k-20k,和信贷,"10k-20k,经验3-5年,硕士",金融 / 上市公司,"
职位描述：

岗位职责：
1.负责海量数据的清洗、加工、挖掘等工作；
2.用户价值挖掘，用户兴趣偏好预测，用户行为特征评分，用户基础画像等分析用户潜在商业价值和属性；
3.有过风控建模经验；
4.负责设计并实现数据/特征/模型等相关的化平台服务；
任职要求：
1.要求硕士及以上学历，统计、数学、数据挖掘、计算机等相关方向；
2.要求3年以上相关工作经验，精通统计学、数据挖掘的各种算法；
3.要求熟练使用R、Python、SAS至少一种软件进行建模。

"
数据挖掘工程师,15k-25k,随行付支付有限公司,"15k-25k,经验3-5年,本科",金融 / 上市公司,"
职位描述：


岗位职责： 1、 运用数据挖掘和机器学习方法和技术，深入挖掘和分析业务数据潜在价值； 2、 与业务部门密切配合，寻求数据层面的业务价值，利用数据分析结论推动产品优化； 3、 参与产品设计讨论，共同设计产品，结合具体产品设计合理的文本分析及数据挖掘策略； 4、 参与大数据平台，基于业务的数据提取、统计分析流程优化和性能调优工作； 5、 跟踪学习新的建模和数据挖掘技术，与同事共享知识和经验。   任职要求： 1、 数学、统计学、计算机等相关专业，本科以上学历，三年以上工作经验（非硬性指标）； 2、 熟悉数据结构,熟悉数据挖掘和机器学习算法等常用算法,并对机器学习算法和理论有较深入的研究； 3、 有独立的数据挖掘、机器学习方面项目经验； 4、 熟悉Shell和Linux开发环境，拥有Java、 Python、Scala等开发经验; 5、 有Hadoop、Spark等大数据相关技术经验者优先；  6、 有金融行业工作经验者优先。

"
数据挖掘工程师,15k-30k,新浪网,"15k-30k,经验1-3年,本科",文化娱乐 / 上市公司,"
职位描述：

工作职责：
1、负责支持微博社交传播项目所需的相关性算法、精准匹配算法等
2、负责支持微博商业垂直领域定向精准营销项目，包括但不限用户画像、用户细分、用户分析等

岗位要求：
1、有至少一年以上的互联网行业从业经历且工作内容偏算法方向，有推荐算法、广告算法、垂直用户画像建模方面的经验优先;
2、电信、银行、金融行业等传统行业从业至少两年以上且至少2-3年专题挖掘经验，有用户细分模型、潜在客户挖掘模型、客户流失预测模型、精准营销模型、用户信用模型等方面经验的优先；
3、深入理解MapReduce，要求具有Spark/Hadoop/Storm等大规模分布式计算平台的使用经验；
4、 熟悉数据结构与算法，对数据挖掘与机器学习理论有一定的研究及应用；
5、熟悉Linux环境编程，熟练掌握java/python语言，有良好的编程习惯；
6、较强的分析问题和解决问题的能力，勇于面对挑战性问题

"
培优总部-数据挖掘工程师,18k-28k,好未来,"18k-28k,经验3-5年,硕士","移动互联网,教育 / 上市公司","
职位描述：

工作职责：1、根据需求场景，择选最佳数据挖掘算法，并形成可接受的规则，实现入系统；2、相关分析方向包括：学员学习行为分析，商业价值分析等；3、利用数据挖掘工具进行用户细分，用户偏好，用户网上行为等的研究；4、分析数据，识别潜在问题及其商业价值，设计方案，构建原型；5、将数据挖掘算法及用户研究成果固化成数据产品。任职资格：1、计算机、数理统计等相关专业硕士以上学历；2、具有深厚的统计学、数学、人工智能和数据挖掘知识基础；3、熟练使用R或SPARK MLIB进行数据挖掘分析、熟悉Oracle、Mysql等数据库，精通SQL；4、有互联网背景，有网站用户行为研究经验优先；5、能够主动获取新知识，具有较强领悟力，有系统性思考解决问题能力，能承受挫折知难而进，性格乐观，态度踏实，积极上进，具备良好的客户需求理解能力 ，良好的团队协作和优秀的沟通能力

"
算法工程师（数据挖掘方向）,25k-35k,360,"25k-35k,经验1-3年,本科","移动互联网,游戏 / 上市公司","
职位描述：

【奇虎360  商业数据部】招聘算法工程师（数据挖掘方向）【团队直招】（北京）
 
部门介绍：
商业数据部是奇虎360商业化业务线的重要技术部门之一。部门旨在发挥360在数据方面的独特优势，从大数据中挖掘核心价值，为商业产品提供个性化及精准营销服务，同时打造一系列数据产品，为商业营销决策提供指导和分析，例如大数据营销决策产品—360商易（http://shangyi.360.cn/）、广告转化分析产品—360统计（https://fenxi.360.cn/）、商业数据管理平台——360DMP（http://dmp.360.cn/）。
 
岗位职责：
1. 参与360DMP的长期建设和优化；
2. 设计和研发look-alike（相似人群扩展）、用户画像等DMP相关的模型与算法；
3. 结合360自有的海量用户数据的特点，支持包括相似用户定向、重定向、兴趣定向等在内的多种广告定向方式；
4. 使用分布式机器学习算法对海量数据分析建模；
5. 分析用户行为和个性化需求，发现潜在商业价值，为商业广告和360众多用户产品提供精准人群分析和个性化服务。
 
任职要求：
1. 具备2年以上 自然语言处理 或 计算广告 或 个性化推荐 或 数据挖掘的工作经验；
2. 具备优秀的学习能力、问题解决能力和团队合作意识；
3. 具备扎实的机器学习理论功底，能持续学习前沿机器学习技术；
4. 熟练掌握linux平台下c/c++开发，熟悉Python开发，具有良好的工业级系统开发经验；
5. 熟练掌握Spark/Hadoop优先，熟悉Deep Learning优先。
 
薪资结构根据面试结果定级后面议，可以节前面试，节后入职。

"
