company,bt
美团点评,负责 美团 出行 核心 逻辑 算法 设计 开发 涉及 业务 场景 包括 但 不 限于 调度 分单 司乘 生态 个性化 营销 增长 价格 机制 自动 判则 等 使用 前沿技术 手段 实时 预估 供需 变化 司乘 需求 持续 提升 服务 满意度 平台 经营 效率 对 出行 中 业务 问题 进行 合理 抽象 数据 建模 持续 迭代 优化 线 上线 上 算法 驱动 业务 健康 快速 发展 工作 熟悉 机器学习 运筹 优化 基本 问题 工具 方法 有 较 强 离线 算法 实现 线 效果 优化 能力 优秀 业务 理解 问题 分析 能力 对 复杂 业务 场景 有 好奇心 对 挑战性 问题 充满 激情 有效 抽象 技术 问题 持续 优化 迭代 解决 业务 问题 相信 技术 改变 世界 编程 基础 扎实 熟悉 算法 数据结构 ACM 获奖 顶会 论文 开源 项目 者 优先
云游九州,1 技术 方案设计 2 空间数据 存储 组织 算法 设计 以及 研发 3 网格 体系 技 核心 算法 研发 4 关键 产品 预研 原型 实现 资格 : 1 具备 扎实   C     C   语言 编码 功底 熟悉 常用 数据结构 算法 熟练 使用   C     C   标准 库 或   Boost   等 开源 库 2 掌握   Windows   或   Linux   系统 编程 熟悉   POSIX   标准 3 熟悉 并发 编程 网络 编程 对 多线程 多 进程 并发 模型 进程 间通信 高级   IO   等 有 认识 了解 4 能够 阅读 编写 相关 技术 文档 对 技术 思想 有 较 好 抽象 归纳 总结 能力 编写 过 相关 技术 文档 或 有 过 非中文 技术 文档 翻译 为 中文 经历 5 对 几何学 计算 数学 有 一定 了解 认识 并 有 较 强 算法 编码 实现 能力 6 具有 较强 沟通 能力 有 较 强 学习 能力 自主性 具有 良好 逻辑思维
滴滴出行,                岗位职责 1 挖掘 数据 知识 关系 构建 滴滴 大 数据 知识图谱 2 负责 搜索 个性化 推荐 算法 设计 实现 优化 线 系统 检索 推荐 体验 3 利用 数据挖掘 机器学习 相关 理论 方法 进行 深入 Data   Profiling 岗位 计算机 及 相关 专业本科 及 以上学历 相关 领域 3 年 以上 工作 经验 2 推荐 搜索算法 NLP 或 任一 相关 领域 有 一定 理解 或 应用 经验 有 hadoop spark 应用 经验 者 优先 3 熟悉 常用 数据挖掘 机器学习 模型 有 深度 学习 理论 实践经验 者 优先 4 具有 知识图谱 工作 经验 包括 知识 表示 知识 融合 推理 等 经验 优先 5 有 较 强 数据分析 解决问题 能力 思路清晰 有 将 复杂 问题 拆解 并 实施 能力                
纳米维景,1 从事 影像 处理 工作 图像处理 算法 研发 2 根据 图像 质量 进行 算法 层面 上 优化 3 算法 详细 说明 文档 编写 算法 相关 文件 规范化 输出 4 公司 产品 图像处理 算法 相关 发明专利 软件 著作权 编写 5 行业 内 最新 图像处理 技术 收集 分析 实现 6 上级 交给 其他 任务 资格 1 生物医学 工程 计算机 物理学 数学 等 相关 专业 硕士 以上学历 2 熟练掌握 C C 编程语言 熟悉 MATLAB 具有 扎实 数学 基础 有 良好 编程 习惯 软件 优化 思想 3 熟悉 算法 基本概念 熟悉 图像处理 基本 理论 常用 图像处理 算法 熟悉 使用 图像处理 工具 4 能够 独立 完成 关键 算法 中 代码 模块 开发 验证 工作 以及 相关 调试 测试 工作 5 熟悉 医学 放射 影像 处理 算法 者 优先 具有 X光 DRCTMRCBCT 图像处理 算法 开发 经验 者 优先 6 具有 良好 英文 阅读 能力 写作能力 有 较 强 团队 合作 意识 良好 逻辑 分析 能力
酷云互动,      负责 公司 智能 电视机 屏幕 视频 直播 点播 内容 图像 音频 检索 视频 内容 挖掘 进行 人脸识别 广告 识别 复杂 背景 OCR       1 模式识别 图像处理 应用 数学 等 相关 专业 硕士 及 以上学历 硕士 学历 4 年 以上 机器 视觉 或 图像处理 方面 工作 经验 博士 学历 2 年 以上 机器 视觉 或 图像处理 方面 工作 经验 精通 图像处理 基本概念 常用 算法 包括 图像 预处理 算法 高级 处理 算法 至少 有 领导 或 参预 过 3 至 5 个 以上 大型 机器 视觉 或 图像处理 方面 项目 经验 有 C C java 等 编程语言 5 年 以上 实际 编码 经验 精通 C C Matlab 等 编程语言 编写 累计 书写 代码 量 超过 5 万行 以上 精通 机器 视觉 算法 建模 方法 具备 较强 探索 创新能力 对 opencv 开源 项目 视觉 算法 有 深入研究 良好 团队精神 沟通 能力 很强 逻辑思维 能力 学习 能力 对 工作 认真负责 注重 细节 肯吃苦 顾全大局        
佳格大数据,以 好奇心 勇气 去 探索 世界 用 数据 科学 算法 解决 实际 问题 A   算法 原理 985211 世界 知名 院校 受过 数据 科学 类 教育 现代 统计学 机器学习 深度 学习 计算机视觉 信号处理 运筹学 等 领域 中 至少 两个 领域 有 较 广泛 理解 并 能 其中 至少 一个 领域 有 深入 理解 学以致用 B   编程 技能 Python Tensorflow OpenCV SKLearn Pandas Numpy Scipy 是 必须 具备 能力 C   学习 能力 对于 Github StackOverFlow 有 长期 使用 习惯 有 阅读 英文 最新 文献 习惯 能力 D   协作 能力 能够 其他 算法 同学 积极 讨论 协作 完成 工作 能够 商务 售前 同学 协作 聚焦 客户 需求 努力争取 项目 E   自律 能力 能够 合理 分配 自己 时间 同时 进行 1 - 3 个 项目 并行 工作 懂得 Deadline 重要性 督促 项目 相关 合作 各方 以下 为加 分项 算法 圈 交流 能力 天池 DataCastleCCF 京东 等 算法 大赛 中 获得 前 20 名次 并 算法 选手 圈中 广泛 交朋友 原创 能力 能够 发现 算法 瓶颈 并 设计 改良 算法 写作能力 能够 写 专利 交底 书 项目 计划书 文章 发表
伊翔运达,1   学习 掌握 动态 定价 收益 管理 基本知识 2   学习 研究 收益 管理 相关 数学模型 算法 3   研究 推荐 讲解 适用 预测 优化 数学模型 算法 4   负责 软件系统 中 数学模型 算法 实现 维护   岗位 1   运筹学 统计学 应用 数学 计算机 高性能 计算 算法 科学计算 学 专业 博士 或 硕士 必备 2   至少 掌握 一门 计算机 编程语言 java c 或 其他 掌握 数据库 试用 优先 3   有 独立 研究 数学模型 算法 能力 实际 项目 经验 优先 4   有 收益 管理 或 预测 优化 背景 优先 考虑 优先 5   工作 地点 : 北京 深圳
悠易,1               负责 实时 竞价 展示 广告 算法 策略 研究 开发 优化 工作 2               使用 上 亿 级别 广告 实时 离线 数据 对 不同 业务 场景 使用 适合 算法 模型 进行 建模 效果 验证 优化 快速 迭代 3               可 深入研究 不同 业务 场景 如 自然语言处理 个性化 推荐 跨 设备 人群 识别 反作弊 效果 KPI 预估 归因 分析 广告 竞价 算法 等 4               结合 业务 需求 高校 合作 共同 研究 前沿 算法 模型 推动 公司 业务 发展 以及 提升 行业 内 研究 水平   资格 1               计算机 统计 数学 等 相关 专业 硕士 及 以上学历 或 本科学历 且 具备 1 年 以上 工作 经验 2               具备 良好 编程能力 代码 风格 具备 linux unix 环境 开发 经验 至少 熟练掌握 CC java pytyon 中 一门 编程语言 3               具备 良好 分析 解决问题 能力 对 富有 挑战性 工作 充满热情 4               有 持续 提升 自我 意愿 强烈 责任感 良好 团队 合作 精神 5               符合 以下 一 或 多项 条件者 优先 考虑         a     有 推荐系统 或 展示 广告 相关 算法 研发 经验         b     有 互联网 反作弊 项目 研发 经验         c     熟悉 常用 数据挖掘 及 机器学习 算法   深知 原理 并 具有 用 相关 实践经验         d     对 Hadoop Spark 等 分布式计算 平台 有 丰富 实践经验  
小站教育,负责 机器学习 领域 技术 研发 对 前沿 问题 探索 研究 2 结合 产品 实际 应用 场景 提供 全面 技术 解决方案   计算机科学 电子 工程 数学 统计学 或 其它 人工智能 相关 专业 硕士 博士 2 对 常见 机器学习 算法 有 比较 深入 理解 扎实 数据分析 建模 能力 3 有 计算机视觉 自然语言处理 数据挖掘 等 领域 项目 经验 4 精通   Python 熟悉 常见 机器学习 框架 5 具有 丰富   GPU     CUDA   研发 经验
混沌大学,职责 描述   1 离线 端 数据 平台 建设 采集 用户 行为 数据 搭建 数据仓库 2 用户 行为 数据挖掘 用户 画像 行为 预测 个性化 推荐 3 利用 数据 提升 用户 增长 并 为 公司 提供 决策 支持                                                   1 熟悉 基本 数据结构 常用 算法                                                 2 熟悉 Linux 系统 熟练掌握 Python 语言 3 熟悉 mysqlredismongo 等 常用 数据库 掌握 大 数据处理 技术 优先 4 较强 学习 分析 问题 能力 良好 团队 合作 意识                                                   5 有 数据挖掘 机器学习 推荐系统 开发 经验 者 优先           6 接收 优秀 应届生
