jobname,money,company_name,p_bot,industry,job_bt
增长算法工程师/架构师(J171129015),20k-40k,滴滴出行,"20k-40k,经验3-5年,本科",移动互联网 / 不需要融资,"
职位描述：

        岗位职责
1. 组建算法团队，通过算法手段实现用户和司机端增长
2. 和数据工程师一起，基于滴滴海量数据，搭建智能用户增长引擎
岗位要求：
1. 本科及以上学历
2. 多年团队管理经验
3. 对数据敏感，非常突出的数据分析和解决问题的能力
4. 对主流机器学习算法和知识有深刻的理解
        
"
算法工程师,20k-35k,六次方,"20k-35k,经验1-3年,硕士",企业服务 / 未融资,"
职位描述：

岗位职责：
1.应用机器学习、数据分析等技术，针对海量信息建模，挖掘潜在商业价值;
2.优化人群画像,提高广告的相关度、用户体验、投放效果及变现能力;
3.针对各业务线、各类目的数据分析与挖掘、特征工程、模型训练与测试。
任职要求：
1.1年以上数据挖掘、营销数学建模经验；
2.熟悉大规模数据挖掘、机器学习、分布式计算，使用过常见的机器学习库，熟悉Tensorflow并产生实际商业价值优先；
3.深刻理解并独立实现过相关算法（回归、决策树、分类问题、深度神经网络、图模型，概率统计，最优化方法等），理解数据价值，能从业务角度挖掘价值数据； 
4.熟练使用java、scala、python等对数据进行分析和处理。熟悉Hadoop、Hive、HBase、Spark、Flink、Hive等工具技术

"
高级算法工程师,25k-50k,小米,"25k-50k,经验3-5年,本科",移动互联网 / D轮及以上,"
职位描述：

岗位职责;1、负责内容型产品个性化推荐系统的算法和架构研发，支持海量数据和请求，实现在相关中的精准推荐； 2、分析海量用户行为数据和视频数据，增加有效的特征，提升用户体验； 3、理解视频内容，挖掘用户兴趣。职位要求： 1、计算机科学、机器学习、人工智能等专业本科及以上学历，扎实的算法和编程能力；2、有推荐系统相关经验，熟悉常用的推荐算法；3、有大规模海量数据机器学习、数据挖掘、视频内容理解、计算广告、搜索引擎相关经验者优先；4、熟悉Hadoop、HBase、Spark、Kafka等计算平台和工具。

"
算法工程师,20k-40k,水滴科技,"20k-40k,经验3-5年,硕士",移动互联网 / A轮,"
职位描述：

岗位职责：
1、研究和落地计算机视觉领域（检测，分割，跟踪，识别等）的突破性的算法； 2、跟踪和把握计算机视觉领域最前沿的技术发展。 

职位要求：
1、硕士及以上学历，研究背景为计算机视觉、深度学习、数学、模式识别等相关专业；
2、熟悉深度学习的基本知识，使用深度学习完成过识别、检测，分割或跟踪的实际任务。对当前一些著名的深度学习算法有一定了解或者实践经历；
3、深度掌握至少一个开源深度学习库：Caffe，MXNet，TensorFlow，Torch，Theano；
4、熟悉C/C++和Python，有很强的算法和工程实现能力。

加分项：
1、具有算法加速经历，包括网络结构优化加速和代码级工程优化加速；
2、完成过人脸相关任务，比如人脸检测，人脸校正，人脸识别，人脸属性分析等；
3、在重要会议或期刊中发表过相关领域的论文，在重大比赛中取得过较好的名次。

"
控制算法工程师,20k-40k,主线科技,"20k-40k,经验不限,硕士","移动互联网,硬件 / 天使轮","
职位描述：

岗位内容：
1、负责自动驾驶控制算法的设计和研发；
2、负责控制系统的仿真、测试和真车调试；
3、积极和其他项目组成员沟通，协同完成整个系统的联调和集成；
4、负责相应文档、专利以及软件著作权的撰写；

岗位要求：
1、硕士及以上学历，自动化相关专业毕业；
2、熟练掌握c/c++/python；
3、要求有自动驾驶/无人机/机器人的相关经验或从业经历；
4、在pid/mpc/lqr等方面有经验者优先；
5、了解汽车横纵向控制，了解车辆底盘控制、车辆动力学和车辆特性；
6、熟练掌握matlab、simulink、carsim/trucksim等软件的使用；

"
高级算法工程师／架构师－应用算法,25k-50k,蚂蚁金服集团,"25k-50k,经验3-5年,本科","金融,移动互联网 / B轮","
职位描述：

岗位职责：
1. 负责机器学习算法、深度学习算法、自然语言处理、信息安全加密、计算机视觉、语音识别，金融数据挖掘，金融系统优化，金融量化分析等某一个领域的研发和应用
2. 深入分析现有算法，了解业务需求，给出有效的优化解决方案
3. 对业界的机器学习算法和应用有广泛了解并且能够跟踪最新进展
4. 制定有效项目进度管理机制，按照项目上线时间表，推进项目研发工作
岗位要求：
１. 统计、计算机，数学，物理，金融工程等专业本科以上学历，在大数据领域有相关工作经验；
２. 在机器学习、深度学习、信息安全、以及在搜索、广告、推荐、计算机视觉，语音识别、机器翻译、QA、Chatbot、NLP，关系网络挖掘，金融量化分析等某一领域有2年以上研发经验
３. 熟练掌握SQL、R、Python以及相关进行分析的工具或Hadoop/Spark/Cosmos/ODPS等大数据分布式平台，熟悉分布式机器学习框架比如Spark MLLib, MPI, Parameter Server, 和流行的深度学习开源工具比如Caffe，Theano, Torch, TensorFlow, MXNet, CNTK 等。Coding能力较强，有C++和Java语言编程经验的优先
4．良好的沟通能力和团队合作精神，有一定的组织协调能力和较好的抗压能力
5．对数据敏感，分析数据，抽象问题，对于把大数据和人工智能分析的结果能够应用到实际业务场景产生商业价值具有强烈的热情
工作地点：北京

"
算法工程师-视觉研究员,25k-50k,便利蜂,"25k-50k,经验1-3年,本科","移动互联网,生活服务 / 不需要融资","
职位描述：

公司介绍：
便利蜂总部位于北京，资产雄厚，通过互联网的方式，改良现有零售模式。公司愿景是使用大数据和智能软硬件，突破固有的便利店购物体验，使用户获得切实的便利
 
项目介绍：
智能零售项目组，公司级战略重点项目，海量数据支撑，算法可以快速在便利蜂店内验证效果
 
工作职责：
1.负责计算机视觉算法的研究和开发
2.将前沿算法应用到各种极具挑战性的现实场景中，包括检测、跟踪、分类等领域
 
任职条件：
1.熟悉C/C++和Python，有较强的解决实际问题的能力
2.在深度学习领域有较深的理论研究和实践经验，熟悉常见深度学习模型及其应用方法
3.良好的项目开发和管理能力
 

"
VSLAM算法工程师,20k-40k,INDEMIND,"20k-40k,经验1-3年,硕士",硬件 / 不需要融资,"
职位描述：

工作职责：
1.   负责对现有双目vslam算法架构进行设计和调整。
2.   负责对现有vslam算法进行性能提升，鲁棒性提升等。
3.   负责与惯性算法工程师合作进行融合算法开发； 
4.   负责计算机视觉、图像识别相关算法的合作开发；

任职资格：
1.  硕士以上学历，模式识别/通信/计算机/电子/数学相关专业
2．两年以上vslam算法工作经验；
2.  精通Matlab/C/C++，熟悉数字图像处理和图形常用算法原理；
3.  对于slam算法架构深入研究；
4.  熟练掌握常见数据结构和算法，能够分析和优化计算逻辑，提升性能；
5. 有OpenCV/PCL/OpenGL开发经验优先；
6.  掌握基础算法知识，比如KF、EKF、PF等经验优先；
7.  有VINS、PTAM、LSD-SLAM、ORB-SLAM等SLAM开发经验；
8.  具备良好的学习能力，能够熟练阅读英文文献，并根据文献快速实现相关算法；

"
用户数据挖掘工程师/算法工程师,14k-24k,新浪网,"14k-24k,经验1-3年,本科",文化娱乐 / 上市公司,"
职位描述：

1、负责支持微博社交传播项目所需的相关性算法、精准匹配算法等；
2、负责支持微博商业垂直领域定向精准营销项目，包括但不限用户画像、用户细分、用户分析等。

任职资格：
1、一年以上机器学习算法相关工作经验；
2、深入理解MapReduce，要求具有Spark/Hadoop/Storm等大规模分布式计算平台的使用经验；
3、熟悉数据结构与算法，对数据挖掘与机器学习理论有一定的研究及应用；
4、熟悉Linux环境编程，熟练掌握java/python语言，有良好的编程习惯；
5、较强的分析问题和解决问题的能力，勇于面对挑战性问题；
6、有用户画像、推荐算法、广告算法实施经验优先考虑。

"
数据科学家/算法工程师,20k-30k,mobike摩拜单车,"20k-30k,经验1-3年,本科",移动互联网 / D轮及以上,"
职位描述：

工作职责
1. 从海量轨迹数据中利用数据挖掘技术，分析用户的出行偏好、行为规律、空间分布等特征；
2. 不断通过机器学习算法来解放更多的人力，提升的整体运营效率； 
3. 使用多种算法进行车辆调度, 动态定价等研究,  并应用到实际产品中；
任职资格
1. 有数据挖掘，机器学习，最优化理论等相关基础；
2. 编程基础扎实，熟悉算法数据结构，有Java 或 Python，R 开发经验； 
3. 有大数据相关系统，如 map-reduce、spark 或 GPU 使用经验者优先； 
加分项： 
1. 有Operation Research,  Algorithm ,  AI 方面的论文发表优先；
2. 有移动出行领域行业从业经验优先； 
3. 熟悉基本 GIS 算法优先；

"
