jobname,money,company_name,p_bot,industry,job_bt
语音识别工程师J10012,30k-50k,快手,"30k-50k,经验不限,硕士",移动互联网 / D轮及以上,"
职位描述：

工作职责：1、负责声学模型、语言模型、解码器等语音识别的相关工作；2、跟踪国内外语音识别技术的发展。任职资格：1、语音识别领域研发工作经验 3年及以上；2、理解语音信号处理、语音识别算法；3、对 VAD、声学模型训练、解码器或识别算法优化的其中一个方向有深入理解；4、熟悉开源语音识别框架者优先；5、有深度学习声学模型训练相关经验,或熟悉深度学习框架者优先

"
语音识别工程师,30k-50k,一起作业网,"30k-50k,经验1-3年,本科","移动互联网,教育 / D轮及以上","
职位描述：

岗位职责：
负责声学模型，语言模型，解码器等语音识别的相关。

职位要求：

具有语音识别或语音评测的相关工作经验；
对声学模型训练，解码器或识别算法优化其中一个方向有深入理解；
熟悉kaldi,HTK或sphinx者优先4.熟练掌握c/c++, 编程能力强，对数据结构和算法有深入理解。


"
语音识别,30k-60k,Udesk－企业级智能客服平台,"30k-60k,经验5-10年,本科",其他 / B轮,"
职位描述：

职位职责： 
1、结合公司产品的语音识别系统开发，负责GMM、HMM、DNN等相关工作； 
2、跟踪国内外语言识别技术的发展，保持技术先进性。 

职位要求： 
1、拥有计算机或相关专业的硕士或博士学位，5年以上语音识别工作经验； 
2、熟悉语音识别技术，包括GMM、HMM、DNN等常用技术； 
3、熟练掌握Kaldi，SRiLM，RNNLM，TensorFlow等社区开源工具中的一种及以上； 
4、熟悉语言信号处理者优先，包括降噪，VAD，音频特征提取等； 
5、精通C/C++，Python，Shell编程语言，对数据结构和算法设计有深刻理解；

职位亮点：
Udesk是国内领先的企业级智能客服平台，拥有数千家企业用户，为企业提供了一套集智能问答、即时通讯、VoIP、工单、知识库、数据分析为一体的完整的客服系统解决方案。
Udesk知名客户有海底捞、星巴克、凯撒旅游、中青旅耀悦、金山WPS、每日优鲜、58转转、宝洁等。覆盖了餐饮、本地生活、旅游、O2O、企业服务等行业。
Udesk于2016年6月完成B轮1亿人民币融资，投资方为君联资本、DCM。公司收入增长迅速，有大量的付费用户并开始盈利。
Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。

"
语音识别负责人,25k-50k,美团点评,"25k-50k,经验3-5年,本科","移动互联网,O2O / D轮及以上","
职位描述：

职位描述美团外卖配送每日超过1600万订单，五十万活跃骑手，是全球最大的即时配送平台。以不断优化用户体验、提升配送效率为目标，我们通过大数据+人工智能方式，将逐步建设新一代的智慧物流系统。在配送中过中，骑手需要不断掏出手机进行信息查询和订单操作，一方面也给骑手带来很大的安全隐患，一方面降低了骑手的配送效率。实际上，通过语音完成交互是更加自然的方式，而且可以解放骑手双手，提高骑手驾驶安全，为此我们研发智能语音助手+智能蓝牙耳机的软硬件结合智能解决方案。工作职责1. 骑手语音助手的软硬件整体架构方案设计2. 整体效果优化，包括硬件、软件、蓝牙、语音识别、语义理解等多个方面3. 骑手的全语音交互的配送模式，以及语音交互新场景探索职位要求1. 2年以上语音以及相关硬件方面经验，熟悉声学模型。2. 在算法领域，包括人工智能、语音识别、机器学习、数据挖掘、自然语言处理等其中一个或多个领域有深厚的积累3. 嵌入式软硬件方向经验，熟悉TCP/IP及无线网络（Zigbee、Wi-Fi、蓝牙、2/3/4G）协议优先4. 优秀的业务理解、目标制定、沟通能力

"
WXG02-122语音识别研究员,20k-40k,腾讯,"20k-40k,经验3-5年,硕士","移动互联网 ,游戏 / 上市公司","
职位描述：

负责声学模型，语言模型，解码器等算法优化，模型训练等技术研发和创新工作；    负责语音识别技术落地产品支持，提供最优的语音识别产品体验。    
岗位要求：
熟悉语音识别，信号处理，语音合成算法；    熟悉使用HTK，HTS，Kaldi等相关工具；    熟悉深度学习，以及相关开源工具；    有CHiME，Blizzard等比赛经验者优先；    有ICASSP，Interspeech，ASRU等国际会议，IEEE和ACM等相关期刊文章者优先；    具有发现问题、分析问题、解决问题的能力，和沟通能力及团队合作精神；    硕士以上学历。    

"
语音识别工程师,20k-35k,汽车之家,"20k-35k,经验1-3年,本科","移动互联网,文化娱乐 / 上市公司","
职位描述：

职位描述：
1. 语音识别技术及相关算法的研究与开发；
2. 语音识别系统的数据处理、模型训练、结果分析、实验验证；
3. 基于海量数据的模型训练、词汇量连续语音识别系统的开发；
4. 跟踪国内外最新的语音识别相关先进技术。
 
任职资格：
1、硕士及以上学历，信号处理、计算机、电子信息等相关专业，2年以上工作经验；
2、具有扎实的编程实力；
3、有Kaldi，CMU Sphinx 等开源项目经验者优先；
4、精通语音识别/模式识别/神经网络/信号处理、机器学习等相关算法，有使用DNN/RNN/CNN等方法进行ASR实践者优先。

"
语音识别算法工程师,20k-40k,地平线机器人,"20k-40k,经验不限,不限","移动互联网,硬件 / C轮","
职位描述：

工作职责:包括但不限于：1、 解码器算法优化，搜索空间优化，剪枝策略优化，后处理算法实现等;2、 线上识别服务的维护，bug调试，badcase分析与调试;3、 嵌入式识别系统的移植、优化与调试;4、 解码器新算法的研究与实现。任职资格:1、 精通c/c++编程，熟练使用常用的算法与数据结构;2、 熟悉viterbi算法，熟悉网络、图等数据结构的常用处理算法;3、 熟悉线程池，能处理复杂的线程同步、配合问题;4、 熟悉python或perl至少一种脚本语言，熟悉linux shell编程,熟悉linux工作环境与编程;5、 有语音识别解码器开发经验的优先。

"
语音识别专家,50k-70k,宜信,"50k-70k,经验5-10年,硕士",金融 / 上市公司,"
职位描述：

工作职责：
1、参与下一代语音对话系统、智能问答系统；
2、结合实际业务场景，应用语音识别、语音合成技术解决实际问题。
 
职位要求：
1、计算机相关专业研究生学历，有语音识别，语音合成三年以上工作经验；
2、有扎实的编程基础，精通C++，Java或Python语言，对算法和数据结构有深入研究有Linux相关平台应用程序开发经验；
3、有人机智能交互中的意图理解、自然语言对话生成、大数据分析挖掘优先；
4、掌握机器学习相关知识，有深度学习算法经验优先；
5、有对话、搜索、推荐等相关项目经验者优先；
6、责任心强，有较强的学习能力，较好的沟通交流能力，能够迅速融入团队。

"
语音识别研究员,20k-35k,东芝(中国)有限公司,"20k-35k,经验1-3年,硕士","移动互联网,企业服务 / 上市公司","
职位描述：

工作职责:
1.研究与优化语音识别/合成性能
2.大词汇量连续语音识别/合成系统的开发
3.基于海量数据的模型训练及自适应算法研究（DNN,RNN,CNN,HMM）
4.跟踪国内外最新的语音识别或语音合成相关的先进技术，提出改善现有引擎精度的新方法
5.对语音团队进行管理，带领团队实现提出的目标
职位要求:
1.  信号与信息处理、模式识别与智能系统以及计算机等相关专业，博士或硕士学历
2.  良好的 C/C++编程能力，熟悉perl 或者python 等脚本语言
3.  熟悉语音识别/模式识别/神经网络/信号处理等相关算法，了解语音识别的各模块关键技术
4.  良好的沟通和管理能力，有团队管理经验优先
5.  英语良好

"
语音识别专家,40k-80k,roobo,"40k-80k,经验3-5年,硕士",移动互联网 / B轮,"
职位描述：

工作职责：
1、负责语音识别/合成方向的技术研发工作，包括但不限于语音前端处理、声学模型/语言模型的建立、语言解码、语音合成(TTS)等；2、负责语音识别/合成方向前沿问题的探索与研究，结合未来实际应用场景，提供全面的技术解决方案。
工作要求：
1、语音识别、机器学习、自然语言处理等领域的计算机科学、电子工程或其它人工智能相关专业；2、有语音识别/合成、机器学习、人工智能、计算机视觉、自然语言处理、机器翻译、等领域全球领先企业的工作经验；3、精通至少一种编程语言，包括但不限于Java、C/C++、C#、Python等；4、有深度学习学术或工程项目经验者优先考虑。

"
