address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
涞水,世界地质公园4A级风景区十渡一渡,一渡新新小镇,19000,127~380m²,5室(1)/4室(1)/3室(3)/2室(4),别墅,在售,220
长阳,长阳镇城铁篱笆房站北侧800米,五和万科长阳天地,52000,80~103m²,3室(2)/2室(1),住宅,在售,420
西红门,南四环地铁新宫站南800米,金府大院,79800,117~175m²,3室(3),住宅,在售,900
乔庄,通州区果园环岛以东，玉桥西路与运河西大街交汇处,通州万国城MOMA,71000,117~149m²,3室(3),住宅,在售,830
大兴其它,北京五环南海子公园西,中铁华侨城和园,67000,121~139m²,3室(5),住宅,在售,810
中央别墅区,东苇路3号,九章别墅,15000,895~1080m²,4室(2),别墅,在售,14500
红庙,东三环京广桥东北角（CCTV正北50米）,首创天禧,180000,170~388m²,4室(2)/1室(1),住宅,在售,6700
通州其它,嘉创二路与兴光二街路口西南角,润枫领尚,54000,155m²,3室(1),住宅,在售,852
西红门,4号线西红门站往东800米,鸿坤林语墅,2700,335~520m²,4室(8),别墅,在售,1900
涞水,世界地质公园4A级风景区十渡一渡,一渡新新小镇,19000,127~380m²,5室(1)/4室(1)/3室(3)/2室(4),别墅,在售,220
长阳,长阳镇城铁篱笆房站北侧800米,五和万科长阳天地,52000,80~103m²,3室(2)/2室(1),住宅,在售,420
西红门,南四环地铁新宫站南800米,金府大院,79800,117~175m²,3室(3),住宅,在售,900
大兴其它,北京五环南海子公园西,中铁华侨城和园,67000,121~139m²,3室(5),住宅,在售,810
乔庄,通州区果园环岛以东，玉桥西路与运河西大街交汇处,通州万国城MOMA,71000,117~149m²,3室(3),住宅,在售,830
中央别墅区,东苇路3号,九章别墅,15000,895~1080m²,4室(2),别墅,在售,14500
红庙,东三环京广桥东北角（CCTV正北50米）,首创天禧,180000,170~388m²,4室(2)/1室(1),住宅,在售,6700
通州其它,嘉创二路与兴光二街路口西南角,润枫领尚,54000,155m²,3室(1),住宅,在售,852
西红门,4号线西红门站往东800米,鸿坤林语墅,2700,335~520m²,4室(8),别墅,在售,1900
朝阳公园,东四环北路七号,东山condo,6200,250~403m²,4室(5)/3室(1),住宅,在售,2800
北苑,北五环红军营东路轻轨13号线北苑站北200米,天润福熙大道,1920,140~251m²,4室(2)/3室(2),住宅,在售,1670
阎村,阎村镇紫码路西行1500米,天恒乐墅,910,184~253m²,7室(1)/4室(4),别墅,在售,787
甜水园,朝阳公园南门 棕榈泉西侧,骏豪中央公园广场,160000,266~877m²,5室(9)/3室(3),住宅,在售,4258
东坝,东坝中街与单店北街交汇处西北侧,恒大华府,110000,271~338m²,5室(1)/4室(1),住宅,在售,3200
中央别墅区,温榆河畔(机场杨林路口右转1公里),棕榈滩金棕榈,65400,490~1098m²,8室(2)/4室(1)/3室(1),别墅,在售,3600
中央别墅区,孙河京密路与顺黄路交叉口往西800米,泰禾北京院子,220000,310~1366m²,8室(1)/5室(1)/4室(2),别墅,在售,2900
十里河,弘燕路（东三环）山水文园东园,山水文园五期,4300,402~852m²,8室(1)/7室(1)/6室(2),住宅,在售,1040
长阳,长阳CSD办公楼南侧（京港澳高速长阳出口西1000米）,天资华府,39000,93~276m²,5室(1)/3室(6)/2室(1),住宅,在售,1030
CBD,建国路乙108号,梵悦108,150000,124~260m²,2室(2)/1室(2),住宅,在售,2200
昌平其它,北五环温都水城北门东侧100米,珠江紫宸山,3180,737~804m²,5室(1)/4室(1),别墅,在售,2890
门头沟其它,永定镇长安街西延线南约800米,电建地产泷悦长安,65000,128~178m²,4室(2)/3室(1)/2室(1),住宅,在售,1000
东单,北京饭店北侧，霞公府街,霞公府,150000,351~591m²,5室(2)/4室(3)/3室(2),住宅,在售,5600
十八里店,红坊路6号,江南山水,60000,113~429m²,6室(1)/3室(2)/2室(1),别墅,在售,932
通州其它,宋庄镇葛渠村南,格拉斯小镇,3100,441~805m²,6室(2)/5室(3)/3室(4),别墅,在售,3000
房山其它,西六环青龙湖出口,北京半岛,1800,230~397m²,5室(3)/4室(5),别墅,在售,1050
望京,朝阳京承高速与北四环路交接处以东（近湖光中街）,湖光壹号,90000,183~226m²,4室(1)/3室(1),住宅,在售,1647
良乡,房山长阳清苑南街与汇商东路交汇处西北角,万年广阳郡九号,52400,139~228m²,4室(2)/3室(2),住宅,在售,871
平谷其它,南街与新平西路交叉口（永安家园北门）,中昂邑上原著,930,290~360m²,4室(2)/3室(2),别墅,在售,920
固安,大兴野生动物园向南3公里，106国道路东,永定河孔雀城英国宫,价格待定,66~123m²,3室(10)/2室(10)/1室(1),住宅,售罄,262
中央别墅区,京密路与京平辅路交叉口西行1.5公里,首开琅樾,3400,,,别墅,待售,1900
西山,四季青桥向西1.8公里(第四个红绿灯右转)向北500米路右,香山四季,105000,183~636m²,5室(4)/4室(2)/3室(3),住宅,在售,2327
良乡,地铁房山线良乡大学城北站东北约1300米,北京城建国誉府,55000,143~297m²,5室(2)/4室(5)/3室(2),住宅,待售,729
丰台其它,王佐镇长青路南侧,领秀翡翠山,57000,129~226m²,4室(10)/3室(17),住宅,在售,806
朝阳其它,东北五环南影路，中国电影博物馆东北角,北京红廷别墅,7900,310~624m²,4室(3)/3室(3),别墅,在售,7900
广安门,广安门外大街305号，莲花池东路，会城门桥南200米,玺源台,价格待定,33~111m²,2室(6)/1室(13),住宅,售罄,6330000
大峪,龙泉镇新桥大街西侧，区政府正对面,华远裘马四季,64500,156~190m²,4室(1)/3室(3),住宅,在售,1015
昌平其它,皇家汤泉行宫原址，顺沙路99号院,御汤山熙园,2400,450~830m²,7室(2)/6室(5)/5室(6)/4室(4),别墅,在售,2200
刘家窑,南苑乡石榴庄(地铁宋家庄站D出口西150米),鲁能钓鱼台美高梅公馆,6150,332~428m²,5室(1)/4室(1),别墅,在售,6150
顺义其它,牛栏山镇恒华西街2号院1号楼,恒华湖公馆,49000,89~250m²,4室(1)/3室(2)/2室(2),住宅,在售,432
密云其它,密云一中西侧100米,通用博园,27000,70~110m²,3室(4)/2室(4),住宅,售罄,189
丰台其它,王佐镇青龙湖公园东1500米,亿城燕西华府,55000,182~580m²,7室(1)/6室(3)/3室(5)/2室(1),别墅,在售,1650
石景山其它,八大处公园西南800米,远洋天著春秋,价格待定,350~430m²,5室(1)/3室(1),别墅,售罄,1300
清河,安宁庄西路与小营西路交汇处西南侧,合景映月台,价格待定,182~290m²,4室(3),别墅,待售,1100
太阳宫,北四环四元桥东北角（宜家家居斜对面）,顺景石上清泉,81000,511~513m²,5室(1)/4室(1)/3室(1),住宅,在售,4147
马坡,顺恒大街东段北侧,鲁能7号别墅,36000,317~455m²,6室(5),别墅,在售,800
