address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
蛟龙港,双楠大道中段888号（双楠大道和星空路交汇处）,汇都商贸城,8000,,,商业类,在售,25
万年场,跳蹬河南路18号,成华奥园广场二期,13800,,,住宅,售罄,104
新会展,世纪城新会展中心418号（天鹅湖畔）,龙湖世纪峰景,价格待定,,,住宅,售罄,222
金融城,近慈路66号（石室中学后门石羊派出所旁）,成都文儒德,42000,185~213m²,5室(2)/4室(1),住宅,在售,552
莲花,三官堂街与龙舟路交汇处,望江名门,2000,,,商业类,在售,1176
华阳,天府大道与天府五街交汇处（锦江旁）,保利锦江里,15000,,,商业类,售罄,56
蛟龙港,双楠大道中段888号（双楠大道和星空路交汇处）,汇都商贸城,8000,,,商业类,在售,25
万年场,跳蹬河南路18号,成华奥园广场二期,13800,,,住宅,售罄,104
新会展,世纪城新会展中心418号（天鹅湖畔）,龙湖世纪峰景,价格待定,,,住宅,售罄,222
金融城,近慈路66号（石室中学后门石羊派出所旁）,成都文儒德,42000,185~213m²,5室(2)/4室(1),住宅,在售,552
莲花,三官堂街与龙舟路交汇处,望江名门,2000,,,商业类,在售,1176
华阳,天府大道与天府五街交汇处（锦江旁）,保利锦江里,15000,,,商业类,售罄,56
郫县城区,郫筒镇和平南三街399号,润弘丽都,4500,,,住宅,售罄,34
南湖,牧华路三段1789号,海伦春天,17000,92~100m²,3室(4),住宅,售罄,41
驷马桥,川陕立交旁荆翠西路,金科中心,9500,,,商业类,售罄,30
阳光城,同安镇阳光城阳光大道138号,中粮御嶺湾,878,450m²,5室(1),别墅,在售,576
崇州,羊马镇崇阳大道2199号(金马湖大桥旁),嘉裕第六洲,314,,,别墅,售罄,90
大丰,北星大道与大天路交汇处(十字路口出城方向右侧）,城北优品道,23,,,商业类,售罄,20
新津,北大资源颐和雅郡,北大资源颐和雅郡,5300,95m²,3室(1),住宅,售罄,50
外金沙,清波路77号,华润金悦湾,405,,,住宅,售罄,184
郫县城区,郫筒镇中信大道四段968号,中冶田园世界,5100,,,住宅,售罄,33
文星镇,西航港街道川大路二段1号,城南逸家,19000,203~643m²,6室(1)/5室(2)/4室(2),别墅,售罄,350
攀成钢,通宝街88号,伊泰天骄,27000,370m²,5室(1),住宅,售罄,598
航空港,西航港街道黄河中路二段388号,蓝光T5,12000,,,商业类,售罄,26
攀成钢,汇泉南路333号,吉宝凌云峰阁,31000,,,住宅,售罄,112
毗河,兴城大道777号,富力桃园C区,8500,83~108m²,2室(3),住宅,售罄,41
东郊记忆,东二环建设路（沙河公园内大蓉和旁）,保利康桥,16000,,,住宅,售罄,245
新北,南三环路南五段188号（蓝天立交桥旁边）,美洲花园棕榈湾,19000,90~105m²,4室(2),住宅,在售,54
大源,剑南大道（成都七中高新校区对面）,中国铁建西派澜岸,1000,,,别墅,售罄,858
攀成钢,二环路东四段通盈街88号,绿地锦天府,23000,,,住宅,售罄,311
南湖,南湖北路189号（南湖度假风景区内）,南湖半岛,价格待定,,,住宅,售罄,44
新会展,天府大道中段199号,成都棕榈泉国际中心,33000,89~129m²,3室(2)/2室(1),住宅,在售,289
太升路,提督街99号（近四川国际大厦E区）,恒大广场,32000,219m²,5室(1),住宅,在售,118
新双楠,成双大道福锦路二段（簇桥工商所旁）,蓝光金悦城,13500,,,住宅,售罄,75
华阳,益州大道和天府五街交汇处,融创NANO公馆,17000,75m²,2室(1),住宅,售罄,68
中德,天府大道南段会龙大道内,中铁城锦南汇,价格待定,72~120m²,4室(1)/2室(1),住宅,售罄,50
新都城区,马超东路555号,东骏湖景湾六期,12000,,,住宅,售罄,73
郫县城区,西梨路一段（中铁奥维尔旁）,中冶中央公园,5500,62m²,2室(1)/0室(1),住宅,售罄,34
牧马山,华府大道三段300号（省武警警官学院旁）,棠湖泊林城,330,198~384m²,5室(1)/4室(3),别墅,售罄,290
水碾河,东大街锦东路（牛市口派出所旁）,九龙仓擎天半岛,30000,240m²,3室(1),住宅,在售,440
新华公园,新华公园旁小龙桥路30号,中海新华府,16000,,,住宅,售罄,59
大源,天府南华路与天府三街交汇处（高新青年公寓对面）,一品CG,12500,,,商业类,售罄,32
牧马山,牧华路一段九号,牧马山牧山湖蔚蓝卡地亚,1000,,,别墅,售罄,700
阳光城,阳光城幸福大道,林溪康城,6500,60~92m²,3室(4)/2室(1),住宅,售罄,27
建设路,建设巷13号,太阳公元一期,19000,85~138m²,3室(2)/2室(2),住宅,售罄,110
橡树湾,老成灌路洪高路88号,龙城国际,价格待定,,,住宅,售罄,42
东升镇,正通路(社保局对面),金座威尼谷,9500,,,住宅,售罄,59
广都,天府大道南段海昌北路109号（极地海洋世界北侧）,金地天府城,14000,88~119m²,3室(3),住宅,售罄,57
郫县万达,望从东路308号,一里阳光,6100,,,住宅,售罄,36
金融城,交子大道998号,润富国际花园,24000,,,商业类,在售,80
毗河,新都绕城与育英路交汇处（中国成都五龙山公园旁）,润扬观澜鹭岛,8800,115~126m²,4室(2),住宅,售罄,52
成外,国宁东路666号(成都外国语学校旁),鼎犀名城,8300,,,住宅,售罄,37
保利公园,新都区蜀龙路1980号（三环蜀龙路熊猫基地旁）,保利公园198观岭台,10000,108~156m²,4室(5)/3室(2),住宅,售罄,54
盐市口,东御街88号,星汇广场,28000,,,住宅,售罄,128
东大路,二环路东四段外侧汇源东路88号,仁恒滨河湾,26000,,,住宅,售罄,149
