address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
海尔路,海尔路179号（江北区政府对面）,中亿阳明山水,16500,套内 55~96m²,3室(2)/2室(4)/1室(2),住宅,在售,91
大学城,大学城中路19号,东方剑桥柔波里,10700,套内 95~288m²,4室(1)/3室(4),住宅,在售,94
丹龙路,白鹤路45号(红绿灯下行200米),天盈摩咖,11500,套内 33m²,2室(1),商业类,在售,55
九宫庙,钢花路1100号（移动互联网产业园旁）,易度庭院时光,8600,套内 22~46m²,3室(1)/2室(1)/1室(1),商业类,在售,25
悦来,悦来国际博览中心北侧,华商悦江府,14000,套内 111m²,4室(1),住宅,在售,118
南坪,国际会展中心（凯宾斯基酒店旁）,融创玖玺台,40000,套内 320m²,4室(1),住宅,在售,531
照母山,金州大道重光立交（人民小学旁）,恒大世纪城,14000,套内 63~74m²,3室(1)/2室(1),住宅,在售,89
六公里,学府大道渝南分流道旁,蓝光林肯公园,价格待定,套内 197~299m²,5室(2),别墅,售罄,462
二郎,科技大道76号(彩云湖公园旁),渝高香洲,价格待定,,,住宅,售罄,54
空港新城,空港新城舟济路2号（同茂大道渝北区新党校旁）,爱加欧郡,价格待定,套内 43~100m²,3室(2)/2室(2)/1室(1),住宅,售罄,30
海尔路,海尔路179号（江北区政府对面）,中亿阳明山水,16500,套内 55~96m²,3室(2)/2室(4)/1室(2),住宅,在售,91
大学城,大学城中路19号,东方剑桥柔波里,10700,套内 95~288m²,4室(1)/3室(4),住宅,在售,94
丹龙路,白鹤路45号(红绿灯下行200米),天盈摩咖,11500,套内 33m²,2室(1),商业类,在售,55
九宫庙,钢花路1100号（移动互联网产业园旁）,易度庭院时光,8600,套内 22~46m²,3室(1)/2室(1)/1室(1),商业类,在售,25
悦来,悦来国际博览中心北侧,华商悦江府,14000,套内 111m²,4室(1),住宅,在售,118
南坪,国际会展中心（凯宾斯基酒店旁）,融创玖玺台,40000,套内 320m²,4室(1),住宅,在售,531
照母山,金州大道重光立交（人民小学旁）,恒大世纪城,14000,套内 63~74m²,3室(1)/2室(1),住宅,在售,89
六公里,学府大道渝南分流道旁,蓝光林肯公园,价格待定,套内 197~299m²,5室(2),别墅,售罄,462
二郎,科技大道76号(彩云湖公园旁),渝高香洲,价格待定,,,住宅,售罄,54
空港新城,空港新城舟济路2号（同茂大道渝北区新党校旁）,爱加欧郡,价格待定,套内 43~100m²,3室(2)/2室(2)/1室(1),住宅,售罄,30
海尔路,重庆市江北区海尔路与金渝大道交汇处,绿地保税中心,价格待定,套内 27~35m²,2室(3),商业类,售罄,49
鱼洞,鱼洞镇龙洲湾龙洲大道1号,巴南府邸,价格待定,套内 117m²,3室(1),住宅,售罄,30
回兴,机场路回兴下道（南方翻译学院旁）,南方书苑湖畔,价格待定,套内 82~89m²,3室(3),住宅,售罄,91
烈士墓,沙滨路石井坡地铁站旁,融创滨江壹号,价格待定,,,住宅,售罄,104
解放碑,解放碑八一路181号,解放碑181,价格待定,套内 42~108m²,2室(1)/1室(9),商业类,售罄,75
回兴,江东湖公园旁（农业园区上湾路和食品城大道汇合处）,富力湾,价格待定,,,别墅,售罄,300
九宫庙,金桥路（原车家坪小学旁）,融创春晖十里,8200,套内 65~120m²,3室(5)/2室(3),住宅,售罄,30
大石坝,鸿恩寺公园大门处（往北滨路下行800米处）,绿地海外滩,价格待定,套内 269m²,4室(1),住宅,售罄,356
解放碑,胜利路132号(黄花园大桥南桥头),协信公馆,28000,套内 86~168m²,4室(2)/3室(4)/2室(1)/1室(1),住宅,在售,83
石桥铺,石桥铺石小路（高庙村地铁站旁）,远洋城,价格待定,,,住宅,售罄,69
凤天路,沙坪坝区风鸣山300号,万科金色悦城,价格待定,套内 23m²,1室(1),商业类,售罄,28
江北嘴,新溉大道与北滨二路交汇处(鲁能巴蜀中学下行300米),万科御澜道,价格待定,套内 200~232m²,5室(1)/4室(2),住宅,售罄,418
茶园新区,茶园新区丁香路11号（珊瑚中铁小学旁）,中铁北美时光,价格待定,套内 110~123m²,3室(2),住宅,售罄,100
解放碑,解放路与凯旋路交汇处（西部药材商城旁药材公会）,融创白象街,35000,套内 117~478m²,6室(1)/5室(2)/3室(1),住宅,在售,558
海尔路,渝鲁大道777号(渝鲁大道与泰山大道交汇处),鲁能星城十三街区,13000,套内 31~75m²,3室(1)/2室(1)/1室(1),商业类,在售,53
巴国城,火炬大道（巴国城旁）,奥园盘龙壹号,13000,套内 27m²,1室(1),商业类,在售,32
弹子石,泰昌路69号弹子石CBD门户（法国水师兵营旁）,长嘉汇,价格待定,,4室(1)/1室(1),住宅,售罄,71
照母山,照母山植物园旁（星光大道延长线旁）,融创凡尔赛花园,价格待定,套内 306m²,4室(1),住宅,售罄,67
鱼洞,鱼洞箭河路（轻轨3号线金竹站旁）,渝开发上城时代,价格待定,套内 45~82m²,3室(4)/2室(5)/1室(6),住宅,售罄,28
华岩,华岩新城华福大道,华宇锦绣花城,12000,套内 75~116m²,3室(4)/2室(1),住宅,在售,51
双山,迎宾大道华园路18号（巴国城旁）,渝高幸福九里,价格待定,套内 66m²,3室(1),住宅,售罄,40
南滨路,南滨路(珊瑚水岸旁),南滨特区,27000,套内 130~180m²,3室(3),住宅,在售,273
茶园新区,茶园新区天文大道17号,鲁能领秀城,11000,套内 88~102m²,3室(4),住宅,在售,57
汽博中心,果塘路2号（果塘湖公园西侧、常青藤人文别墅旁）,大鼎湖滨丽景,价格待定,,,住宅,售罄,43
照母山,金开大道金州大道交汇处(天来酒店旁),协信春山台,价格待定,套内 59~106m²,2室(3),住宅,售罄,170
梨树湾,梨树湾天梨路口（融汇温泉旁）,融汇温泉城童话里,价格待定,,,住宅,售罄,46
照母山,金州大道北侧106号,北大资源博雅,16500,套内 121m²,3室(1),住宅,在售,76
大学城,大学城中路6号,启迪协信城立方,139,套内 152~189m²,2室(2),住宅,在售,37
石坪桥,石坪桥正街119号（骏逸新视界对面）,保利爱尚里,价格待定,,,住宅,售罄,56
南滨路,南滨路龙门浩周家湾9号（与慈云路交汇处）,武夷滨江,价格待定,套内 52~80m²,2室(2)/1室(1),住宅,售罄,89
鱼洞,金竹工业园纵一线（金竹轻轨站旁）,巴南新鸥鹏教育城,价格待定,套内 81~106m²,3室(2),住宅,售罄,51
回兴,回兴街道锦华一路1号(南方翻译学院内),南方玫瑰城,价格待定,,,住宅,售罄,61
黄泥磅,黄泥塝紫荆路601起点站旁,佳华北宸里,价格待定,套内 61~80m²,3室(2)/2室(2),住宅,售罄,54
巴国城,石坪桥龙泉路18号(重庆公路运输汽车公司附近）,华宇阳光尚座,价格待定,,,住宅,售罄,42
汽博中心,果塘路2号（常青藤人文别墅旁）,大鼎湖滨印象,价格待定,套内 170~202m²,4室(3)/3室(2),别墅,售罄,170
