address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
梅溪湖南岸,岳麓区环湖路488号,佳兆业云顶梅溪湖,12000,108m²,2室(1),住宅,在售,116
望城县,芙蓉北路林科大涉外斜对面,美来美城市广场,5900,101m²,3室(1),住宅,在售,59
书院路,湘江中路二段178号,汇景发展环球中心,19000,114m²,2室(1),商业类,在售,206
望城县,雷锋大道与普瑞大道交汇处,征鸿城市时光,6600,51m²,1室(1),商业类,在售,33
黄土岭,裕南街街道南站社区,君合天玺,15000,38m²,1室(1),商业类,在售,57
梅溪湖南岸,岳麓区梅溪湖环湖路与近湖七路交汇处西北角（梅溪湖沙滩公园旁）,卓越浅水湾,13000,126m²,4室(1),住宅,售罄,124
开福区政府,开福湘江北路3段1388号（湘江北路与浏阳河交汇处东北角）,恒大御景半岛,14000,,,住宅,售罄,45
望城县,望城区普瑞大道二段888号,富基世纪公园,6540,,,住宅,售罄,57
汽车南站,雨花区时代阳光大道（省植物园南）,欧莱雅郡,240,119m²,2室(1),住宅,售罄,173
松桂园,芙蓉区蔡锷路189号,五一钻界海上银座,15500,,,住宅,售罄,62
梅溪湖南岸,岳麓区环湖路488号,佳兆业云顶梅溪湖,12000,108m²,2室(1),住宅,在售,116
望城县,芙蓉北路林科大涉外斜对面,美来美城市广场,5900,101m²,3室(1),住宅,在售,59
书院路,湘江中路二段178号,汇景发展环球中心,19000,114m²,2室(1),商业类,在售,206
望城县,雷锋大道与普瑞大道交汇处,征鸿城市时光,6600,51m²,1室(1),商业类,在售,33
黄土岭,裕南街街道南站社区,君合天玺,15000,38m²,1室(1),商业类,在售,57
梅溪湖南岸,岳麓区梅溪湖环湖路与近湖七路交汇处西北角（梅溪湖沙滩公园旁）,卓越浅水湾,13000,126m²,4室(1),住宅,售罄,124
开福区政府,开福湘江北路3段1388号（湘江北路与浏阳河交汇处东北角）,恒大御景半岛,14000,,,住宅,售罄,45
望城县,望城区普瑞大道二段888号,富基世纪公园,6540,,,住宅,售罄,57
汽车南站,雨花区时代阳光大道（省植物园南）,欧莱雅郡,240,119m²,2室(1),住宅,售罄,173
松桂园,芙蓉区蔡锷路189号,五一钻界海上银座,15500,,,住宅,售罄,62
宁乡县,宁乡县长常高速与岳临高速交汇处西北角（中国长沙长常高速关山出口）,碧桂园山水桃园,228,,,别墅,售罄,249
麓谷东,岳麓区咸嘉湖西路388号,翡翠华庭,7200,44m²,1室(1),住宅,售罄,79
福元西路,开福区福元西路与车站北路交汇处东南角,五矿沁园金城,264,,,别墅,售罄,252
雨花亭,雨花区劳动东路299号 鑫天鑫城小区入口处（卷烟厂对面）,建发中央悦府,13000,,,住宅,售罄,118
梅溪湖北岸,岳麓区梅溪湖国际新城环湖路777号 （梅溪湖摩天轮旁）,晟通牡丹舸,21000,233m²,3室(1),住宅,在售,285
金霞,开福区北二环一段169号（楚家湖公园边上）,深业堤亚纳湾,7500,63m²,1室(1),住宅,售罄,46
万家丽南路,雨花区时代阳光大道330号,博长山水香颐,7700,,,住宅,售罄,68
金星北,望城区金星北路208号,时代倾城,6900,115m²,3室(1),住宅,售罄,58
金盆岭,天心区猴子石路288号,泰龙华府,8300,,,商业类,售罄,35
梅溪湖北岸,岳麓区梅溪湖北路与雷锋西大道交汇处西南角（梅溪湖北岸）,振业城,11600,132m²,3室(1),住宅,售罄,92
汽车东站,芙蓉区人民东路与望龙路交汇处西南角（红旗路口公交站附近）,中房瑞致国际,10000,129m²,3室(1),住宅,售罄,50
武广新城,雨花区木莲东路68号（雨花区政府东南侧）,天晟海拔东方,8000,87~91m²,2室(2),住宅,售罄,52
黄土岭,雨花区韶山中路744号（桔园小区对面）,拿铁空间,13000,,,住宅,售罄,36
望城县,望城区银杉路与普瑞大道交汇处东南角,勤诚达境界城,6500,,,住宅,售罄,79
武广新城,雨花区劳动东路与花侯路交汇处（恒大绿洲对面）,明昇壹城,12500,168m²,4室(1),住宅,在售,104
万家丽南路,雨花时代阳光大道与京珠高速交汇处东北角,碧桂园南城首府,8500,,,住宅,售罄,79
溁湾镇,岳麓区枫林路与银盆南路交汇处西北角（交警大楼西侧）,绿地湖湘中心,17000,,,住宅,售罄,240
梅溪湖北岸,岳麓区梅溪湖枫林三路与长东路交汇处东南角（涉外经济学院旁边）,弘德西街好莱城,9200,,,住宅,售罄,114
麓谷西,岳麓区桐梓坡西路319号,可可小城,7000,84m²,2室(1),住宅,售罄,49
月湖,开福区万家丽北路212号（月湖公园以南）,威尔士春天,7400,156m²,4室(1),住宅,售罄,107
省政府,天心区书院路579号,融源及第,6800,,,住宅,待售,30
岳麓山北,岳麓区西湖文化公园北面（望月公园西侧）,蓝光雍锦阁,9000,,,住宅,售罄,32
东方红,岳麓区梅溪湖东方红路与东雷路交汇处（步步高新天地以南）,梅溪鑫苑名家,10800,,,住宅,售罄,84
商学院,岳麓区西二环与枫林路交汇处,望兴西西里,9500,,,住宅,售罄,35
