address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
里水,佛山市南海区沿江北路20号,中海金沙水岸,18000,90~270m²,5室(4)/4室(10)/3室(6),住宅,售罄,117
范湖,佛山市三水区乐平镇范湖龙湖路222号,华盛圆坊名荟,50,88~89m²,3室(4),住宅,售罄,51
乐从,顺德区乐从镇乐中路139号,物联创智谷,13500,55~72m²,3室(1)/2室(1),商业类,在售,54
佛平路,南海区桂城南海大道北46号,悦万城,25000,67m²,1室(1),住宅,在售,84
大沥,大沥镇盐步蟾龙路2号新澳商务大厦,新澳ITI国际,18000,68m²,2室(1),商业类,售罄,72
陈村,广珠西线石洲出口往陈村大道方向500米印象花城,碧桂园印象花城,18000,,,住宅,售罄,145
大沥,大沥镇新城三路（大沥镇政府旁）,碧桂园华府,17000,,,住宅,售罄,153
大沥,纺织路中段（广佛路世贸纺织城内）,润丰花园,15000,130m²,3室(1),住宅,售罄,195
大沥,广州荔湾芳村穗盐东路与河东中心路交界,金地悦荔,23000,89~136m²,4室(2)/3室(2),住宅,在售,204
里水,佛山市南海区沿江北路20号,中海金沙水岸,18000,90~270m²,5室(4)/4室(10)/3室(6),住宅,售罄,117
范湖,佛山市三水区乐平镇范湖龙湖路222号,华盛圆坊名荟,50,88~89m²,3室(4),住宅,售罄,51
乐从,顺德区乐从镇乐中路139号,物联创智谷,13500,55~72m²,3室(1)/2室(1),商业类,在售,54
佛平路,南海区桂城南海大道北46号,悦万城,25000,67m²,1室(1),住宅,在售,84
大沥,大沥镇盐步蟾龙路2号新澳商务大厦,新澳ITI国际,18000,68m²,2室(1),商业类,售罄,72
陈村,广珠西线石洲出口往陈村大道方向500米印象花城,碧桂园印象花城,18000,,,住宅,售罄,145
大沥,大沥镇新城三路（大沥镇政府旁）,碧桂园华府,17000,,,住宅,售罄,153
大沥,纺织路中段（广佛路世贸纺织城内）,润丰花园,15000,130m²,3室(1),住宅,售罄,195
大沥,广州荔湾芳村穗盐东路与河东中心路交界,金地悦荔,23000,89~136m²,4室(2)/3室(2),住宅,在售,204
里水,里水镇里水大道与佛山一环交界处南侧,绿地香树花园,18500,,,住宅,售罄,172
石湾,佛山市禅城区季华三路61号中国陶瓷城北门,卓远广场,15000,,,住宅,售罄,57
西樵,项目地处南海西岸南海湾旅游生态片区内西樵西岸水上乐园对面,中旅银湾花园,8500,107~117m²,4室(1)/3室(2),住宅,在售,64
乐从,顺德区乐从镇映翠北路2号,乐从风度花园,12500,238m²,4室(2),住宅,在售,131
西樵,樵岭国际位于西樵镇官山城区江浦东路以北，樵金路以西，沿江路以南,樵岭国际商业中心,价格待定,234m²,5室(1),住宅,售罄,84
狮山,佛山市南海区狮山镇博爱路68号,长华国际中心,14000,64~126m²,2室(2)/1室(1),商业类,在售,52
大沥,盐步蟾龙北路1号,珑耀华府,14500,89~122m²,4室(1)/3室(5),住宅,售罄,129
乐从,乐从镇佛山新城富华路6号,怡翠晋盛御园,21500,165~243m²,4室(2),住宅,在售,191
乐从,怡翠晋盛花园位于佛山新城区域天虹路以南、文德道以东、岳和路以北,怡翠晋盛花园,21000,171~243m²,4室(4),住宅,售罄,191
高明,高明区中部明城商住新区明七路北侧,明城壹号,7500,89~129m²,4室(1)/3室(2),住宅,在售,66
大沥,广东省佛山市南海区大沥镇四季路2号,华福熹云水岸,19000,96m²,3室(1),住宅,在售,174
高明,佛山市高明区杨和镇高明大道中218号,美的鹭湖森林度假区,19000,53~138m²,3室(3)/2室(2)/1室(1),住宅,在售,43
平洲,万科金域中央位于南海区海八立交东南侧,万科金域中央,15000,68m²,2室(2),商业类,在售,102
北滘,北滘镇木华路1号,林上湾,15000,40~86m²,2室(1)/1室(2),商业类,在售,64
三水,佛山市三水区西南街道三兴路16号，三水区西南街道三兴路，北面及西面均为绿化公园，临近有三水广场,明智大厦,8800,,,住宅,售罄,98
三水,捷和广场位于城市主干道南丰大道23号，距离西南市区仅有1公里，位于广州至肇庆的轻轨站附近，项目东面现为高丰涌，东南向约1000米处为高丰村；,捷和广场,9500,,,住宅,售罄,141
西樵,项目位于 西樵镇白云路与锦湖大道交汇处,听音湖1号公馆,14000,69m²,2室(1),商业类,在售,39
勒流,育贤路3号育贤实验学校旁,勒流碧桂园,15000,,,住宅,售罄,55
大沥,佛山市南海区大沥工业大道6号,中盈广场,13000,495m²,5室(1)/4室(1),写字楼,在售,644
陈村,佛山市顺德区佛陈路与文登路交汇处,福朋国际,13500,,,住宅,售罄,63
北滘,佛山市顺德区北滘镇人昌路与木华路交界,美的壹号公馆,价格待定,91~115m²,3室(6),住宅,售罄,218
里水,雅瑶（南海碧桂园旁）,雅瑶绿洲,27000,,,住宅,售罄,410
乐从,佛山新城裕和路和文华南路交汇处（新闻中心北门斜对面）,保利东湾东瑞广场,13800,50~69m²,1室(2),商业类,售罄,62
石湾,佛山市华宝南路海湾城南侧智慧公园东侧,中海凤凰熙岸,18000,108~143m²,4室(2)/3室(1),住宅,在售,190
大良新区,顺德大良区政府旁华桂园南侧,碧桂园钻石湾,18000,750~867m²,7室(2),别墅,在售,510
三水,内环南路与碧云路交汇处(三水云东海森林公园北行200米),山水庄园,11000,398m²,4室(1),别墅,售罄,437
高明,桂丹路-西二环-广明高速（荷城出口）,君御海城,9300,116~155m²,4室(2)/3室(2),住宅,在售,98
石湾,佛山市禅城区工农路和紫薇路交接处,美誉紫薇花园,16000,,,住宅,售罄,74
北滘,北滘镇碧江大桥侧,顺德碧桂园,20000,,,住宅,售罄,190
三水,佛山市三水北江新区西侧,恒大郦湖城,11000,95~123m²,4室(1)/3室(4),住宅,在售,85
大良西北区,大良街道办事处古鉴村委会良勒路,康格斯花园橡树湾,13500,100~113m²,4室(1)/3室(2),住宅,在售,147
罗村,位于张槎与罗村交界处,尚观嘉园,14600,90~137m²,4室(1)/3室(3),住宅,售罄,121
丹灶,南海 南海丹灶镇金沙天晟海琴湾(金沙大桥附近),天晟·海琴湾,11500,172~193m²,4室(2),住宅,在售,205
罗村,罗村大道中2号,长信银湾,14000,,,住宅,售罄,94
大良新区,佛山市顺德区大良德胜西路与南霞新路交界,龙湖春江名城,14500,98~140m²,4室(2)/3室(1),住宅,在售,104
大良东区,项目位于南国东路、与桂峰路黄金交汇处,美的广场·擎峰,16000,316~437m²,6室(1)/5室(1),住宅,售罄,460
三水,大塘镇锦塘路东侧（即原佳利达山庄）,莱福水岸城邦,价格待定,,,住宅,售罄,47
高明,桂丹路-西二环-广明高速（荷城出口）,君御海城,9300,116~155m²,4室(2)/3室(2),住宅,在售,98
石湾,佛山市禅城区工农路和紫薇路交接处,美誉紫薇花园,16000,,,住宅,售罄,74
北滘,北滘镇碧江大桥侧,顺德碧桂园,20000,,,住宅,售罄,190
三水,佛山市三水北江新区西侧,恒大郦湖城,11000,95~123m²,4室(1)/3室(4),住宅,在售,85
大良西北区,大良街道办事处古鉴村委会良勒路,康格斯花园橡树湾,13500,100~113m²,4室(1)/3室(2),住宅,在售,147
乐从,佛山新城天虹路与百合道交汇处,德国港,18000,41~94m²,2室(3)/1室(2),商业类,在售,65
丹灶,项目位于南海区丹灶镇迎金一路1号,上林一品,12000,109~143m²,4室(2)/3室(1),住宅,在售,105
三水,西南文锋西路与口岸大道交汇处,颐澳湾,价格待定,,,住宅,售罄,76
狮山,佛山市南海区狮山镇小塘三环东路,绿地丽雅香榭花苑,13800,82~117m²,4室(2)/3室(1)/2室(1),住宅,在售,110
龙江,龙江镇龙洲路南侧,龙江碧桂园华府,15000,194m²,5室(1),住宅,售罄,158
勒流,勒流大晚社区居委会成才路1号,凯茵花园,13000,103~129m²,3室(3),住宅,在售,130
三水,佛山市三水区大兴大道98号（大塘镇政府旁）,万豪广场,7600,79~119m²,3室(4)/2室(1),商业类,在售,57
大良东区,顺德大良南屏路9号（近良市场旁）,广域双子星,18500,117m²,4室(1),住宅,在售,184
九江,九江镇沙头万安路与桂香街交汇处（泓信华府销售中心）,泓信华府,6300,90~125m²,3室(2),住宅,售罄,56
三水,云东海街道明海路1号,明智雅苑,5500,,,住宅,售罄,44
三水,佛山市三水区西南街道芒果岗地块,兆丰豪庭,5600,88~120m²,3室(5)/2室(3),住宅,售罄,49
乐从,顺德乐从映翠南路与葛仙路交汇处,星际半岛,13000,77~160m²,4室(1)/3室(1)/2室(2),住宅,在售,77
朝安,同济东路与朝安路交汇处（区政府通济大院对面）,兆阳O立方,18500,41~49m²,2室(2),商铺,在售,73
桂城北（南海广场）,桂城海七路8号（南海大道北）,灯湖领秀,60000,56m²,1室(1),底商,在售,336
平洲,依岸康堤临近佛山一环桂平出口，西侧毗邻鸿晖•都市产业新城，区位优势优越，桂城向东，是政府规划的重点区域。,依岸康堤花园,20000,142~180m²,3室(3),住宅,售罄,284
狮山,佛山市南海区狮山镇红星南路与科技北路交汇处西侧,美立方,17600,90m²,3室(1),住宅,在售,144
九江,九江镇江滨路（镇政府西行约500米）,誉江华府.誉江半岛,12000,,,住宅,售罄,639
祖庙,北靠新风路，南临同济东路，东至文华北路，西近岭南大道,普君新城华府,21000,87~90m²,3室(4),住宅,售罄,163
乐从,顺德区乐从镇映翠北路2号,乐从风度花园,12500,238m²,4室(2),住宅,在售,131
西樵,樵岭国际位于西樵镇官山城区江浦东路以北，樵金路以西，沿江路以南,樵岭国际商业中心,价格待定,234m²,5室(1),住宅,售罄,84
乐从,乐从镇佛山新城富华路6号,怡翠晋盛御园,21500,165~243m²,4室(2),住宅,在售,191
乐从,怡翠晋盛花园位于佛山新城区域天虹路以南、文德道以东、岳和路以北,怡翠晋盛花园,21000,171~243m²,4室(4),住宅,售罄,191
罗村,佛山市南海区状元路与北湖二路交汇处,奥园公园一号,价格待定,107~143m²,4室(1)/3室(6),住宅,待售,157
罗村,位于张槎与罗村交界处,尚观嘉园,14600,90~137m²,4室(1)/3室(3),住宅,售罄,121
丹灶,南海 南海丹灶镇金沙天晟海琴湾(金沙大桥附近),天晟·海琴湾,11500,172~193m²,4室(2),住宅,在售,205
罗村,罗村大道中2号,长信银湾,14000,,,住宅,售罄,94
