address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
新市,机场路西侧进棠乐路段（靠近霸王大酒店）,保利华润紫云,45000,93~126m²,3室(3),住宅,在售,382
永和,增城广园东新新公路中段（增城中新镇）,合景誉山国际,16500,69~92m²,2室(10),住宅,在售,108
金洲,南沙区进港大道金枫路（奥园中环广场旁）,蓝光林肯公园,25500,85~129m²,4室(2)/3室(2)/2室(2),住宅,在售,207
荔城,增城区三联村蕉冚地段（21号线钟岗站西行1000米）,实地蔷薇国际,22000,97~138m²,4室(1)/3室(2)/2室(1),住宅,在售,172
中新镇,广河高速中新出口右转约500米（S118省道旁）,恒大山水郡,17000,87~98m²,3室(3),住宅,在售,132
车陂,天河黄埔大道车陂南路1、3、5、7号（4、5号线地铁交汇处南侧）,江源半岛花园,75000,72~127m²,3室(1)/2室(2),住宅,在售,490
花山镇,花都机场高速花山出口,雅居乐万科热橙,16000,125m²,4室(1),住宅,在售,69
金洲,南沙区丰润路与海滨路交汇处南侧（金洲地铁站旁）,越秀滨海御城,25000,,,住宅,售罄,170
开发区,广州市广园快速笔村立交旁（东区小学对面）,富力悦禧花园,24000,86~98m²,3室(5),住宅,在售,167
科学城,广汕路与天鹿南路交互处,峰湖御境,30000,77~92m²,3室(1)/2室(2),住宅,在售,211
新市,机场路西侧进棠乐路段（靠近霸王大酒店）,保利华润紫云,45000,93~126m²,3室(3),住宅,在售,382
永和,增城广园东新新公路中段（增城中新镇）,合景誉山国际,16500,69~92m²,2室(10),住宅,在售,108
金洲,南沙区进港大道金枫路（奥园中环广场旁）,蓝光林肯公园,25500,85~129m²,4室(2)/3室(2)/2室(2),住宅,在售,207
荔城,增城区三联村蕉冚地段（21号线钟岗站西行1000米）,实地蔷薇国际,22000,97~138m²,4室(1)/3室(2)/2室(1),住宅,在售,172
中新镇,广河高速中新出口右转约500米（S118省道旁）,恒大山水郡,17000,87~98m²,3室(3),住宅,在售,132
车陂,天河黄埔大道车陂南路1、3、5、7号（4、5号线地铁交汇处南侧）,江源半岛花园,75000,72~127m²,3室(1)/2室(2),住宅,在售,490
花山镇,花都机场高速花山出口,雅居乐万科热橙,16000,125m²,4室(1),住宅,在售,69
金洲,南沙区丰润路与海滨路交汇处南侧（金洲地铁站旁）,越秀滨海御城,25000,,,住宅,售罄,170
开发区,广州市广园快速笔村立交旁（东区小学对面）,富力悦禧花园,24000,86~98m²,3室(5),住宅,在售,167
科学城,广汕路与天鹿南路交互处,峰湖御境,30000,77~92m²,3室(1)/2室(2),住宅,在售,211
前进路,海珠素社六巷3号之1至9,馨晴轩,47500,,,住宅,售罄,180
沙太南,天河区元岗路68号,远洋天骄,48000,40~124m²,3室(2)/2室(3)/1室(2),住宅,在售,188
炭步镇,花都区花都大道西83号,好美嘉园好美华庭,价格待定,,,住宅,售罄,52
区府,黄埔黄埔大道与中山大道交汇处（蟹山路48号）,保利学府里,43000,,,住宅,售罄,331
