address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
荷叶地,祁门路与石台路交叉口,天鹅湖ΜΟΜΛ,23000,125m²,3室(1),住宅,售罄,218
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
大兴镇,和平路与障山路交口,金科·海昱东方,12600,86~119m²,4室(1)/3室(3),住宅,在售,115
荷叶地,祁门路与石台路交叉口,天鹅湖ΜΟΜΛ,23000,125m²,3室(1),住宅,售罄,218
东站,岱河路以南，烈山路以西,蓝光·林肯公园,13000,100~130m²,4室(2)/3室(2),住宅,在售,136
磨店,龙子湖路与张衡路交汇处,皖投万科天下艺境,13000,89~122m²,4室(1)/3室(2),住宅,在售,120
东站,梦溪路与岱河路交口,招商公园1872,14000,98~125m²,3室(3),住宅,在售,144
烟墩,四川路与云谷路交口东北角,华冶新天地,8900,50~70m²,1室(2),写字楼,在售,47
长丰,阜阳北路与泉阳路交口东南角,恒大帝景,7500,35~55m²,1室(3),写字楼,在售,28
长丰,安居路与富康路交口西南,祥和公馆,9700,100~118m²,3室(2),住宅,在售,96
烟墩,四川路与贵阳路交口向西200米,时光印象,16800,97m²,3室(1),住宅,在售,162
肥东,裕溪路与东风大道交口,文一名门金隅,8000,35m²,2室(1),写字楼,在售,34
兴园,银杏路和集贤路交口,文一·品一墅,25000,304m²,5室(1),别墅,在售,830
双岗,蒙城路与五河路交口向东500米,金科庐州樾,22000,82~124m²,4室(1)/2室(1),住宅,售罄,180
烟墩,四川路与云谷路交口东北角,华冶新天地,18000,91~110m²,3室(2),住宅,在售,158
烟墩,包河大道与杭州路交口向东500米,文一·塘溪津门,24000,171m²,2室(1),住宅,在售,253
烟墩,珠江路与云南路（在建）交口向西200米,公元天下,16000,126~136m²,4室(1)/3室(1),住宅,在售,154
长丰,阜阳北路与泉阳路交口东南角,恒大帝景,7500,35~55m²,1室(3),写字楼,在售,28
锦绣,金寨路与紫云路交口,尚泽紫金公馆,8500,,,写字楼,在售,32
