address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
惠阳区,惠州大亚湾西区中兴北路219号,碧桂园太东公园上城,14500,110~128m²,4室(1)/3室(1),住宅,在售,139
惠阳区,深汕公路500米处龙海一路,壹方天第,14100,163m²,5室(1),住宅,在售,105
惠阳区,惠州市惠阳区白云二路与土湖路交汇处,铂金广场,12000,97~149m²,4室(3)/3室(6),住宅,售罄,116
惠阳区,惠州市惠阳经济开发区惠南大道与联星路交界处东南角,现代城熙珑墅,19000,240~328m²,5室(1)/4室(1),别墅,售罄,296
惠阳区,惠州大亚湾西区西南大道88号,龙光城,15000,97~120m²,4室(1)/2室(1),住宅,售罄,145
惠阳区,惠阳淡水南站中路3号（白云六路惠阳一中实验学校对面）,碧桂园南站新城,14000,115~127m²,3室(2),住宅,售罄,119
惠阳区,大亚湾西区龙海二路3号,三远大爱城,价格待定,75~170m²,3室(4)/2室(9)/1室(3),住宅,售罄,105
惠阳区,广东省惠州市大亚湾中心区中兴三路6号,金沙世纪城,15500,77~129m²,3室(2)/2室(2),住宅,在售,87
惠阳区,惠阳人民六路（中天彩虹城旁）,茂基城市华府,13000,130~140m²,5室(1)/4室(1),住宅,售罄,91
惠阳区,惠州市惠阳区淡水金惠大道,清泉城市广场,16000,34~153m²,4室(1)/3室(1)/2室(8)/1室(7),住宅,售罄,56
惠阳区,惠州大亚湾西区中兴北路219号,碧桂园太东公园上城,14500,110~128m²,4室(1)/3室(1),住宅,在售,139
惠阳区,深汕公路500米处龙海一路,壹方天第,14100,163m²,5室(1),住宅,在售,105
惠阳区,惠州市惠阳区白云二路与土湖路交汇处,铂金广场,12000,97~149m²,4室(3)/3室(6),住宅,售罄,116
惠阳区,惠州市惠阳经济开发区惠南大道与联星路交界处东南角,现代城熙珑墅,19000,240~328m²,5室(1)/4室(1),别墅,售罄,296
惠阳区,惠州大亚湾西区西南大道88号,龙光城,15000,97~120m²,4室(1)/2室(1),住宅,售罄,145
惠阳区,惠阳淡水南站中路3号（白云六路惠阳一中实验学校对面）,碧桂园南站新城,14000,115~127m²,3室(2),住宅,售罄,119
惠阳区,大亚湾西区龙海二路3号,三远大爱城,价格待定,75~170m²,3室(4)/2室(9)/1室(3),住宅,售罄,105
惠阳区,广东省惠州市大亚湾中心区中兴三路6号,金沙世纪城,15500,77~129m²,3室(2)/2室(2),住宅,在售,87
惠阳区,惠阳人民六路（中天彩虹城旁）,茂基城市华府,13000,130~140m²,5室(1)/4室(1),住宅,售罄,91
惠阳区,惠州市惠阳区淡水金惠大道,清泉城市广场,16000,34~153m²,4室(1)/3室(1)/2室(8)/1室(7),住宅,售罄,56
惠阳区,惠州大亚湾西区石化大道西339号,美景印象,价格待定,65~108m²,4室(1)/3室(2)/2室(2),住宅,售罄,91
惠阳区,大亚湾西区龙山六路与龙海三路交汇处,夏日南庭,价格待定,89~123m²,2室(2),住宅,售罄,110
惠城区,惠州市惠城区三环南路23号,泰丰·千花岛,价格待定,165~196m²,5室(2),别墅,售罄,412
惠阳区,惠州大亚湾西区石化大道西34号,御蓝湾,14800,138m²,4室(1),住宅,售罄,86
惠阳区,惠州大亚湾澳头中兴一路1号,碧桂园中萃公园,11000,116~142m²,3室(1)/2室(1),住宅,在售,117
惠阳区,惠州大亚湾澳头新澳大道15号,金洋花海,12500,103~139m²,4室(2),住宅,在售,56
惠阳区,中兴北路和中兴二路交接处,十月花花园,10000,101~118m²,4室(1)/3室(1),住宅,售罄,101
惠阳区,惠阳淡水北环路与人民路交汇处,新祺园,13500,71~129m²,4室(1)/3室(1)/2室(1),住宅,售罄,86
惠阳区,大亚湾西区龙海二路与龙山三路交汇处,凯南莱弗城,12700,112m²,3室(1),住宅,在售,43
惠阳区,惠州大亚湾西区樟树埔龙山一路61号,德洲城六期,17600,78~98m²,3室(1)/2室(1),住宅,在售,136
惠阳区,惠阳区淡水大华三路与爱民路交汇处（石桥派出所旁）,建业深干线,10300,86~139m²,3室(2)/2室(2),住宅,售罄,86
惠阳区,惠州大亚湾西区龙海二路170号,碧桂园龙熹山,13500,95~126m²,4室(1)/3室(1),住宅,售罄,123
惠阳区,惠州市大亚湾石化大道与龙山八路交汇处,摩卡公馆,15000,88~93m²,4室(2)/3室(1),住宅,售罄,110
惠阳区,大亚湾石化大道与龙山九路交汇处,御玺山大峡谷二期,13000,,,住宅,售罄,93
惠阳区,惠州市惠阳大坪二街与河背街交叉口西50米,凯和华府,9300,127m²,3室(1),住宅,售罄,118
惠阳区,大亚湾西区石化大道39号,缤纷TOWN一期,12776,80~88m²,3室(1)/2室(1),住宅,售罄,67
