address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
文教,学院路与文一路交叉口往北300米（原杭师大旧址）,融信杭州公馆,65000,139m²,4室(1),住宅,在售,507
丁桥,长睦路北段,城发云锦城,价格待定,,,住宅,售罄,142
未来科技城,未来科技城荆长大道和余杭塘路交叉口,北大资源未名府,价格待定,,,住宅,售罄,284
德胜东,杭州市下城区胜景路与杭氧街交叉口,万科新都会1958,价格待定,,,住宅,售罄,600
转塘,之江国家旅游度假区横桥路,绿城之江1号,价格待定,450~597m²,7室(1)/4室(1),住宅,售罄,356
钱江湾,闻涛路与六和路交汇处以西,钱塘大观,28000,230m²,4室(1),住宅,在售,586
和睦,湖墅北路111号,凯德湖墅,价格待定,,,住宅,售罄,460
市心西,萧山萧棉路与工人路交叉口,天润商业中心,18500,,,商业类,售罄,62
华家池,环城北路东2800米（艮山西路与秋涛北路交叉口）,绿地华家池印,52000,240~288m²,4室(2),住宅,在售,1023
临平新城,临平迎宾路与永乐路交叉口，杭州高铁余杭站广场一公里区域,艺尚里,价格待定,,,住宅,售罄,136
文教,学院路与文一路交叉口往北300米（原杭师大旧址）,融信杭州公馆,65000,139m²,4室(1),住宅,在售,507
丁桥,长睦路北段,城发云锦城,价格待定,,,住宅,售罄,142
未来科技城,未来科技城荆长大道和余杭塘路交叉口,北大资源未名府,价格待定,,,住宅,售罄,284
德胜东,杭州市下城区胜景路与杭氧街交叉口,万科新都会1958,价格待定,,,住宅,售罄,600
转塘,之江国家旅游度假区横桥路,绿城之江1号,价格待定,450~597m²,7室(1)/4室(1),住宅,售罄,356
钱江湾,闻涛路与六和路交汇处以西,钱塘大观,28000,230m²,4室(1),住宅,在售,586
和睦,湖墅北路111号,凯德湖墅,价格待定,,,住宅,售罄,460
市心西,萧山萧棉路与工人路交叉口,天润商业中心,18500,,,商业类,售罄,62
华家池,环城北路东2800米（艮山西路与秋涛北路交叉口）,绿地华家池印,52000,240~288m²,4室(2),住宅,在售,1023
临平新城,临平迎宾路与永乐路交叉口，杭州高铁余杭站广场一公里区域,艺尚里,价格待定,,,住宅,售罄,136
未来科技城,未来科技城创景路以东，海曙路以南,奥克斯杭州未来中心,价格待定,,,住宅,售罄,257
申花,杭州学院北路与润园街交叉口东侧,碧桂园西江月,价格待定,,,住宅,售罄,373
丁桥,同协路和红旗路交界处,中旅城仕公馆,价格待定,,,住宅,售罄,195
康桥,科祥街50号（石祥路拱康路口）,杭钢尚堂府,价格待定,,,住宅,售罄,217
沿江东,东南至规划道路，西至19号大街，北至22号大街,金隅观澜时代,价格待定,,,住宅,售罄,333
万达北,杭行路与祥园北路交汇处（万达广场北面）,融创瑷颐湾,价格待定,,,住宅,售罄,240
临平新城,余杭星河南路以东、世纪大道以北,理想康城一品,价格待定,,,住宅,售罄,341
新天地,长浜路与新天地路交叉口,杭州新天地,25500,130m²,3室(1),商业类,在售,147
南星,候潮路与钱江路交叉口东北面,融创大家侯潮府,65727,213m²,4室(1),住宅,售罄,1050
紫金港,余杭塘路与五常港路交汇处,融创河滨之城,价格待定,,,住宅,售罄,424
和家园,天目山路百家园路口,滨江西溪明珠,价格待定,,,别墅,售罄,1410
万达北,通运路与东吴路交叉口,越秀星汇尚城,价格待定,,,住宅,售罄,168
申花,莫干山路969号,蓝钻天成,40000,78m²,3室(1),商业类,在售,115
汽车北站,学院北路与花园岗街交叉口,融信学院府,价格待定,,,住宅,售罄,350
未来科技城,文一西路高教路交叉口,富力十号一期,价格待定,125~191m²,4室(3),住宅,售罄,400
未来科技城,文二西路高教路交叉口,富力十号院,价格待定,,,住宅,售罄,333
汽车北站,学院北路与石祥路交叉口北,景瑞申花郡,255,,,住宅,售罄,261
都市水乡,拱墅莫干山路与长青路（广业街）交界处,阳光郡,价格待定,178m²,4室(1),住宅,售罄,371
未来科技城,文二西路与常二路交叉口,新城峯璟,价格待定,,,住宅,售罄,313
和家园,西湖区西溪路957号,复地黄龙和山,价格待定,,,商业类,售罄,82
大营盘,环城北路167号,新湖武林国际公寓,75000,225m²,5室(1)/4室(1),住宅,在售,1183
转塘,之江国家旅游度假区象山路西,融创瑷骊山,价格待定,,,住宅,售罄,565
章太炎,余杭常二路海曙路交叉口,富力新线公园,价格待定,,,住宅,售罄,249
紫金港,紫荆花路和石祥路交叉口往西100米（石祥西路788号）,宝嘉誉府,价格待定,,,住宅,售罄,249
仓前,文一西路上仓路南,保亿丽景山,价格待定,,,别墅,售罄,600
桥西,登云路与通益路交叉口,顺发吉祥半岛,价格待定,,,别墅,售罄,910
文化村,余杭区万科良渚文化内,万科郡西,价格待定,,,别墅,售罄,2050
文化村,良渚文化村内，东邻风情大道，北侧为郡西别墅,万科郡西澜山,价格待定,,,住宅,售罄,216
钱江新城,钱江新城民心路88号,东方君悦,42000,80m²,1室(1),商业类,在售,336
华丰,永华街156号,泰地北上新城,价格待定,80m²,3室(1),商业类,售罄,53
桥西,小河路以东、昼锦街以南、运河天地以北,绿城运河郡,价格待定,,,商业类,售罄,1
亲亲家园,古墩路与金渡北路交界处,协安蓝郡,26500,271m²,5室(1),住宅,在售,340
西兴,滨康路与风情大道交口南向100米,阳光城上府,价格待定,,,住宅,售罄,206
之江,杭州市西湖区之江旅游度假区碧波路与珊瑚沙路交叉口,云溪新语,价格待定,,,住宅,售罄,275
崇贤,丽水北路与崇杭街交叉口,恒基旭辉府,价格待定,,,住宅,售罄,150
萧山经济开发区,金城路与规划香樟路交接处,得力名望府,价格待定,,,住宅,售罄,114
北塘,金城路与风情大道交汇处往北300米,中国铁建江南国际城,价格待定,,,住宅,售罄,260
临平山北,新洲路与星河路交汇东南处,众安理想湾,价格待定,,,住宅,售罄,118
庭院深深,中泰街道中泰路与杭泰路交叉口,中港罗兰小镇,价格待定,,,住宅,售罄,142
半山田园,半山东路与虎山路交汇处,首开望宸,价格待定,,,住宅,售罄,227
和家园,杨梅山路（和家园求是小学正南）,万科坤和玉泉,价格待定,,,住宅,售罄,328
未来科技城,杭州未来科技城五常街道兴幼路以东,合景叠彩园,价格待定,,,别墅,售罄,660
闲林,西溪湿地延伸带（天目山西路闲富路口）,赞成乐山红叶,价格待定,,,住宅,售罄,256
明怡,风情大道与建设一路交叉口,中栋国际,价格待定,,,商业类,售罄,115
明怡,博奥路（原青年路）与建设二路交叉口,新城香悦奥府,价格待定,,,住宅,售罄,245
万达北,冯家浜路上园路交叉口,万科北宸之光三期拱宸,价格待定,135m²,4室(1),住宅,售罄,167
北塘,金城路与风情大道交汇处往北300米,中国铁建江南国际城,价格待定,,,住宅,售罄,260
临平山北,新洲路与星河路交汇东南处,众安理想湾,价格待定,,,住宅,售罄,118
庭院深深,中泰街道中泰路与杭泰路交叉口,中港罗兰小镇,价格待定,,,住宅,售罄,142
半山田园,半山东路与虎山路交汇处,首开望宸,价格待定,,,住宅,售罄,227
