address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
腊山,二环南路融汇城玫瑰公馆,融汇城玫瑰公馆,12800,128~143m²,4室(1)/3室(1),住宅,在售,67
腊山,刘长山路绿地欢乐颂,绿地欢乐颂,8400,38~68m²,2室(1)/1室(3),商业类,在售,33
唐冶,世纪大道绿地城,绿地城,8500,42m²,1室(1),商业类,在售,36
西市场,经十路新城领寓,新城领寓,10800,30~40m²,1室(2),商业类,在售,32
中大槐树,堤口路君御世家,力高君御世家,19000,160m²,4室(1),住宅,在售,266
齐鲁软件园,凤凰路万科麓城,万科麓城,价格待定,140m²,3室(1),住宅,售罄,190
药山,二环北路万科金色悦城,万科金色悦城,价格待定,108m²,3室(1),住宅,售罄,92
南辛庄,机床二厂路11号,映月紫云城,18000,78~118m²,3室(3)/2室(1),住宅,在售,98
汉峪,旅游路三盛国际公园,三盛国际公园,价格待定,,,住宅,售罄,184
二环南路,二环南路中海国际社区,中海国际社区,价格待定,,,住宅,售罄,122
腊山,二环南路融汇城玫瑰公馆,融汇城玫瑰公馆,12800,128~143m²,4室(1)/3室(1),住宅,在售,67
腊山,刘长山路绿地欢乐颂,绿地欢乐颂,8400,38~68m²,2室(1)/1室(3),商业类,在售,33
唐冶,世纪大道绿地城,绿地城,8500,42m²,1室(1),商业类,在售,36
西市场,经十路新城领寓,新城领寓,10800,30~40m²,1室(2),商业类,在售,32
中大槐树,堤口路君御世家,力高君御世家,19000,160m²,4室(1),住宅,在售,266
齐鲁软件园,凤凰路万科麓城,万科麓城,价格待定,140m²,3室(1),住宅,售罄,190
药山,二环北路万科金色悦城,万科金色悦城,价格待定,108m²,3室(1),住宅,售罄,92
南辛庄,机床二厂路11号,映月紫云城,18000,78~118m²,3室(3)/2室(1),住宅,在售,98
汉峪,旅游路三盛国际公园,三盛国际公园,价格待定,,,住宅,售罄,184
二环南路,二环南路中海国际社区,中海国际社区,价格待定,,,住宅,售罄,122
奥体中路,工业南路与奥体中路交汇处,山钢新天地,价格待定,,,住宅,售罄,122
