address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
马群,马群街169号,银城君颐东方,40000,85~170m²,4室(2)/3室(1)/2室(1),住宅,在售,340
江宁其它,嘉业路8号,恒大悦澜湾,26500,96~128m²,4室(2)/3室(3),住宅,在售,204
句容,经济开发区S122东北侧碧桂园凤凰城,碧桂园凤凰城,12000,94~517m²,5室(1)/3室(2)/2室(1),住宅,在售,106
江宁其它,淳化街道梨树园路9号,万科金域东方,23800,88~128m²,4室(1)/3室(1)/2室(3),住宅,在售,211
迈皋桥,兴贤路19号,嘉誉山,29000,127~141m²,3室(2),住宅,在售,245
小市,和燕路葛洲坝招商紫郡蘭园,葛洲坝招商紫郡兰园,价格待定,,,住宅,售罄,357
燕子矶,燕子矶街道融创玉兰公馆,融创玉兰公馆,价格待定,,,住宅,售罄,266
浦口其它,雨山西路和广电南路交汇处,融创臻园,价格待定,,,住宅,售罄,203
将军大道,康厚街10号,九间堂,价格待定,,,别墅,售罄,3960
马群,马群街169号,银城君颐东方,40000,85~170m²,4室(2)/3室(1)/2室(1),住宅,在售,340
江宁其它,嘉业路8号,恒大悦澜湾,26500,96~128m²,4室(2)/3室(3),住宅,在售,204
句容,经济开发区S122东北侧碧桂园凤凰城,碧桂园凤凰城,12000,94~517m²,5室(1)/3室(2)/2室(1),住宅,在售,106
江宁其它,淳化街道梨树园路9号,万科金域东方,23800,88~128m²,4室(1)/3室(1)/2室(3),住宅,在售,211
迈皋桥,兴贤路19号,嘉誉山,29000,127~141m²,3室(2),住宅,在售,245
小市,和燕路葛洲坝招商紫郡蘭园,葛洲坝招商紫郡兰园,价格待定,,,住宅,售罄,357
燕子矶,燕子矶街道融创玉兰公馆,融创玉兰公馆,价格待定,,,住宅,售罄,266
浦口其它,雨山西路和广电南路交汇处,融创臻园,价格待定,,,住宅,售罄,203
将军大道,康厚街10号,九间堂,价格待定,,,别墅,售罄,3960
江宁其它,麒麟街道袁家边路20号,中南山锦花城,价格待定,,,住宅,售罄,144
大光路,大光路67号,金陵雅颂居,价格待定,,,住宅,售罄,1025
科学园,秣陵街道竹山南路688号,罗托鲁拉小镇,价格待定,,,住宅,售罄,394
江浦街道,海院路88号,融侨观邸,26000,106~144m²,4室(1)/3室(3),住宅,在售,144
月苑,玄武大道苏宁钟山朝阳府,苏宁钟山朝阳府,价格待定,,,住宅,售罄,511
江浦街道,新浦路中建国熙台,中建国熙台,30210,166m²,5室(1),住宅,在售,263
迈皋桥,华飞路1号,恒大翡翠华庭,32000,223m²,5室(1),住宅,在售,429
将军大道,将军大道129号,雍福龙庭,价格待定,,,住宅,售罄,342
江宁其它,汤山街道阳明路99号,云栖山庄,价格待定,,,别墅,售罄,522
铁心桥,宁双路世茂城品,世茂城品,价格待定,,,住宅,售罄,311
湖西街,所街7号,华润新悦天地,价格待定,,,住宅,售罄,389
江浦街道,张敦路59号,明发珠江国际,27500,129m²,3室(1),住宅,在售,221
仙鹤门,鹤鸣路68号,骋望云邸,价格待定,,,住宅,售罄,490
仙林,守敬路313号,高科荣境桂山堂,32000,319m²,5室(1),住宅,售罄,803
江浦街道,江浦街道胡桥路9号,明发云庭,价格待定,,,住宅,售罄,117
江浦街道,天浦路96号,雅居乐滨江国际,29800,143~680m²,5室(2)/4室(3),住宅,在售,324
应天西路,泰山路金隅紫金府,金隅紫京府,643,143m²,4室(1),住宅,售罄,643
六合其它,龙池街道龙华路66号,骋望七里楠花园,10000,280m²,3室(1),住宅,在售,50
浦口其它,汤泉街道尚峰尚水,尚峰尚水,18000,190~310m²,7室(1)/4室(1)/3室(1),别墅,在售,330
江宁其它,江宁双龙大道3000号,帝景天誉别墅,27600,285m²,4室(1),别墅,在售,820
孝陵卫,顾家营路紫金华府,紫金华府,价格待定,,,住宅,售罄,400
江宁其它,滨溪大道1000号,牧龙原墅,23000,,,别墅,售罄,1150
江宁其它,横溪街道甘泉湖路1号,中浩山屿湖,价格待定,,,别墅,售罄,350
江浦街道,城南河路保利西江月,保利西江月,价格待定,,,住宅,售罄,256
东山镇,莱茵达路12号,都市丽景,价格待定,,,住宅,售罄,201
江宁其它,东山街道万安南路9号,融侨悦城,价格待定,89~119m²,4室(1)/3室(2),住宅,售罄,202
浦口其它,雨山西路89号,北江锦城,24300,101~125m²,3室(3)/2室(1),住宅,在售,98
百家湖,天元路中路128号,中锐星湖名邸,价格待定,,,住宅,售罄,317
将军大道,将军大道韩府路18号,滟紫台,价格待定,,,住宅,售罄,536
顶山街道,珍珠南路1号,恒辉假日广场,23500,106~159m²,3室(3),住宅,在售,193
六合其它,龙池街道林场路1号,荣盛花语城,12800,88m²,3室(1),住宅,在售,107
江宁其它,麒麟街道袁家边路9号,恒大龙珺,价格待定,124~146m²,4室(1)/3室(1)/2室(1),住宅,售罄,286
溧水,卧龙湖大道1号,卧龙湖小镇,14900,146~300m²,5室(1)/4室(3),别墅,在售,190
江宁大学城,格致西路1号,鲁能泰山7号院,价格待定,,,别墅,售罄,411
浦口其它,雨山西路89号,路易庄园,29800,309~355m²,5室(1)/4室(2),别墅,在售,803
江宁大学城,淳化街道鹏山路28号,中粮祥云,价格待定,,,住宅,售罄,311
