address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
春申,闵行-都会路3799号,上海星河湾,76500,220m²,4室(2),住宅,在售,1683
盈浦,淀湖路555弄,新城盛世,42000,112~134m²,4室(1)/3室(1),住宅,在售,470
盈浦,青浦-清河湾路1699弄(近漕盈路),葛洲坝绿城玉兰花园,42000,102~130m²,3室(1)/2室(1),住宅,在售,428
小昆山,松江松江崇南公路599弄,路劲佘山院子,38000,70~89m²,3室(1)/2室(1),住宅,在售,266
南翔,德园路955弄,上海西环中心星信名邸,50500,113m²,3室(1),住宅,在售,571
浦江,闵行-浦秀路1385弄,浦江坤庭—璞御,55000,97~142m²,3室(5)/2室(4),住宅,在售,534
惠南,浦东-人民西路1533弄,艺泰一品花园,35500,189m²,4室(1),住宅,在售,624
枫泾,金山枫泾镇白牛路1068弄（近枫塘路）,长城逸府,20300,92~266m²,5室(2)/4室(2)/3室(2),住宅,在售,187
中原,杨浦－闸殷路889弄（近殷高东路）,盛世豪园(二期),83300,84~133m²,3室(4)/2室(2),住宅,在售,700
春申,闵行-都会路3799号,上海星河湾,76500,220m²,4室(2),住宅,在售,1683
盈浦,淀湖路555弄,新城盛世,42000,112~134m²,4室(1)/3室(1),住宅,在售,470
盈浦,青浦-清河湾路1699弄(近漕盈路),葛洲坝绿城玉兰花园,42000,102~130m²,3室(1)/2室(1),住宅,在售,428
小昆山,松江松江崇南公路599弄,路劲佘山院子,38000,70~89m²,3室(1)/2室(1),住宅,在售,266
南翔,德园路955弄,上海西环中心星信名邸,50500,113m²,3室(1),住宅,在售,571
浦江,闵行-浦秀路1385弄,浦江坤庭—璞御,55000,97~142m²,3室(5)/2室(4),住宅,在售,534
惠南,浦东-人民西路1533弄,艺泰一品花园,35500,189m²,4室(1),住宅,在售,624
枫泾,金山枫泾镇白牛路1068弄（近枫塘路）,长城逸府,20300,92~266m²,5室(2)/4室(2)/3室(2),住宅,在售,187
佘山,松江-佘山镇千新公路718弄,世茂佘山里,1475,283~392m²,5室(2),别墅,在售,1084
罗店,宝山-抚远路1211号（抚远路近美诺路）,正荣国领(别墅),1550,145~360m²,4室(3)/3室(1),别墅,在售,600
杨东,浦东-银融路88弄,仁恒公园世纪,100000,245~275m²,4室(2),住宅,在售,3300
张堰,金山-龙轩路1998弄,正荣御首府,24000,89~113m²,3室(1)/2室(3),住宅,在售,214
周浦,上海浦东周浦周东南路599弄,中金海棠湾(别墅),1465,235~268m²,5室(3)/4室(1),别墅,在售,1363
佘山,松江-佘山镇千新公路718弄,世茂佘山里,1475,283~392m²,5室(2),别墅,在售,1084
嘉定新城,嘉定-云屏路1051号（宝塔路与云屏路交汇处）,嘉宝梦之缘景庭,43000,114~139m²,3室(2),住宅,在售,342
花木,花木路826号,银亿公园壹号,125000,170~182m²,4室(1)/3室(3),住宅,在售,2125
唐镇,德淳路99弄,大名城紫金九号,68000,113~118m²,3室(2),住宅,在售,768
光新,石泉路18弄,宝华城市之星,95000,100~145m²,3室(1)/2室(2),住宅,在售,950
老闵行,富国路199弄,禹洲府,44900,77m²,2室(1),住宅,在售,346
徐行,澄浏公路路唐家浜路路口,禹洲丁香里,32000,116~138m²,4室(1)/3室(1),住宅,在售,371
盈浦,淀山湖大道1088号,东渡悦来城,41700,89~125m²,3室(2)/2室(2),住宅,在售,369
朱家角,淀山湖大道复兴路路口,恒大御澜庭,556,142~249m²,6室(1)/4室(2)/3室(3),别墅,在售,568
松江新城,"长水街277弄, 长水街01-08.11-14.16-19号",信达蓝尊,40000,77~114m²,3室(4)/2室(1),住宅,在售,308
嘉定新城,合作路199弄,金地世家,44600,139m²,4室(1),住宅,在售,620
夏阳,青浦崧泉路782号,源昌幸福里,42000,89~118m²,3室(3),住宅,在售,374
南桥,解放东路588号,阳光星期八·名庭,价格待定,83~130m²,4室(1)/3室(2)/2室(1),住宅,售罄,306
花木,花木路826号,银亿公园壹号,125000,170~182m²,4室(1)/3室(3),住宅,在售,2125
唐镇,德淳路99弄,大名城紫金九号,68000,113~118m²,3室(2),住宅,在售,768
光新,石泉路18弄,宝华城市之星,95000,100~145m²,3室(1)/2室(2),住宅,在售,950
老闵行,富国路199弄,禹洲府,44900,77m²,2室(1),住宅,在售,346
徐行,澄浏公路路唐家浜路路口,禹洲丁香里,32000,116~138m²,4室(1)/3室(1),住宅,在售,371
盈浦,淀山湖大道1088号,东渡悦来城,41700,89~125m²,3室(2)/2室(2),住宅,在售,369
朱家角,淀山湖大道复兴路路口,恒大御澜庭,556,142~249m²,6室(1)/4室(2)/3室(3),别墅,在售,568
松江新城,"长水街277弄, 长水街01-08.11-14.16-19号",信达蓝尊,40000,77~114m²,3室(4)/2室(1),住宅,在售,308
老闵行,富卓路789弄,万科公园大道,46000,67~126m²,4室(1)/3室(1)/2室(2)/1室(1),住宅,在售,308
盈浦,青浦-朱家角路158弄,大发融悦,38800,105~139m²,4室(2)/3室(2),住宅,在售,373
嘉定新城,嘉定-洪德路35弄,保利天琴宇舍,38500,205~300m²,4室(3)/3室(2),住宅,在售,789
莘闵别墅,松江-明华路1077弄,象屿上海年华,46000,82~106m²,3室(3)/2室(2),住宅,在售,370
华新,青浦-新凤中路899弄,星尚湾名邸,42000,89~125m²,3室(2)/2室(2),住宅,在售,374
杨行,月辉路218弄,中铁北城时代,价格待定,,,住宅,售罄,380
老闵行,闵行-景谷中路58弄（近石屏路）,凤凰景苑,50000,164~240m²,5室(1)/4室(1),住宅,在售,805
新江湾城,杨浦－江湾城路899号（近国秀路）,中建大公馆,5500,412m²,4室(1),别墅,在售,5500
唐镇,浦东－玉盘北路281弄,浦发罗兰翡丽,65500,117~136m²,3室(2),住宅,在售,766
杨行,月辉路218弄,中铁北城时代,价格待定,,,住宅,售罄,380
老闵行,闵行-景谷中路58弄（近石屏路）,凤凰景苑,50000,164~240m²,5室(1)/4室(1),住宅,在售,805
新江湾城,杨浦－江湾城路899号（近国秀路）,中建大公馆,5500,412m²,4室(1),别墅,在售,5500
唐镇,浦东－玉盘北路281弄,浦发罗兰翡丽,65500,117~136m²,3室(2),住宅,在售,766
海湾,奉贤海湾旅游区金汇塘路88号（近浦星公路）,棕榈滩高尔夫别墅,1550,332~418m²,6室(3)/5室(4)/4室(1),别墅,在售,1355
北蔡,浦东-成山路1396号,大华伊斐墅,4410,300~330m²,4室(1)/3室(1),别墅,在售,4200
长兴岛,崇明－长兴岛凤蓉路455弄（长兴派出所旁）,御岛财富,35500,135~287m²,5室(1)/4室(1)/3室(4),住宅,在售,473
徐行,启悦路700弄,碧桂园嘉誉,45000,118m²,3室(1),住宅,在售,401
川沙,航城三路518弄,东亚启航公馆,32000,78~88m²,3室(1)/2室(1),住宅,待售,250
南桥,奉贤金海公路广丰路交汇处,桐南美麓,32000,79~89m²,3室(2)/2室(2),住宅,在售,253
夏阳,青浦外青松公路6666弄（A9高速青浦城区出口左拐）,帕缇欧香苑,40500,118~162m²,4室(1)/3室(2),住宅,在售,478
安亭,安勇路20弄,万科安亭新镇,31500,,,住宅,售罄,540
香花桥,崧泽大道9188弄,紫樱阁,39800,67~112m²,3室(1)/2室(1)/1室(1),住宅,在售,268
夏阳,汇金路与秀泽路交汇处,大发融悦四季,41000,85~113m²,3室(4),住宅,在售,340
徐汇滨江,徐汇-宛平南路1441号,尚海湾豪庭,155000,208~286m²,3室(4),住宅,在售,3224
香花桥,青浦-业辉路199弄,臻水岸苑,1241,288~320m²,4室(2),别墅,在售,1421
徐行,嘉定-顺宁路501弄,佳兆业城市广场(公寓),35000,140~240m²,5室(1)/4室(1)/3室(3),住宅,在售,448
亭林,九工路1885弄,华纺和成未来派,18500,90~119m²,4室(1)/3室(2),住宅,售罄,162
大宁,闸北－广延路1099弄,大宁揽翠艺墅,2860,260m²,4室(2),别墅,在售,2600
朱家角,淀山湖大道复兴路路口,恒大御澜庭,32000,78~141m²,3室(3)/2室(1)/1室(1),住宅,在售,250
大宁,广延路1199弄,静安慕舍,74000,163m²,4室(1),住宅,在售,1239
朱泾,金石北路6666号（近新农立交桥）,汤泉美地城,468,165m²,2室(1),别墅,售罄,468
枫泾,枫泾镇润兴路8弄30号,碧桂园玫瑰公馆,380,169m²,5室(1),别墅,在售,423
朱家角,淀山湖大道复兴路路口,恒大御澜庭,32000,78~141m²,3室(3)/2室(1)/1室(1),住宅,在售,250
大宁,广延路1199弄,静安慕舍,74000,163m²,4室(1),住宅,在售,1239
四团,新四平公路2378弄,欣悦华庭,22400,90~96m²,3室(1)/2室(2),住宅,在售,198
盈浦,大盈浦路1800弄,中南君悦府,540,126m²,4室(1),别墅,在售,540
盈浦,城中北路588弄,景瑞城中公园,41000,93~118m²,3室(2),住宅,在售,381
共康,场北路559号,中环国际公寓(三期),56500,140~145m²,3室(4),住宅,在售,719
上大,锦秋路699弄,锦秋花园(别墅),1300,207m²,4室(1),别墅,在售,1300
