address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
鹿泉市,北斗路以南，植物园街以西（植物园西行800米）,恒大林溪郡,15000,113~145m²,3室(4),住宅,在售,120
富力,天山大街与学苑路交口东行500米路南,红石原著小区,970,453~502m²,5室(1)/4室(1),别墅,在售,970
众美,东二环与南二环交汇处路南,众美凤凰绿都,价格待定,,,商业类,售罄,30
南长,中山西路与中华南大街交汇处东南角,华润大厦,价格待定,45~94m²,1室(3),商业类,售罄,77
新客站,仓丰路与建通街交汇处西北角,河北国际商会广场,13000,38~60m²,1室(5),商业类,在售,36
裕兴,建华大街与塔南路交口,中冶盛世广场·德贤公寓,27000,212m²,4室(1),住宅,在售,572
天山海世界,长江大道与昆仑大街交汇处西南角,天山国宾壹號,价格待定,,,住宅,售罄,45
鹿泉市,北斗西路与翠屏大街交汇处北行100米路西,鹿泉健康城,12500,88~147m²,3室(1)/2室(1),住宅,售罄,63
栾城县,兴安大街与宏达路交汇处东南角,公园壹号院,价格待定,,,住宅,售罄,40
鹿泉市,北斗路以南，植物园街以西（植物园西行800米）,恒大林溪郡,15000,113~145m²,3室(4),住宅,在售,120
富力,天山大街与学苑路交口东行500米路南,红石原著小区,970,453~502m²,5室(1)/4室(1),别墅,在售,970
众美,东二环与南二环交汇处路南,众美凤凰绿都,价格待定,,,商业类,售罄,30
南长,中山西路与中华南大街交汇处东南角,华润大厦,价格待定,45~94m²,1室(3),商业类,售罄,77
新客站,仓丰路与建通街交汇处西北角,河北国际商会广场,13000,38~60m²,1室(5),商业类,在售,36
裕兴,建华大街与塔南路交口,中冶盛世广场·德贤公寓,27000,212m²,4室(1),住宅,在售,572
天山海世界,长江大道与昆仑大街交汇处西南角,天山国宾壹號,价格待定,,,住宅,售罄,45
鹿泉市,北斗西路与翠屏大街交汇处北行100米路西,鹿泉健康城,12500,88~147m²,3室(1)/2室(1),住宅,售罄,63
栾城县,兴安大街与宏达路交汇处东南角,公园壹号院,价格待定,,,住宅,售罄,40
天山海世界,中山东路(黄河大道)与祁连街交口北行200米路北,同祥城,17200,78~197m²,5室(1)/3室(2)/2室(6),住宅,在售,55
栾城县,308国道与裕泰路交汇处东南角(石家庄二中南校区南邻),智高常春藤,价格待定,,,住宅,售罄,49
孙村,建设大街与塔南路交口西行200米路南,天山九峯,价格待定,,,住宅,售罄,441
合作路,合作路与泰华街交汇处西南角,新合作城市广场,价格待定,,,商业类,售罄,53
栾城县,栾城大桥路与308国道交汇处西南角,丰泽家园,11000,101~130m²,3室(2),住宅,在售,110
塔冢,建设大街与塔南路交汇处东行100米路北,玫瑰湾,价格待定,,,住宅,售罄,60
鹿泉市,红旗大街与南三环交汇处西行300米路西,上起澜湾,价格待定,,,住宅,售罄,91
藁城市,昌盛南街8号，昌盛街跟工业路交叉口,昌盛新天地,9700,129~141m²,3室(2),商业类,售罄,75
北站,中华北大街与柏林南路交汇处南行400米路西,中储广场,14000,65m²,1室(1),商业类,在售,45
北道岔,聚新路10号,观澜公馆,12000,39~74m²,1室(5),商业类,在售,47
玉村,时光街和新石中路、新石北路交口,鑫界王府,价格待定,602m²,7室(1),别墅,售罄,202
高营,建华北大街与北二环交汇处北行1000米路东,恒大财富广场,12000,58~60m²,1室(3),商业类,在售,66
天山海世界,珠峰大街与中山路交叉口南行30米,峰汇公馆,价格待定,,,商业类,售罄,125
丰收路,建华北大街与丰收路交汇处东行50米路南,奥北公元,23500,133~260m²,5室(1)/3室(3),住宅,在售,312
桃园,北二环与体育大街交口北行1500米路西,瀚唐,价格待定,,,住宅,售罄,60
元氏县,蟠龙湖旅游度假区南岸,天山观澜墅,8000,371m²,4室(1),别墅,在售,56
植物园,植物园街与古城西路交汇处东南侧,百岛绿城,13000,220m²,4室(1),住宅,在售,287
天山海世界,珠峰大街和珠江大道(槐安路)交汇处东北角,想象国际,价格待定,,,住宅,售罄,148
天山海世界,学苑路与祁连大街交叉口东北角,海纳光合谷,10300,50~72m²,1室(4),商业类,在售,38
北荣街,和平西路与北新街交汇西南角,益圣大厦,14000,41~127m²,3室(1)/2室(2)/1室(5),商业类,在售,58
跃进,建华北大街与中山东路交汇处北行300米路西,星河盛世城,20000,329~348m²,5室(2),住宅,在售,550
天苑,景源街和警安路交叉口北行800米路东,汇君城,18000,153~281m²,5室(4)/4室(5)/3室(2),住宅,在售,87
北荣街,中华北大街与新华路交汇处东行500米路南,金指数国际广场,13000,55m²,1室(1),商业类,在售,62
河北科大新校区,南二环裕翔街交叉口南行2000米,荣盛锦绣学府,价格待定,,,住宅,售罄,241
鹿泉市,槐安路与京赞路交叉口东北角,观峰嘉邸,价格待定,,,住宅,售罄,46
北站,中华大街与和平路交口北行800米路西,中储七星公馆,13000,,,商业类,在售,42
新百,中山西路与中华北大街交汇处西北角，世纪大酒店西邻,未来时间,价格待定,,,商业类,售罄,63
鹿泉市,寺家庄镇繁荣街5号,大尚华庭,价格待定,,,住宅,售罄,119
正定新区,新城大街与隆兴路交口东南角,国金中心,11000,47~187m²,3室(1)/2室(3)/1室(2),商业类,在售,44
天苑,西三庄街与北二环交汇处西行100米路北,天下锦程花苑,价格待定,,,住宅,售罄,386
新华路南,新华路与靶场街交口西行100米路南,锦地SOHO,12800,49m²,1室(1),商业类,在售,63
十里铺,北二环东路与十里铺西街交汇处北行500米路西,天洲视界城,18500,,,住宅,售罄,172
北荣街,民族路106号,利嘉中心,17000,58m²,3室(1)/2室(1),商业类,在售,100
高营,谈固大街与北二环交汇处北行1000米路西,恒大御景半岛,21000,85~254m²,4室(3)/3室(12)/2室(2),住宅,在售,71
河北科大新校区,建通街与仓丰路交口南行200米,翰林雅筑,价格待定,,,住宅,售罄,147
鹿泉市,胜利南大街与南三环交汇处西南角（石南路108号）,十里逸墅,价格待定,,,住宅,售罄,152
振头,红旗大街与建国路交叉口西行100米路北,翰林观天下,19500,,,住宅,售罄,60
建北,光华路与外贸街交口东北角,广安云棠,13500,86m²,3室(1),商业类,在售,78
正定县,成德街与南外环交口西北角路西,滨河江山墅,21000,249m²,4室(1),住宅,在售,128
富力,天山大街与南二环东延线交汇处西南角,绿朗时光,价格待定,,,住宅,售罄,58
植物园,植物园路与石太高速交叉口南行100米（秀水公园西门）,秀水名邸,价格待定,80~98m²,2室(3),住宅,售罄,26
红旗,友谊南大街355号,润兴公馆,13000,47~78m²,1室(6),商业类,在售,62
桃园,胜利北街与铁院北路交汇处东行150米路南,大唐金茂古运码头二期,14000,128~136m²,3室(3),住宅,在售,72
建北,体育北大街与光华路交汇处西南角,荣盛华府,25000,177~213m²,3室(3),住宅,在售,426
沿东,建设大街与丰收路交口东行300米路北,北城国际珑誉,价格待定,,,住宅,售罄,380
西三庄,西三庄大街与联盟西路交汇处南行500米路西,雍和慢城,24300,152~188m²,4室(1)/3室(1),住宅,在售,227
赵陵铺,中华北大街与古城西路交口北行200米路西,乾园燕熙台,价格待定,,,住宅,售罄,157
鹿泉市,奇石街与玉石东路交汇处北行500米路东,金城新天地,价格待定,,,住宅,售罄,36
滹沱,体育北大街与古城东路交汇处西行200米,文创中心,12500,52m²,1室(1),商业类,在售,68
鹿泉市,新华路与昌盛大街交叉口西行800米路北(果岭湾对面),新兴花语原乡,15000,85~113m²,3室(2)/2室(1),住宅,在售,127
植物园,植物园路与石太高速交叉口南行100米（秀水公园西门）,秀水名邸,价格待定,80~98m²,2室(3),住宅,售罄,26
红旗,友谊南大街355号,润兴公馆,13000,47~78m²,1室(6),商业类,在售,62
桃园,胜利北街与铁院北路交汇处东行150米路南,大唐金茂古运码头二期,14000,128~136m²,3室(3),住宅,在售,72
建北,体育北大街与光华路交汇处西南角,荣盛华府,25000,177~213m²,3室(3),住宅,在售,426
沿东,建设大街与丰收路交口东行300米路北,北城国际珑誉,价格待定,,,住宅,售罄,380
西三庄,西三庄大街与联盟西路交汇处南行500米路西,雍和慢城,24300,152~188m²,4室(1)/3室(1),住宅,在售,227
赵陵铺,中华北大街与古城西路交口北行200米路西,乾园燕熙台,价格待定,,,住宅,售罄,157
鹿泉市,奇石街与玉石东路交汇处北行500米路东,金城新天地,价格待定,,,住宅,售罄,36
滹沱,体育北大街与古城东路交汇处西行200米,文创中心,12500,52m²,1室(1),商业类,在售,68
