address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
浑南新区,沈阳市东陵区全运路135号,府城铭邸,9000,,,住宅,待售,40
浑南新区,南京南街1028号,顶盛国际花园,7100,79~187m²,3室(3)/2室(3),住宅,在售,42
浑南新区,沈营路与全运路交汇处西行400米,郡原小石城,12000,109~151m²,4室(2)/3室(2),住宅,在售,60
浑南新区,沈营大街741号,金石小镇,9900,68~130m²,4室(1)/3室(1)/2室(2),住宅,在售,67
于洪区,滨江街72号,美的城,7300,86~115m²,3室(3)/2室(4),住宅,在售,53
浑南新区,三义街38号,瑞宝国际花苑,6299,,,住宅,售罄,103
于洪区,松山路与西江西街交叉口,恒大御景湾,9000,62~103m²,3室(1)/2室(2),住宅,在售,45
浑南新区,沈阳市东陵区全运路135号,府城铭邸,9000,,,住宅,待售,40
浑南新区,沈营路与全运路交汇处西行400米,郡原小石城,12000,109~151m²,4室(2)/3室(2),住宅,在售,60
浑南新区,南京南街1028号,顶盛国际花园,7100,79~187m²,3室(3)/2室(3),住宅,在售,42
浑南新区,沈营大街741号,金石小镇,9900,68~130m²,4室(1)/3室(1)/2室(2),住宅,在售,67
于洪区,滨江街72号,美的城,7300,86~115m²,3室(3)/2室(4),住宅,在售,53
沈北新区,蒲丰路42号,三盛颐景御园,5500,76~98m²,3室(1)/2室(2),住宅,在售,33
浑南新区,浑南中路60号,其仕盛和祥,9000,61~117m²,4室(1)/3室(1)/2室(2),住宅,在售,54
和平区,和平南大街105号,雅宾利花园二期,15000,,,住宅,售罄,115
皇姑区,皇姑区鸭绿江东街71号,雷凯铂院,8500,46~88m²,2室(4)/1室(1),住宅,在售,40
浑南新区,智慧三街与白塔河二路交汇处,碧桂园公园上城,8400,,,住宅,售罄,68
铁西区,保工北街9号,沈阳024保工印象,15000,36~58m²,1室(15),商业类,在售,44
大东区,东塔街24-1号,黎明生活坊,8500,,,商业类,待售,32
铁西区,重工北街63甲号,沈阳龙湖花千树,8500,95~98m²,3室(2),商业类,在售,73
沈北新区,蒲北路6号,越秀玥湖郡,11000,431~454m²,6室(2),别墅,在售,171
浑南新区,富民南街8号,金水花城二期,11000,131~142m²,3室(1)/2室(1),住宅,在售,156
大东区,工农路203号,万科时代之光,18000,119~143m²,4室(3)/3室(1),住宅,在售,143
浑南新区,世纪路二号,福融天地广场,7000,75m²,1室(1),商业类,在售,44
铁西区,齐贤北街32号,万科翡翠之光,15500,91~159m²,4室(3)/3室(3),住宅,在售,141
于洪区,千山西路29号,兴隆御府,8000,49~106m²,3室(1)/2室(17)/1室(1),住宅,在售,40
于洪区,松山西路102号,玉祥明居,14000,45~158m²,4室(1)/3室(9)/2室(12)/1室(2),住宅,在售,47
苏家屯区,南京南街1188,奥园国际城,6000,74m²,2室(1),住宅,在售,19
浑南新区,世纪路二号,福融天地广场,26000,,,商铺,在售,150
