address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
坪地,深圳市龙岗区爱南路与同富路交汇处东北角,恒裕嘉城,34000,71~89m²,4室(5)/3室(3),住宅,售罄,241
惠阳区,惠州大亚湾西区中兴北路219号,碧桂园太东公园上城,14500,110~128m²,4室(1)/3室(1),住宅,在售,139
惠阳区,深汕公路500米处龙海一路,壹方天第,14100,163m²,5室(1),住宅,在售,105
惠阳区,惠州市惠阳区白云二路与土湖路交汇处,铂金广场,12000,97~149m²,4室(3)/3室(6),住宅,售罄,116
惠阳区,惠州市惠阳经济开发区惠南大道与联星路交界处东南角,现代城熙珑墅,19000,240~328m²,5室(1)/4室(1),别墅,售罄,296
惠阳区,惠州大亚湾西区西南大道88号,龙光城,15000,97~120m²,4室(1)/2室(1),住宅,售罄,145
南联,龙岗区深惠路与碧新路交汇处（距地铁龙岗线南联站南侧仅200米）,满京华喜悦里,45000,110~143m²,5室(1)/4室(2),住宅,在售,319
惠阳区,惠阳淡水南站中路3号（白云六路惠阳一中实验学校对面）,碧桂园南站新城,14000,115~127m²,3室(2),住宅,售罄,119
南山中心,南山创业路与南海大道交汇处,凯德公园1号,100000,190m²,4室(2),商业类,在售,960
龙岗中心,龙岗.龙岗区龙城街道,华策中心城,57000,148~161m²,3室(4),住宅,在售,311
坪地,深圳市龙岗区爱南路与同富路交汇处东北角,恒裕嘉城,34000,71~89m²,4室(5)/3室(3),住宅,售罄,241
惠阳区,惠州大亚湾西区中兴北路219号,碧桂园太东公园上城,14500,110~128m²,4室(1)/3室(1),住宅,在售,139
惠阳区,深汕公路500米处龙海一路,壹方天第,14100,163m²,5室(1),住宅,在售,105
惠阳区,惠州市惠阳区白云二路与土湖路交汇处,铂金广场,12000,97~149m²,4室(3)/3室(6),住宅,售罄,116
惠阳区,惠州市惠阳经济开发区惠南大道与联星路交界处东南角,现代城熙珑墅,19000,240~328m²,5室(1)/4室(1),别墅,售罄,296
惠阳区,惠州大亚湾西区西南大道88号,龙光城,15000,97~120m²,4室(1)/2室(1),住宅,售罄,145
南联,龙岗区深惠路与碧新路交汇处（距地铁龙岗线南联站南侧仅200米）,满京华喜悦里,45000,110~143m²,5室(1)/4室(2),住宅,在售,319
惠阳区,惠阳淡水南站中路3号（白云六路惠阳一中实验学校对面）,碧桂园南站新城,14000,115~127m²,3室(2),住宅,售罄,119
南山中心,南山创业路与南海大道交汇处,凯德公园1号,100000,190m²,4室(2),商业类,在售,960
龙岗中心,龙岗.龙岗区龙城街道,华策中心城,57000,148~161m²,3室(4),住宅,在售,311
宝安中心,新湖路与创业一路交汇口(宝安区政府旁),鸿荣源·壹方中心|玖誉,100000,488m²,5室(1),住宅,在售,1740
石岩,宝安区石岩街道,宏发世纪城二期,49000,88~145m²,3室(1)/2室(1),住宅,在售,359
后海,位于南山区后海大道与东滨路交汇东北角,深圳湾公馆,170000,79~152m²,4室(1)/3室(4)/2室(3),住宅,在售,1264
坪地,龙岗.龙岗街道,中骏四季阳光三期,35000,105m²,4室(1),住宅,在售,247
清湖,深圳龙华线清湖地铁口,幸福城公寓,52000,53~79m²,2室(2)/1室(2),商业类,在售,265
福永,宝安西乡街道,华苑,49000,59~85m²,3室(1)/2室(5)/1室(3),住宅,在售,234
西乡,深圳前海兴业路和共乐路交汇处西侧（地铁11号线碧海湾站A出口）,华丰前海湾,76000,177m²,4室(1),住宅,在售,623
前海,前海自贸区小南山观山道一号（小南山半山，月亮湾山庄旁）,汉京九榕台,160000,520m²,6室(1),住宅,在售,2700
南头,南山深圳市南山区北环大道北侧与中山园路交汇处,豪方天际花园,85000,118~125m²,4室(1)/3室(1),住宅,在售,585
蛇口,南山蛇口东角头望海路与金世纪路交汇处,半岛城邦花园三期,145000,260~310m²,2室(2),住宅,在售,3770
前海,粤海月亮湾大道与棉山路交汇处东南向,佳兆业前海广场二期,78500,71m²,2室(1),商业类,在售,562
龙岗中心,深圳市龙岗中心城盐龙大道与黄阁路交汇处,麓园,39000,76~142m²,3室(8)/2室(1),住宅,在售,305
福永,宝安西乡107国道黄田三围段（翠湖花园对面）,天福华府,47000,85~129m²,4室(4)/3室(8)/2室(1),住宅,在售,385
龙岗中心,龙岗街道龙城南路西面龙岗大道路南面,金地龙城中央二期,42000,120m²,4室(1),住宅,售罄,187
惠阳区,大亚湾西区龙海二路3号,三远大爱城,价格待定,75~170m²,3室(4)/2室(9)/1室(3),住宅,售罄,105
惠阳区,广东省惠州市大亚湾中心区中兴三路6号,金沙世纪城,15500,77~129m²,3室(2)/2室(2),住宅,在售,87
坂田,龙岗区坂雪岗大道坂田第二街道办对面,佳兆业城市广场三期,63000,83~89m²,3室(7),住宅,售罄,456
惠阳区,惠阳人民六路（中天彩虹城旁）,茂基城市华府,13000,130~140m²,5室(1)/4室(1),住宅,售罄,91
惠阳区,惠州市惠阳区淡水金惠大道,清泉城市广场,16000,34~153m²,4室(1)/3室(1)/2室(8)/1室(7),住宅,售罄,56
布吉,龙岗区南湾街道丹竹头社区龙岗大道南面,英郡年华三期时光里,38000,56~97m²,2室(1)/1室(2),商业类,在售,178
龙华中心,上塘路与民塘路交汇处,星河传奇·铂寓S,价格待定,51~66m²,1室(2),商业类,售罄,281
横岗,广东省深圳市龙岗区地铁3号线永湖站A2出口(龙岗大道与横坪路交汇处东北侧),星河智荟,38000,48~52m²,1室(2),商业类,售罄,216
梅沙,盐田区盐葵路天琴湾（大、小梅沙海滨度假区）,天琴湾,5500,280m²,5室(1),别墅,在售,5600
布吉,龙岗大道与丹平快速交界处（地铁3号线丹竹头站A出口）,合正丹郡,41000,105~143m²,4室(1)/3室(1),住宅,在售,181
惠阳区,惠州大亚湾澳头安惠大道2号,海景城,13000,125m²,4室(1),住宅,售罄,127
塘厦镇,东莞市塘厦镇大坪社区居民委员会科苑城工业区,卓越蔚蓝山,27000,70~91m²,3室(2)/2室(1),住宅,售罄,182
公明,光明新区公明街道南环大道与松白路交汇处东南侧,益田假日府邸,33000,48~65m²,2室(1)/1室(1),商业类,在售,148
清湖,龙华办事处,富驰大厦,41000,40~86m²,3室(1)/1室(2),商业类,在售,144
西乡,深圳市宝安西乡前进路和西乡大道交汇处东,君成雍和园,64000,148~206m²,6室(1)/4室(1),住宅,在售,321
惠阳区,惠州大亚湾西区石化大道西339号,美景印象,价格待定,65~108m²,4室(1)/3室(2)/2室(2),住宅,售罄,91
惠城区,惠州市惠城区三环南路23号,泰丰·千花岛,价格待定,165~196m²,5室(2),别墅,售罄,412
坂田,龙岗梅坂大道与雅宝路交汇处,星河银湖谷,75000,140~165m²,6室(1)/5室(1)/4室(2),住宅,在售,667
龙岗中心,龙岗中心城龙平西路与愉龙路交汇处（招商依山郡东侧）,壹锦园,48000,76m²,3室(1),住宅,售罄,365
宝安中心,宝安中心区N6区宝安大道和甲岸路交汇处,新锦安壹号公馆,100000,300~350m²,6室(1)/5室(1),住宅,在售,2250
西乡,深圳市宝安区西乡大道与兴业路交汇处,幸福珺湾,54000,133m²,4室(1)/3室(1),住宅,售罄,718
惠阳区,惠州大亚湾西区石化大道西34号,御蓝湾,14800,138m²,4室(1),住宅,售罄,86
坪山,龙岗坪山新区坪山街道比亚迪路北面,心海城,40000,94m²,2室(1),住宅,在售,310
