address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
榆次区,机场大道延长线太榆路东1500米处,龙城金帝园,价格待定,75~77m²,3室(1)/2室(1),住宅,售罄,36
榆次区,山西大学城定阳路理工大学北200米,首创·国际学园,价格待定,148m²,4室(1),住宅,售罄,73
长风亲贤商圈,长风西街与和平南路交叉口西南角,长风世纪广场,9500,49~68m²,3室(1)/2室(2)/1室(1),商业类,售罄,51
下元商圈,千峰南路与南内环西街交叉口东北角,来福花园,10000,80~145m²,3室(2)/2室(2),住宅,在售,68
火车站商圈,长风东街东山过境高速收费站的北侧,东景苑,11000,140~205m²,4室(2)/3室(4),住宅,在售,73
柳巷商圈,双塔东街9号山西省人民医院东300米,骊院,13000,281~330m²,8室(1)/6室(1),住宅,在售,209
柳巷商圈,迎泽大街27号,万邦迎泽苑,14000,60~117m²,3室(2)/2室(3),住宅,售罄,71
东山商圈,朝阳街与松庄路交汇处东北角,东山雅居,8000,52~136m²,3室(1)/1室(1),住宅,售罄,33
长风亲贤商圈,长风商务区长兴路1号（山西大剧院西侧）,华润悦府,14000,133m²,3室(1),商业类,在售,146
下元商圈,迎泽西大街和平路交汇处西南角,南海·公元时代城,9000,29~74m²,2室(1)/1室(13),商业类,在售,24
榆次区,机场大道延长线太榆路东1500米处,龙城金帝园,价格待定,75~77m²,3室(1)/2室(1),住宅,售罄,36
榆次区,山西大学城定阳路理工大学北200米,首创·国际学园,价格待定,148m²,4室(1),住宅,售罄,73
长风亲贤商圈,长风西街与和平南路交叉口西南角,长风世纪广场,9500,49~68m²,3室(1)/2室(2)/1室(1),商业类,售罄,51
下元商圈,千峰南路与南内环西街交叉口东北角,来福花园,10000,80~145m²,3室(2)/2室(2),住宅,在售,68
火车站商圈,长风东街东山过境高速收费站的北侧,东景苑,11000,140~205m²,4室(2)/3室(4),住宅,在售,73
柳巷商圈,双塔东街9号山西省人民医院东300米,骊院,13000,281~330m²,8室(1)/6室(1),住宅,在售,209
柳巷商圈,迎泽大街27号,万邦迎泽苑,14000,60~117m²,3室(2)/2室(3),住宅,售罄,71
东山商圈,朝阳街与松庄路交汇处东北角,东山雅居,8000,52~136m²,3室(1)/1室(1),住宅,售罄,33
长风亲贤商圈,长风商务区长兴路1号（山西大剧院西侧）,华润悦府,14000,133m²,3室(1),商业类,在售,146
下元商圈,迎泽西大街和平路交汇处西南角,南海·公元时代城,9000,29~74m²,2室(1)/1室(13),商业类,在售,24
南站机场商圈,马练营路与电子街交汇处南北两侧,融鼎御品,7800,138m²,3室(1),住宅,售罄,68
火车站商圈,府东街与经园路交汇处(山水庭院东面),五龙湾·府东天地,8300,74~176m²,4室(1)/2室(1),住宅,售罄,57
下元商圈,迎泽大街与滨河西路交汇往南500米,华润·中海·幸福里,16000,118~182m²,4室(2)/3室(2),住宅,在售,185
长风亲贤商圈,南中环与西中环交汇处西北侧,太原•绿地城,价格待定,135~148m²,4室(1)/3室(1),住宅,售罄,87
龙城大街商圈,晋阳街以南坞城路以西,上林轩,9800,181~204m²,4室(2),住宅,在售,70
长风亲贤商圈,南中环与新晋祠路交汇处西500米,当代MOMA沿湖城,价格待定,,,住宅,售罄,65
长风亲贤商圈,西中环与长风西街交叉口往北500米路西,太化·紫景天城,8700,131~178m²,4室(1)/3室(4),住宅,在售,76
晋阳湖商圈,新晋祠路288号（南中环桥西南角）,阳光·汾河湾,价格待定,,,住宅,售罄,81
榆次区,山西大学城定阳路理工大学北200米,首创·国际学园,价格待定,148m²,4室(1),住宅,售罄,73
火车站商圈,五龙口东街，太原东客站西200米,府东公园6栋,9500,138~306m²,6室(2)/5室(1)/4室(1)/3室(3),住宅,在售,124
下元商圈,千峰南路与南内环西街交叉口东北角,来福花园,10000,80~145m²,3室(2)/2室(2),住宅,在售,68
火车站商圈,长风东街东山过境高速收费站的北侧,东景苑,11000,140~205m²,4室(2)/3室(4),住宅,在售,73
柳巷商圈,双塔东街9号山西省人民医院东300米,骊院,13000,281~330m²,8室(1)/6室(1),住宅,在售,209
柳巷商圈,迎泽大街27号,万邦迎泽苑,14000,60~117m²,3室(2)/2室(3),住宅,售罄,71
东山商圈,朝阳街与松庄路交汇处东北角,东山雅居,8000,52~136m²,3室(1)/1室(1),住宅,售罄,33
长风亲贤商圈,长兴南街与新晋祠路交汇处往西100米新市政府大厅对面,晋阳·峰璟,价格待定,152~157m²,3室(2),住宅,售罄,82
晋阳湖商圈,南中环新晋祠路口向南约800米,万科金域蓝湾,16000,150~179m²,4室(1)/3室(1),住宅,在售,195
下元商圈,迎泽西大街与和平南路交叉口西南50米处,智诚·御河骏景,价格待定,,,住宅,售罄,76
长风亲贤商圈,南内环街与并州路交叉口南200米路西,翰府,9000,92~101m²,2室(2),住宅,售罄,83
长风亲贤商圈,滨河西路99号晋联会所,天玺公馆,11000,196~369m²,4室(3)/3室(1),住宅,在售,215
长风亲贤商圈,滨河东路长风街学府街中段,滨东花园二期,9600,77~96m²,2室(5)/1室(1),住宅,售罄,73
晋阳湖商圈,南中环街与滨河西路交叉口南200米,天鹅堡,12500,260~297m²,4室(2),住宅,在售,162
晋阳湖商圈,新晋祠路与龙城大街交汇处,怡佳·天一城,价格待定,190m²,4室(1),住宅,售罄,122
长风亲贤商圈,长风街与西中环交叉口往北约800米,恒大雅苑,11700,118~137m²,3室(5),住宅,在售,126
长风亲贤商圈,亲贤街10号（亲贤街王府井对面）,中正·亲贤们,15800,132~240m²,6室(1)/5室(1)/4室(1)/3室(1),住宅,在售,41
下元商圈,迎泽大街居然之家西20米,海唐广场,11000,106~139m²,4室(2)/3室(2),商业类,售罄,66
太钢商圈,滨河西路与北中环交汇处往北100米,富力天禧城,9500,224m²,5室(1),住宅,在售,79
下元商圈,迎泽大街与晋祠路交叉口往南200米,中海·寰宇天下,11000,115~140m²,3室(2),住宅,在售,44
长风亲贤商圈,并州路以西，体育路以东，二营盘街以北，体育西街以南。,合生御龙城,14000,200m²,4室(1),住宅,在售,242
太钢商圈,三给新区（和平北路361号）,辰兴·优山美郡,7500,200m²,5室(1),住宅,在售,65
长风亲贤商圈,万柏林区千峰南路和平公园东门对面,保利海德公园,14000,125~179m²,4室(2)/3室(3),住宅,售罄,108
西山商圈,东社城郊森林公园（春盛西街53号）,玉泉山居,8300,100~130m²,3室(2)/2室(1),住宅,在售,40
下元商圈,西中环太原科技大学西门北100米,佳境珑原,8800,88~146m²,3室(6)/2室(1),住宅,在售,47
龙城大街商圈,龙城大街与平阳南路东南角,首开·国风琅樾,13300,91~265m²,4室(1)/3室(2)/2室(1),住宅,在售,81
南站机场商圈,东中环与许坦东街交汇处往东（许坦东街煤炭学校对面）,东润国际新城4期院墅,9500,103m²,3室(1),住宅,售罄,73
长风亲贤商圈,长风街与平阳路交叉口西北角,恒实·平阳景苑,13800,130~158m²,3室(2),住宅,售罄,179
长风亲贤商圈,南中环与平阳路交汇处西北角,晋润国际,9700,95m²,2室(1),住宅,售罄,93
南站机场商圈,唐明路与龙城街十字路口东南角,宁达盛世,9500,140~165m²,3室(2),住宅,在售,68
榆次区,龙湖大街与新聂路交叉口西北侧（万达东侧）,东瑞·创意街,7500,42~51m²,1室(3),商业类,在售,32
火车站商圈,长风东街与双塔南路交叉口（109医院对面）,红源国际青年城,9000,93~139m²,3室(1)/2室(2),住宅,在售,75
东山商圈,长风东街长风收费站往东2公里路北,太原恒大山水城,10300,104~136m²,3室(6),住宅,在售,92
长风亲贤商圈,西中环与大井峪街交叉口西北角,公园美地,8000,135~168m²,4室(1)/3室(1),住宅,在售,81
下元商圈,西中环太原科技大学正对面,保利百合,8300,143m²,4室(1),住宅,售罄,85
万达商圈,滨河东路林业学院正北50米,森海湾Ⅱ期·绿色嘉园,8900,131~171m²,3室(3),住宅,在售,79
长风亲贤商圈,亲贤街10号（亲贤街王府井对面）,中正·亲贤们,15800,132~240m²,6室(1)/5室(1)/4室(1)/3室(1),住宅,在售,41
长风亲贤商圈,西中环与长风西街交叉口往北500米路西,太化·紫景天城,8700,131~178m²,4室(1)/3室(4),住宅,在售,76
下元商圈,迎泽大街与滨河西路交汇往南500米,华润·中海·幸福里,16000,118~182m²,4室(2)/3室(2),住宅,在售,185
长风亲贤商圈,南中环与西中环交汇处西北侧,太原•绿地城,价格待定,135~148m²,4室(1)/3室(1),住宅,售罄,87
