address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
四新,沌口三环线与江城大道交界处（永旺旁）,碧桂园泰富城,19000,55m²,4室(1),商业类,在售,51
黄陂其它,巨龙大道52号,盘龙理想世家,价格待定,88~113m²,3室(2)/2室(1),住宅,售罄,70
蔡甸其它,经济开发区知音湖畔（天鹅湖大道与温莎半岛路交汇）,鑫聚温莎半岛,25000,361~552m²,6室(2)/4室(4)/3室(1),别墅,在售,648
白沙洲,白沙洲大道5号（武汉交通职业学院对面）,爱家名校华城,价格待定,87m²,3室(1),住宅,售罄,82
武昌火车站,紫阳东路与中山路交汇处（武昌火车站旁）,万金国际广场,17000,44~63m²,1室(2),商业类,在售,70
范湖CBD,建设大道与汉西交汇处（地铁3号线双墩站旁）,兴华尚都国际,23800,103~235m²,5室(1)/3室(1),住宅,在售,195
江堤,汉阳区江堤中路与江欣苑路交汇处,保和墨水湾,价格待定,,,住宅,售罄,122
唐家墩,武汉市江汉区长江日报路与菱角湖路交汇处（菱角湖公园旁）,沿海菱角湖壹号,25000,45m²,1室(1),商业类,在售,117
竹叶山花桥,竹叶山转盘黄孝河路与黄埔大街交汇处,华中国际广场,17000,34~85m²,2室(1)/1室(1),商业类,在售,54
四新,沌口三环线与江城大道交界处（永旺旁）,碧桂园泰富城,19000,55m²,4室(1),商业类,在售,51
黄陂其它,巨龙大道52号,盘龙理想世家,价格待定,88~113m²,3室(2)/2室(1),住宅,售罄,70
蔡甸其它,经济开发区知音湖畔（天鹅湖大道与温莎半岛路交汇）,鑫聚温莎半岛,25000,361~552m²,6室(2)/4室(4)/3室(1),别墅,在售,648
白沙洲,白沙洲大道5号（武汉交通职业学院对面）,爱家名校华城,价格待定,87m²,3室(1),住宅,售罄,82
武昌火车站,紫阳东路与中山路交汇处（武昌火车站旁）,万金国际广场,17000,44~63m²,1室(2),商业类,在售,70
范湖CBD,建设大道与汉西交汇处（地铁3号线双墩站旁）,兴华尚都国际,23800,103~235m²,5室(1)/3室(1),住宅,在售,195
江堤,汉阳区江堤中路与江欣苑路交汇处,保和墨水湾,价格待定,,,住宅,售罄,122
唐家墩,武汉市江汉区长江日报路与菱角湖路交汇处（菱角湖公园旁）,沿海菱角湖壹号,25000,45m²,1室(1),商业类,在售,117
竹叶山花桥,竹叶山转盘黄孝河路与黄埔大街交汇处,华中国际广场,17000,34~85m²,2室(1)/1室(1),商业类,在售,54
沌口,博学路6号(江大5号门斜对面),联投金色港湾铂睿,价格待定,,,住宅,售罄,90
白沙洲,白沙五路1号（武昌南·三环内·白沙高架旁）,万科金色城市,价格待定,41m²,1室(1),商业类,售罄,39
江夏其它,向阳社区旁,江南花山郡,价格待定,,,住宅,售罄,71
常码头,江汉区常青路与发展大道交汇处,远洋心汉口二期,价格待定,,,住宅,售罄,92
前进江汉,江汉区江汉四路和江汉路步行街交汇处,都会轩,31000,397m²,6室(1),住宅,在售,990
徐东,团结大道与铁机路交汇处（爱家国际华城对面）,保利城SOHO中心,价格待定,43m²,1室(1),商业类,售罄,60
沌口,博学路6号（江大5号门对面）,联投金色港湾剑桥郡,价格待定,,,住宅,售罄,158
唐家墩,湖北省武汉市江汉区新华路与发展大道交汇处,万科汉口传奇悦庭,价格待定,,,住宅,售罄,140
王家湾,王家湾（武汉老交管局西侧）,王家湾中央生活区,价格待定,106~109m²,3室(3),住宅,售罄,154
后湖,武汉大道与建设大道交汇处东北侧（武汉科技馆旁）,金岛御璟世家跃境,价格待定,99m²,3室(1),住宅,售罄,160
塔子湖,塔子湖东路越秀星汇君泊越天地（塔子湖东路与健美路交汇处，塔子湖体育中心旁）,越秀星汇君泊越天地,价格待定,,,商业类,售罄,77
蔡甸其它,汉阳大道与五贤路交汇处,中国健康谷,13000,44~55m²,1室(2),商业类,在售,58
中北路,中北路148号（省博物馆对面）,当代东湖壹号,价格待定,163m²,4室(1),住宅,售罄,701
蔡甸其它,蔡甸东风大道奓山路停车场,星光银河湾,价格待定,,,住宅,售罄,50
黄陂其它,巨龙大道日月山水站附近,南德榜样学府,10000,96~129m²,4室(1)/3室(1),住宅,在售,57
古田,古田二路与长升路交汇处,天宇万象国际,14000,51~105m²,3室(2)/2室(1)/1室(1),商业类,在售,68
沌口,龙阳大道与芳草一路交汇处,海伦春天四期,价格待定,,,别墅,售罄,270
沌口,龙阳大道与芳草一路交汇处,龙阳建材家居城,价格待定,,,商业类,售罄,117
黄陂其它,盘龙城经济开发区巨龙大道（下岱黄高速右行即达）,天纵城,价格待定,49~300m²,3室(1)/1室(2),商业类,售罄,32
武昌火车站,丁字桥路文安街交叉口,中南SOHO城,价格待定,,,商业类,售罄,56
江夏其它,江夏纸坊街青龙路（青龙水库旁）,龙山观邸,10000,135m²,3室(1),住宅,在售,97
沌口,博学路6号,联投金色港湾锦绣,价格待定,,,住宅,售罄,91
塔子湖,金桥大道与井南路交汇处（市民之家100米处）,ZAMA PARK,价格待定,50m²,3室(1),商业类,售罄,75
宗关,建设大道地铁3号线双墩站,时代新世界,26500,233m²,4室(1),住宅,在售,257
龙阳大道,王家湾摩尔城旁（龙阳湖东路邱家小湾车站旁）,汉阳人信汇四期天誉,价格待定,,,住宅,售罄,178
黄陂其它,巨龙大道196号,F天下,价格待定,,,别墅,售罄,720
沌口,沌口路与江城大道交汇处,华茂小米公寓,价格待定,,,商业类,售罄,23
青山其它,青山公园前和平大道与建设11路交汇处,绿地香树花城,价格待定,95m²,3室(1),住宅,售罄,90
杨家湾,东湖高新雄楚大道楚平路28号,中博南湖康城,价格待定,64m²,1室(1),住宅,售罄,91
金银湖,五环大道416号,融园国际,价格待定,,,商业类,售罄,36
新洲其它,阳逻街平江东路以北,东城明珠,价格待定,65~130m²,3室(2)/2室(3),住宅,售罄,27
汉南其它,兴城大道与月亮湾路交汇处,永丰清华园,价格待定,121~134m²,3室(2),住宅,售罄,50
八大家,红钢二街（武汉市49中高中部旁）,中交江锦湾,15500,52~78m²,2室(1)/1室(1),商业类,在售,54
江夏其它,栗庙路与环岛路交汇处（湖北美院对面）,藏龙SOHO,价格待定,,,商业类,售罄,38
四新,江城大道与四新大道交汇处以北,欣隆壹号公馆,价格待定,43m²,1室(1),商业类,售罄,40
黄陂其它,巨龙大道56号,盘龙理想城,价格待定,109~123m²,4室(1)/3室(2),住宅,售罄,68
长丰,古田二路与长宜路交汇处以西800米（园博园西门附近约1公里）,蓝光林肯公园,价格待定,,,住宅,售罄,122
沌口,万家湖中路以东沌口路以南（沌口路和万家湖中路交汇处）,港湾江城,价格待定,80~129m²,4室(1)/3室(1)/2室(1),住宅,售罄,76
新洲其它,汉施公路与余泊路交汇处,新澳城市印象,价格待定,45m²,1室(1),住宅,售罄,25
白沙洲,白沙洲武汉科技大学正对面（白沙洲大道旁）,香水湾,价格待定,,,住宅,售罄,85
古田,古田四路284号,君奕国际公馆,价格待定,52~84m²,3室(1)/2室(2)/1室(1),住宅,售罄,68
后湖,竹叶山转盘旁发展大道525号（中胜国际旁）,盛景天地公馆,价格待定,86m²,2室(1),住宅,售罄,115
黄陂其它,巨龙大道与兴龙路交汇处（佳海工业园附近）,武汉恒大龙城御湖湾,价格待定,,,住宅,售罄,138
百步亭,解放大道福星惠誉红桥城（轻轨新荣站旁）,福星惠誉红桥城,价格待定,57m²,2室(1),商业类,售罄,71
关西长职,雄楚大街888号,金地雄楚寓,价格待定,,,商业类,售罄,51
金银湖,东西湖马池北路与环湖路中路交汇处（常青花园西侧）,万丰丰泽园,价格待定,,,住宅,售罄,86
鹦鹉大道,鹦鹉大道与汉新大道交汇处（距国博500米）,恒大御景湾,价格待定,,,商业类,售罄,80
江夏其它,高新大道888号（高新大道与光谷七路交汇处）,光谷新界,价格待定,,,商业类,售罄,64
