address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
经开,未央路与凤城七路十字西侧,赛高悦府,18000,278~303m²,4室(2),住宅,在售,123
曲江,南三环与五典坡路交汇处向东200米,三迪枫丹,11500,99~114m²,3室(3),住宅,在售,47
浐灞,咸宁路与长田路交汇处向北200米,龙腾万都汇,9500,108~129m²,3室(3),住宅,在售,38
城西,大庆西路81号（汉城路十字向西，原大世界游乐场旁）,亿润锦悅汇,9800,41~51m²,1室(3),商业类,在售,32
城西,昆明路330号（丈八北路与昆明路十字西南角）,KingMall未来中心,13000,33~104m²,2室(1)/1室(2),商业类,在售,39
曲江,南三环与芙蓉西路十字东南角,中海凯旋门,14024,,,住宅,售罄,97
高新,南二环与群贤路交汇处向南300米,群贤道九號,20000,95~219m²,4室(3)/3室(3)/2室(1),住宅,在售,95
西咸,三桥新街地铁一号线B出口向西400米,华润二十四城,9100,,,住宅,售罄,44
城东,朝阳门外向东300米路南,华东万悦城,8500,,,住宅,售罄,75
城南,南二环东段武警医院西侧铁一中北门,天伦御城龙脉,12000,65~130m²,3室(2)/2室(2),住宅,在售,65
经开,未央路与凤城七路十字西侧,赛高悦府,18000,278~303m²,4室(2),住宅,在售,123
曲江,南三环与五典坡路交汇处向东200米,三迪枫丹,11500,99~114m²,3室(3),住宅,在售,47
浐灞,咸宁路与长田路交汇处向北200米,龙腾万都汇,9500,108~129m²,3室(3),住宅,在售,38
城西,大庆西路81号（汉城路十字向西，原大世界游乐场旁）,亿润锦悅汇,9800,41~51m²,1室(3),商业类,在售,32
城西,昆明路330号（丈八北路与昆明路十字西南角）,KingMall未来中心,13000,33~104m²,2室(1)/1室(2),商业类,在售,39
曲江,南三环与芙蓉西路十字东南角,中海凯旋门,14024,,,住宅,售罄,97
高新,南二环与群贤路交汇处向南300米,群贤道九號,20000,95~219m²,4室(3)/3室(3)/2室(1),住宅,在售,95
西咸,三桥新街地铁一号线B出口向西400米,华润二十四城,9100,,,住宅,售罄,44
城东,朝阳门外向东300米路南,华东万悦城,8500,,,住宅,售罄,75
城南,南二环东段武警医院西侧铁一中北门,天伦御城龙脉,12000,65~130m²,3室(2)/2室(2),住宅,在售,65
城东,东二环与北二环交汇处东南角,万科金域东郡,11000,,,住宅,售罄,53
曲江,雁翔路与黄渠头路十字交汇向东200米,万科东方传奇,12700,,,住宅,售罄,91
城北,尚稷路与尚宏路交汇处,恒大国际城,8900,,,住宅,售罄,21
曲江,寒窑路与新开门路交汇处,曲江诸子阶,9000,,,住宅,售罄,92
城南,含光北路23号,长安壹品,12790,,,住宅,售罄,77
经开,明光路与凤城九路交会处西南角,白桦林间,20000,,,住宅,售罄,80
曲江,曲江大道路东（曲江二小西侧）,中国铁建万科翡翠国际峰荟,9000,,,住宅,售罄,84
城北,太华北路与凤城二路十字东侧万达广场旁,金科天籁城,12000,125m²,3室(1),住宅,在售,42
长安,西部大道与子午大道交汇处向南500米,合能公馆,9100,,,住宅,售罄,85
曲江,南三环与芙蓉西路交汇处向南300米,万科城市之光,13000,,,住宅,售罄,78
曲江,新开门南路与南三环十字东南角,金地南湖艺境,15000,275m²,5室(1),住宅,售罄,95
曲江,大唐芙蓉园东200米,曲江紫汀苑,23000,520m²,4室(1),住宅,在售,188
高新,科技二路与高新路交汇处,天地源丹轩梓园,40000,,,住宅,售罄,144
高陵,西高路与桑军大道交汇大转盘西南角,北城新天地,5100,,,住宅,售罄,35
曲江,雁翔路雁翔广场,锦园曲江龙邸,13000,,,住宅,售罄,37
城西,枣园西路皂河地铁站向东200米路北,万科金色悦城,9500,,,住宅,售罄,52
城西,大庆路与枣园南路交汇处南,恒大翡翠华庭,8400,,,商业类,售罄,39
城北,未央立交向南500米,盛龙广场,6000,,,住宅,售罄,29
城北,朱宏路与北二环十字向南300米路东,紫郡华宸,6000,,,住宅,售罄,30
城北,北二环与文景路交汇处东北角,名京九合院,11000,61~117m²,3室(1)/2室(2),住宅,在售,67
高新,太白南路与丈八东路交汇处,高山流水和城,14500,127m²,3室(1),住宅,在售,43
浐灞,浐河东路中段（欧亚大道与浐河东路十字向南1公里）,自然界城墅,15000,,,住宅,售罄,200
高新,丈八东路与丈八四路交汇处西北角,罗马景福城,10700,,,住宅,售罄,31
高新,唐延路与科技八路交汇处（东南角）,万达西安ONE,18700,130m²,3室(1),住宅,在售,46
高新,锦业二路10号,逸翠园四期,650,,,别墅,售罄,126
高新,科技路与高新四路十字西北角,高新大都荟,13000,,,住宅,售罄,21
城南,南关正街与友谊路十字路口向北280米路西,中贸广场,17000,134m²,3室(1),住宅,在售,46
城南,朱雀大街72号,合能朱阙,8100,,,商业类,售罄,23
城北,玄武路与太华路十字向西100米路北,万科大明宫,价格待定,,,住宅,待售,167
城西,丈八北路与昆明路十字向西约200米路北,融创天朗臻园,234,,,住宅,售罄,23
城东,玄武东路,上上墅,17000,32~55m²,3室(2)/2室(1)/1室(4),住宅,在售,56
经开,凤城八路与文景路十字交汇处西南角,国金华府,16000,220~270m²,4室(2),住宅,在售,69
曲江,雁翔路与南三环交汇处向西50米,曲江龙邸,14000,,,住宅,售罄,70
城北,大明宫国家遗址公园东南侧，太华路与自强东路交汇处城墙东北角,白桦林明天,13000,96~410m²,4室(2)/3室(2)/2室(1),住宅,在售,85
高新,科技路与团结南路十字西北角,中建国熙台,13800,190~222m²,4室(2),住宅,在售,130
城北,北二环东段御井路1606号,珠江新城北区,3750,49~51m²,1室(2),住宅,在售,18
经开,凤城八路东段政务中心北200米路西,首府尚苑,价格待定,,,住宅,售罄,49
高新,科技二路与丈八北路交汇处西南角,万科翡翠天誉,14100,160m²,4室(1),住宅,在售,108
城北,未央路与凤城南路十字东南角,荣民宫园中央,15000,101~114m²,3室(2),住宅,在售,60
城南,丈八东路与子午大道十字向南,丰硕佳园,3890,,,住宅,售罄,19
高新,科技六路与太白南路交汇处西南角,建邦华庭,17300,153m²,3室(1),住宅,在售,82
城北,玄武路与凝晖巷十字向北100米路东,中航樾公馆,16000,,,住宅,售罄,120
城北,太华路与北二环十字东南角，大明宫建材家居钻石店东侧,中国铁建西派国际,17000,178~201m²,4室(2),住宅,在售,86
城北,凤城五路与太华路十字西北角,正尚盛世家合,3980,44m²,1室(1),住宅,在售,18
经开,未央路和凤城九路十字东南角,西安印象,12000,,,住宅,售罄,85
城北,吕小寨立交桥十字东北角,华宇时间城,价格待定,,,住宅,待售,25
西咸,世纪大道与郑国路十字向南100米,陈杨新界,3800,,,住宅,售罄,31
长安,东仪路南段西侧（韦曲建材街与东仪路交汇西北口）,青城南区,8917,,,住宅,售罄,45
城南,丈八东路与子午大道十字向南,丰硕佳园,3890,,,住宅,售罄,19
高新,科技六路与太白南路交汇处西南角,建邦华庭,17300,153m²,3室(1),住宅,在售,82
城北,玄武路与凝晖巷十字向北100米路东,中航樾公馆,16000,,,住宅,售罄,120
城北,太华路与北二环十字东南角，大明宫建材家居钻石店东侧,中国铁建西派国际,17000,178~201m²,4室(2),住宅,在售,86
城北,凤城五路与太华路十字西北角,正尚盛世家合,3980,44m²,1室(1),住宅,在售,18
经开,未央路和凤城九路十字东南角,西安印象,12000,,,住宅,售罄,85
城北,吕小寨立交桥十字东北角,华宇时间城,价格待定,,,住宅,待售,25
西咸,世纪大道与郑国路十字向南100米,陈杨新界,3800,,,住宅,售罄,31
长安,东仪路南段西侧（韦曲建材街与东仪路交汇西北口）,青城南区,8917,,,住宅,售罄,45
长安,南长安街与韦曲南街交汇处西南角,长安益园,7500,,,住宅,售罄,32
城东,纺正街与纺二路十字向南80米路西,臻园阳光,8900,53~110m²,3室(1)/2室(1)/1室(1),住宅,在售,44
