address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
东南花都,漳州市东南花都高尔夫,碧桂园·花仙府墅,价格待定,100~130m²,3室(1)/2室(1),别墅,待售,110
海沧其他,厦门市海沧区马銮湾海沧中学正对面,泰禾厦门院子,6000,260~270m²,4室(2),别墅,在售,351
深沪镇,深沪镇科任村龙峰集团旁大利亚二期斜对面,永隆翡翠湾,7500,88~122m²,3室(4),住宅,在售,53
漳州台商投资区,漳州台商投资区锦江大道和角江路交汇处,角美万达广场,150,120m²,1室(2),商铺,在售,155
同安其它,同安区滨海西大道BRT蔡店站东侧,金都海尚国际,38000,113~251m²,5室(2)/4室(3)/3室(4),住宅,在售,220
海沧其他,海沧新阳大桥旁（翁角路与霞光路交叉路口）,融侨观邸,35000,127~144m²,4室(1)/3室(1),住宅,在售,430
马巷,翔安区舫山北路（翔安一中西侧）,联发·橄榄墅,43000,185~205m²,5室(2),别墅,在售,595
海沧,海沧大道891号,SEC泰地海西中心,28000,38~350m²,6室(1)/1室(3),商业类,在售,109
东南花都,漳州市东南花都高尔夫,碧桂园·花仙府墅,价格待定,100~130m²,3室(1)/2室(1),别墅,待售,110
海沧其他,厦门市海沧区马銮湾海沧中学正对面,泰禾厦门院子,6000,260~270m²,4室(2),别墅,在售,351
深沪镇,深沪镇科任村龙峰集团旁大利亚二期斜对面,永隆翡翠湾,7500,88~122m²,3室(4),住宅,在售,53
漳州台商投资区,漳州台商投资区锦江大道和角江路交汇处,角美万达广场,150,120m²,1室(2),商铺,在售,155
同安其它,同安区滨海西大道BRT蔡店站东侧,金都海尚国际,38000,113~251m²,5室(2)/4室(3)/3室(4),住宅,在售,220
海沧其他,海沧新阳大桥旁（翁角路与霞光路交叉路口）,融侨观邸,35000,127~144m²,4室(1)/3室(1),住宅,在售,430
马巷,翔安区舫山北路（翔安一中西侧）,联发·橄榄墅,43000,185~205m²,5室(2),别墅,在售,595
海沧,海沧大道891号,SEC泰地海西中心,28000,38~350m²,6室(1)/1室(3),商业类,在售,109
北站商业区,集美杏林湾路与集美大道交汇处北侧（华侨大学旁）,恒大帝景,35000,91~124m²,3室(3),住宅,在售,322
集美其它,厦门集美灌口中路与三南路交叉口向北500米（厦门一中集美分校旁）,联发欣悦湾,900,185~220m²,5室(2),别墅,在售,800
同安区,同安滨海新城BRT轻工食品园站旁,中联观云溪,27000,95~135m²,4室(2)/3室(1),住宅,在售,184
集美其它,集美灌口风景湖公园南门景湖南路南侧,招商莱顿小镇,29000,93~113m²,4室(1)/3室(1),住宅,在售,211
翔安其他,翔安新城中路与滨海东大道交汇处,海峡现代城,23000,47~110m²,4室(4)/2室(3),商业类,售罄,109
翔安其他,同安环东海域民安大道南侧,欣盛丰森林海,30000,137~158m²,4室(1)/3室(3),住宅,在售,342
莲前路,厦门市思明区文兴东路95号,云顶至尊,78000,278~314m²,4室(2),住宅,在售,2224
