address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
南朗镇,中山市南朗镇翠云路16号,碧桂园保利·天启,15500,118m²,3室(1),住宅,在售,186
岐港,石岐区景祥路10号,骏珑盛景豪园,15700,90~111m²,3室(4),住宅,在售,126
张溪,振兴路12号,远洋风景,14000,84~107m²,2室(2),住宅,售罄,117
彩虹,岐港公路星晨广场正前方,博达外滩,16000,114~117m²,3室(2),住宅,在售,205
彩虹,彩虹大道与翠沙路交汇处（湿地公园旁）,臻汇公馆,18000,40~60m²,3室(1)/2室(1),住宅,在售,72
三角镇,金三大道东39号(三角旧车站对面）,银马茵宝花园,9800,89~119m²,4室(1)/3室(1),住宅,在售,64
太阳城,中山市火炬开发区东阳南路10号,裕龙君汇,14500,84~131m²,3室(1)/2室(1),住宅,在售,117
东升镇,兆益路7号,君汇尚品,11000,97~112m²,3室(4),住宅,在售,75
三角镇,大骏路38号,信业尚悦湾,8800,85~115m²,3室(2)/2室(2),住宅,在售,72
中山港,兴业路36号,港航华庭,12800,90~122m²,3室(2),住宅,在售,103
岐港,石岐区景祥路10号,骏珑盛景豪园,15700,90~111m²,3室(4),住宅,在售,126
南朗镇,中山市南朗镇翠云路16号,碧桂园保利·天启,15500,118m²,3室(1),住宅,在售,186
张溪,振兴路12号,远洋风景,14000,84~107m²,2室(2),住宅,售罄,117
彩虹,岐港公路星晨广场正前方,博达外滩,16000,114~117m²,3室(2),住宅,在售,205
彩虹,彩虹大道与翠沙路交汇处（湿地公园旁）,臻汇公馆,18000,40~60m²,3室(1)/2室(1),住宅,在售,72
东升镇,同茂工业大道东3号,时代御京城,10500,52~126m²,3室(6)/1室(1),住宅,在售,55
东凤镇,东堤路68号沙口大桥北侧,海伦湾,9000,116~144m²,4室(2)/3室(2),住宅,售罄,104
悦来南,悦丽路与悦凯路交叉口南50米,富元利和豪庭二期,15500,168m²,4室(1),住宅,售罄,150
轻轨北站,江滨东路6号,华盈爱琴湾,17000,165m²,4室(1),住宅,在售,214
岐港,岐环路7号,日华坊二期,15000,44~121m²,3室(6)/2室(1)/1室(1),住宅,在售,66
彩虹,翠虹路11号,御水湾,16000,112~130m²,3室(2),住宅,在售,168
三角镇,金三大道东39号(三角旧车站对面）,银马茵宝花园,9800,89~119m²,4室(1)/3室(1),住宅,在售,64
太阳城,中山市火炬开发区东阳南路10号,裕龙君汇,14500,84~131m²,3室(1)/2室(1),住宅,在售,117
东升镇,兆益路7号,君汇尚品,11000,97~112m²,3室(4),住宅,在售,75
