address,addressinfo,housename,priceinfo,resblockarea,resblockroom,resblocktype,salestatus,secondprice
北大学城,京广快速路与天河路交接处,锦艺四季城,15000,76~117m²,3室(2)/2室(1),住宅,在售,114
西流湖,中原西路与商隐路交汇处向北600米路西,新城尚郡,8500,93~125m²,3室(4),住宅,在售,80
万客来,嵩山路与南三环交汇处向南约2000米路西,东原晴天见,12100,107~118m²,3室(2),住宅,在售,109
第八大街,滨河新城华夏大道与经南十二路交汇处向西500米,青风公园,16200,98~129m²,4室(1)/3室(3),住宅,在售,150
五龙口,冉屯路南、化肥东路东,九龙城四期,15500,83~148m²,4室(3)/3室(5),住宅,在售,122
文博广场,花园路与东风路,正弘城丽汀公寓,25000,58~111m²,1室(6),商业类,在售,139
新北站,花园路与宏康路交叉口向西500米,和昌悦澜,17000,126m²,3室(1),住宅,在售,151
西流湖,荥阳市郑上路与广武路交叉口东南角,建海绿荫半岛,7500,81~235m²,5室(1)/4室(2)/3室(5)/2室(1),住宅,在售,62
第三大街,航海东路和第五大街交叉口向南150米,富田九鼎世家,23000,111~229m²,4室(2)/3室(2),住宅,在售,255
二里岗,新郑路与帆布厂街（陇海南里）西500米,民安尚郡,16000,82~128m²,3室(4)/2室(3),住宅,在售,136
北大学城,京广快速路与天河路交接处,锦艺四季城,15000,76~117m²,3室(2)/2室(1),住宅,在售,114
西流湖,中原西路与商隐路交汇处向北600米路西,新城尚郡,8500,93~125m²,3室(4),住宅,在售,80
万客来,嵩山路与南三环交汇处向南约2000米路西,东原晴天见,12100,107~118m²,3室(2),住宅,在售,109
第八大街,滨河新城华夏大道与经南十二路交汇处向西500米,青风公园,16200,98~129m²,4室(1)/3室(3),住宅,在售,150
五龙口,冉屯路南、化肥东路东,九龙城四期,15500,83~148m²,4室(3)/3室(5),住宅,在售,122
文博广场,花园路与东风路,正弘城丽汀公寓,25000,58~111m²,1室(6),商业类,在售,139
新北站,花园路与宏康路交叉口向西500米,和昌悦澜,17000,126m²,3室(1),住宅,在售,151
西流湖,荥阳市郑上路与广武路交叉口东南角,建海绿荫半岛,7500,81~235m²,5室(1)/4室(2)/3室(5)/2室(1),住宅,在售,62
第三大街,航海东路和第五大街交叉口向南150米,富田九鼎世家,23000,111~229m²,4室(2)/3室(2),住宅,在售,255
二里岗,新郑路与帆布厂街（陇海南里）西500米,民安尚郡,16000,82~128m²,3室(4)/2室(3),住宅,在售,136
中牟县,商都大道与人文路交汇处东南角,中房绿博景苑,10600,106~117m²,3室(2),住宅,在售,112
中牟县,雁鸣大道与高尔夫路交会处西北角,绿地香颂,20000,278~382m²,5室(1)/4室(2),别墅,在售,500
西流湖,中原路与西三环交叉口向南300米路西,旭瑞和昌城市之光,14500,51~87m²,2室(2)/1室(2),住宅,在售,71
新郑市,京广南路与祥云路交会处南100米路西,正商红河谷,26000,351~363m²,7室(1)/6室(1),别墅,在售,807
荥阳,索河路与荥泽大道交汇处东北角,碧桂园龙城,16000,33~129m²,1室(10),底商,在售,52
万客来,长江路与连云路西南角,正商城,11000,61m²,1室(1),商业类,在售,55
新北站,花园路与宏康路交叉口向西500米,和昌悦澜,17000,126m²,3室(1),住宅,在售,151
西流湖,荥阳市郑上路与广武路交叉口东南角,建海绿荫半岛,7500,81~235m²,5室(1)/4室(2)/3室(5)/2室(1),住宅,在售,62
第三大街,航海东路和第五大街交叉口向南150米,富田九鼎世家,23000,111~229m²,4室(2)/3室(2),住宅,在售,255
二里岗,新郑路与帆布厂街（陇海南里）西500米,民安尚郡,16000,82~128m²,3室(4)/2室(3),住宅,在售,136
新郑大,农业西路与西四环交会处北500米,荣盛祝福花语水岸,13200,72~133m²,4室(1)/3室(8)/2室(1),住宅,在售,97
西流湖,中原路京城路交会处,郑西理想城,7500,88~126m²,3室(2)/2室(1),住宅,在售,47
新郑大,莲花街与长椿路交汇处（郑大东门向北100米）,翰林国际城三期,13700,54~157m²,4室(1)/3室(6)/2室(1)/1室(1),住宅,在售,80
北大学城,文化路英才街西800米贾鲁河与东风渠交汇处,融创城开瓏府,价格待定,118~141m²,3室(2),住宅,售罄,160
汽车西站,建设西路与绕城高速交汇处向西600米路北,金地格林小城,8300,87~143m²,4室(2)/3室(8),住宅,在售,75
郑州晚报社,中央大道屏华路交叉口东北角,亚新美好艺境,13000,99~175m²,4室(4)/3室(5),住宅,在售,133
管南区域,郑新路与龙泊南路交叉口向西1000米,融侨城,9300,88~129m²,4室(1)/3室(4),住宅,在售,83
邙山,江山路与沿黄快速路西4公里处,碧桂园思念翡翠城,9000,95~145m²,4室(2)/3室(5),住宅,在售,90
管南区域,商都大道与泰安街交会处(天鹅湖畔),悦湖会,9000,138~157m²,4室(1)/3室(1),住宅,在售,154
石佛,科学大道月桂路南100米,金科城,16000,87~143m²,4室(2)/3室(12),住宅,在售,136
石佛,科学大道月桂路南100米,金科城,16000,87~143m²,4室(2)/3室(12),住宅,在售,136
杨金路,中州大道与杨金路交叉口往东3公里路北,伟业龙湖上城,15500,88~161m²,4室(2)/3室(10)/2室(1),住宅,在售,132
汽车西站,建设西路与绕城高速交汇处向西600米路北,金地格林小城,8300,87~143m²,4室(2)/3室(8),住宅,在售,75
郑州晚报社,中央大道屏华路交叉口东北角,亚新美好艺境,13000,99~175m²,4室(4)/3室(5),住宅,在售,133
管南区域,郑新路与龙泊南路交叉口向西1000米,融侨城,9300,88~129m²,4室(1)/3室(4),住宅,在售,83
新郑市,薛店镇解放大道西侧,润丰新尚,7600,78~87m²,2室(3),住宅,在售,59
古玩城,大学路淮河路南200米,升龙天玺,15500,87~105m²,3室(2)/2室(1),住宅,在售,84
中牟县,郑港六路与郑港七街交叉口东南角,安纳西庄园,10000,83~134m²,4室(2)/3室(5)/2室(2),住宅,在售,84
陇海汽车站,紫荆山路陇海路交叉口,紫荆之星,13000,51m²,3室(1),商业类,在售,65
陇海汽车站,紫荆山路与陇海路交会处北200米路东,荣汇国际,13000,230m²,1室(1),写字楼,在售,290
新郑大,西四环莲花街北100米路西,糖果时光,13000,62~71m²,2室(2),住宅,在售,81
天赋路,朝阳路与九如路交汇处西南角,金领九如意,43000,269~337m²,4室(2),住宅,在售,1157
天赋路,龙湖副CBD九如路和朝阳路交叉口东北角,正弘瓴,57000,229~240m²,4室(2),住宅,在售,989
五龙口,金水西路（西站路）与冉屯东路交叉口北200米,领创天誉华庭,15500,89m²,3室(2),住宅,在售,137
未来大厦,中州大道与民航路交叉口向西50米,宏光协和城邦,28000,73~172m²,1室(4),写字楼,在售,167
天赋路,九如路天韵街,怡商花园,33000,229m²,4室(1),住宅,在售,916
众意路,如意西路与龙湖中环路交会处,万众顺和禧,价格待定,455m²,8室(1),别墅,待售,1729
万客来,嵩山南路与南三环交汇处向南800米,牛顿公馆,11000,34~78m²,2室(3)/1室(13),商业类,在售,35
新郑市,107国道与祥云路交叉口向东1.6公里,郑州国瑞城,16000,331~484m²,6室(1)/5室(1),别墅,在售,614
万客来,赣江路98号（京广路与赣江路交叉口向东300米路北）,春江家园,13500,39~125m²,3室(1)/2室(2)/1室(1),住宅,在售,51
杨金路,东三环（原107辅道）与鸿宝路交汇处向东800米,鸿园,30000,380~580m²,6室(3),别墅,在售,172
新郑大,索河路与荥泽大道交汇处东北角,碧桂园龙城,8000,95~274m²,5室(1)/3室(8),住宅,在售,72
祭城,平安大道东风南路向东1000米路南（东风渠熊耳河交汇处）,正商善水上境,32000,180~203m²,5室(1)/4室(3),住宅,在售,558
五龙口,五龙口南路与冉屯东路交叉口,五龙新城,15000,72~116m²,3室(1)/2室(4),住宅,在售,111
富田大厦,农业路与南阳路交汇处西200米,物华国际,16500,89~128m²,3室(7)/2室(1),住宅,在售,90
西流湖,陇海快速路西至新田大道南行洞林湖风景区,恒大山水城,10000,89~209m²,4室(4)/3室(7)/2室(1),住宅,在售,86
万客来,嵩山南路与南三环交汇处向南300米路东,亚星观邸,18000,233~368m²,6室(2)/4室(6)/3室(2),住宅,在售,420
众意路,众意路与朝阳路交汇处向西300米路南,冠景君悦湖,32000,165~205m²,5室(1)/4室(2),住宅,在售,528
管南区域,城东路陇海路向南500米路东,奥兰和园,价格待定,87~143m²,4室(4)/3室(13)/2室(2),住宅,待售,172
陇海汽车站,紫荆山路与陇海路交会处北200米路东,荣汇国际,13000,230m²,1室(1),写字楼,在售,290
邙山,江山路与沿黄快速路交会处西1000米路南,正商河峪洲,13500,89~125m²,4室(2)/3室(5),住宅,在售,90
新郑大,西四环莲花街北100米路西,糖果时光,13000,62~71m²,2室(2),住宅,在售,81
天赋路,朝阳路与九如路交汇处西南角,金领九如意,43000,269~337m²,4室(2),住宅,在售,1157
天赋路,龙湖副CBD九如路和朝阳路交叉口东北角,正弘瓴,57000,229~240m²,4室(2),住宅,在售,989
五龙口,金水西路（西站路）与冉屯东路交叉口北200米,领创天誉华庭,15500,89m²,3室(2),住宅,在售,137
未来大厦,中州大道与民航路交叉口向西50米,宏光协和城邦,28000,73~172m²,1室(4),写字楼,在售,167
天赋路,九如路天韵街,怡商花园,33000,229m²,4室(1),住宅,在售,916
众意路,如意西路与龙湖中环路交会处,万众顺和禧,价格待定,455m²,8室(1),别墅,待售,1729
万客来,嵩山南路与南三环交汇处向南800米,牛顿公馆,11000,34~78m²,2室(3)/1室(13),商业类,在售,35
沙口路,黄河路南阳路向北100米,万科美景世玠,32000,276m²,5室(1),住宅,在售,279
祭城,绿博大道与屏华路交汇处南300米,亚新美好香颂,14000,110~190m²,4室(4)/3室(4),住宅,在售,137
万客来,嵩山路与南三环交汇处西南角,亚星金运外滩,13500,82~141m²,4室(1)/3室(4)/2室(6),住宅,在售,107
祭城,熊儿河路与相济路交汇处,英协生生银河居,23500,96~144m²,4室(1)/3室(5)/2室(1),住宅,在售,222
管南区域,南三环与郑新公路（通站路）交会处向南300米路东,正商中州城,13500,85~142m²,3室(4)/2室(1),住宅,在售,115
