R61031,R73704
R21914,R36724
R58272,R51612
R75019,R66421
R73189,R99633
R63816,R54899
R57065,R81843
R91204,R53438
R60971,R17869
R90746,R92013
R27855,R99484
R35914,R87050
R45475,R45073
R70405,R59349
R99961,R40980
R93904,R63841
R61114,R80265
R73481,R90213
R95777,R79542
R28121,R69538
R90149,R83434
R61408,R77118
R94916,R91172
R49817,R11337
R10723,R47599
R76500,R55670
R62239,R53037
R83071,R65212
R38060,R27195
R56194,R14742
R63583,R57210
R61764,R81370
R35226,R65963
R20659,R56327
R33319,R28525
R63002,R57719
R79306,R33939
R97627,R50350
R21079,R27427
R53843,R90952
R61346,R71252
R13185,R93195
R44782,R91477
R73882,R42720
R37221,R80766
R64591,R72252
R10318,R61840
R97217,R47289
R80391,R86829
R35649,R43342
R56147,R41150
R71124,R62720
R10205,R99938
R85281,R36655
R49394,R70700
R59393,R28165
R95399,R54527
R11854,R88742
R80285,R99528
R60456,R23417
R81499,R37450
R11398,R34052
R12202,R85286
R62709,R74887
R37653,R92767
R47625,R71254
R65510,R84003
R56853,R45007
R29983,R87840
R22292,R57721
R56652,R54579
R48999,R61785
R16814,R30405
R27951,R74015
R34890,R24575
R61504,R49622
R90469,R90501
R32861,R73926
R96741,R40916
R63764,R61617
R17575,R68361
R84559,R43895
R62694,R99546
R18644,R53118
R83244,R71330
R19445,R65907
R40136,R55264
R89315,R29448
R52267,R17957
R30536,R38086
R40724,R92825
R46605,R20961
R83862,R90009
R54399,R42314
R22266,R62167
R84812,R49655
R97685,R74951
R77624,R74408
R73327,R57609
R14256,R37720
R38949,R19386
R72242,R36420
R96017,R48527
R63987,R62969
R29870,R13691
R53359,R27521
R68966,R62169
R21589,R15447
R39752,R23299
R57345,R71759
R59658,R55152
R53463,R42519
R89890,R36048
R30549,R31843
R32734,R88862
R21367,R87990
R53760,R97316
R13323,R16055
R46577,R90137
R43013,R57104
R76487,R17753
R37217,R93025
R67618,R73711
R61798,R97583
R94673,R17320
R15387,R18441
R20968,R23936
R89327,R41215
R47063,R15684
R34420,R99852
R67505,R28257
R31007,R75158
R10956,R13233
R12232,R53409
R85666,R37241
R48406,R32941
R16488,R95295
R89534,R24083
R63115,R19132
R99313,R50647
R23284,R29315
R39739,R82542
R54216,R10112
R12877,R58468
R57844,R78987
R68117,R36005
R31000,R40239
R57496,R59897
R68580,R63192
R90211,R93495
R61831,R67513
R49064,R23997
R80087,R28009
R43204,R92819
R73995,R76826
R12425,R52115
R74879,R64292
R21972,R72279
R26503,R43980
R46872,R54774
R95496,R15776
R32980,R34235
R63380,R22961
R14580,R27152
R47762,R21755
R69139,R28958
R24966,R49185
R96377,R52651
R54661,R13236
R12604,R11825
R16003,R53931
R51404,R76348
R11437,R84972
R40487,R46706
R24027,R36927
R20261,R50270
R53699,R79815
R20345,R99062
R16870,R23077
R27387,R53998
R17327,R86299
R71451,R41106
R32439,R29648
R32618,R86347
R94486,R26132
R71969,R58660
R64462,R89232
R59476,R26601
R28580,R61910
R53154,R58854
R35930,R30819
R27883,R92196
R64062,R67369
R68015,R87374
R60764,R57101
R25505,R59296
R39848,R62517
R15581,R23346
R85703,R89695
R91625,R13537
R25501,R30227
R19674,R16845
R58270,R65725
R86130,R23758
R11426,R89021
R16705,R79423
R96878,R10283
R33674,R87995
R30524,R59767
R56075,R92089
R89251,R95292
R28102,R17591
R68496,R46509
R51364,R53452
R64310,R22059
R90112,R98499
R81567,R43017
R60977,R52430
R30687,R75448
R17555,R26570
R48230,R72346
R29221,R28298
R34448,R82156
R61361,R22015
R94477,R48332
R29756,R23651
R71966,R91249
R84832,R77135
R84656,R27886
R92188,R70875
R78260,R73362
R60192,R74314
R98945,R38643
R51194,R45501
R51341,R50226
R46760,R73800
R31032,R79471
R44516,R81076
R39547,R25628
R80980,R17103
R81492,R34017
R52892,R27133
R63116,R57745
R37505,R59458
R32497,R31828
R52134,R71921
R73464,R40816
R83452,R48537
R83430,R22594
R15653,R29379
R32086,R89587
R80288,R53240
R84687,R86633
R69952,R30785
R18071,R14724
R13655,R74673
R82289,R37900
R57312,R70917
R89374,R57820
R54056,R33272
R51522,R89920
R82240,R59966
R17375,R31380
