R29494,R28882
R98551,R69456
R27162,R38787
R50768,R69778
R87452,R41224
R13888,R83735
R94329,R82271
R23856,R70137
R47998,R53079
R25907,R57410
R26085,R53791
R69120,R32326
R24074,R76810
R75375,R46927
R23903,R14611
R47568,R47600
R75178,R39870
R78134,R82325
R20624,R74110
R70642,R71774
R19233,R14352
R98687,R46750
R44010,R69795
R70838,R22040
R45226,R14750
R41285,R97581
R69720,R26810
R80500,R78973
R40587,R42110
R71242,R84123
R40967,R69111
R29788,R11207
R46123,R70795
R21102,R11013
R31370,R97220
R88940,R23434
R57872,R94279
R67788,R72550
R18546,R33660
R40036,R99186
R58484,R29839
R16410,R75191
R55407,R84194
R99508,R90072
R58728,R99589
R45833,R65448
R87949,R68017
R88046,R40421
R94954,R28382
R69141,R47891
R21324,R69751
R38281,R97604
R92144,R45846
R16287,R10294
R42428,R43846
R58440,R42676
R26832,R60533
R73616,R28040
R23533,R15027
R30350,R26755
R72225,R99272
R80664,R16512
R77592,R84653
R92490,R95896
R68027,R35249
R76892,R78261
R41725,R14895
R61879,R66350
R68681,R31999
R67111,R69304
R33883,R79985
R45161,R89217
R69281,R29836
R71108,R89836
R59993,R90601
R14324,R59907
R24314,R27884
R25800,R81698
R76746,R56698
R16728,R80873
R84002,R40467
R28405,R19974
R95426,R65742
R75920,R59424
R50749,R72542
R22943,R59147
R99028,R33943
R65622,R13467
R28360,R93538
R77210,R34170
R36090,R48863
R51592,R78816
R12596,R66368
R19500,R39420
R16345,R94564
R14022,R90148
R23994,R29076
R82280,R15075
R86072,R82589
R54702,R48627
R48634,R19710
R19892,R87658
R19510,R23504
R71208,R21104
R38216,R62866
R46600,R51319
R43497,R91969
R78366,R60830
R11747,R93768
R29235,R59704
R13821,R66627
R30599,R87547
R23832,R34381
R97573,R56120
R75625,R44408
R85406,R23721
R90149,R16556
R55303,R13959
R94023,R21616
R58836,R53147
R24342,R46460
R67128,R91227
R64093,R31201
R74296,R40604
R17420,R10407
R56007,R57020
R12370,R12152
R57541,R78115
R71218,R31264
R82182,R55733
R71788,R70667
R33007,R17476
R37397,R53036
R82583,R47350
R37288,R44980
R20607,R37842
R11585,R48312
R56279,R44975
R90811,R34345
R12668,R47766
R63635,R45674
R67755,R39133
R74610,R30641
R35311,R44792
R11377,R51457
R61563,R98152
R80473,R19781
R11852,R88475
R54774,R23425
R37177,R52305
R39136,R22652
R69255,R57879
R52645,R51942
R72275,R75569
R81901,R19202
R41996,R83973
R61431,R64063
R18820,R29274
R42402,R31951
R68244,R25572
R10129,R91803
R52151,R47663
R35546,R77235
R31165,R63757
R60484,R68376
R11018,R94631
R56371,R10577
R28101,R32997
R67083,R12268
R92701,R37178
R87052,R76113
R85224,R34061
R62129,R23320
R66349,R96173
R26761,R21003
R41785,R15968
R61612,R29069
R38633,R75846
R79953,R81929
R88102,R56460
R28931,R64705
R70157,R43942
R66565,R91857
R91373,R60095
R78636,R92779
R87952,R46180
R89617,R70920
R67045,R97866
