R1097,R3890
R6893,R8665
R3903,R2411
R3250,R6072
R4160,R2974
R1420,R4875
R9972,R6548
R9688,R3671
R3623,R1221
R6715,R4369
R9093,R6500
R9671,R5276
R7626,R4028
R5940,R3849
R2296,R9803
R2759,R3344
R4928,R2878
R5658,R5321
R8189,R8902
R5318,R7597
R4148,R3633
R9489,R8582
R2844,R4327
R7082,R9417
R4585,R3621
R8219,R5562
R8761,R5542
R5756,R1963
R7155,R3725
R1802,R6426
R2618,R2399
R6552,R7535
R5387,R1268
R1542,R6907
R5655,R8841
R2629,R9314
R5350,R1750
R2918,R8475
R7633,R7179
R5473,R7321
R4895,R5631
R3319,R6429
R2139,R3267
R5007,R3337
R7909,R2741
R4655,R4417
R9575,R8997
R6913,R7030
R9839,R7336
R9419,R3826
R2703,R3078
R6885,R7386
R4650,R3917
R7552,R7270
R7262,R7174
R8231,R2655
R2250,R4593
R1417,R5683
R5985,R7256
R6442,R5356
R7744,R6766
R1547,R6824
R1530,R9770
R5485,R3827
R8304,R1117
R6309,R4047
R2051,R4749
R3614,R4797
R2633,R7805
R5869,R7523
R4242,R2826
R4815,R8962
R3654,R5433
R8281,R7962
R1360,R6075
R5228,R2283
R2516,R2972
R6275,R5275
R9245,R5973
R4671,R3209
R8835,R7330
R3215,R3063
R2571,R2547
R5503,R4183
R2248,R5291
R1167,R2963
R5051,R6569
R4729,R9161
R5138,R8796
R6620,R4349
R1957,R3437
R1891,R5874
R7950,R7701
R7580,R9937
R7692,R1589
R9335,R5444
R6425,R1736
R8685,R9271
R9594,R7562
R8126,R4118
R4363,R6765
R1666,R3411
R2532,R3766
R1232,R9774
R4113,R4557
R2790,R6555
R2497,R5422
R1478,R5402
R9030,R1931
R3369,R6452
R4469,R7089
R6143,R1969
R9799,R9726
R9556,R7046
R5059,R7136
R2514,R6013
R4804,R7092
R5139,R8717
R2050,R6203
R3681,R1976
R7972,R5095
R8309,R3639
R4706,R7852
R1968,R8509
R3784,R7768
R6917,R5439
R7393,R3709
R8938,R8941
R7214,R2689
R2107,R5021
R4264,R5882
R9654,R7118
R2238,R2131
R4138,R2506
R3958,R9087
R7232,R1985
R2362,R7442
R8691,R9388
R9138,R3074
R8203,R4060
R2731,R9981
R3328,R4378
R5058,R7925
R8429,R6236
R7753,R8733
R6826,R2822
R9537,R6435
R9600,R7689
R7066,R2872
R4599,R3635
R8873,R2717
R2583,R7996
R4629,R3248
R6643,R3326
R8617,R7719
R6774,R2205
R9900,R6504
R5627,R6783
R7049,R6151
R6073,R7848
R8105,R2638
R8269,R9713
R1898,R4920
R3555,R4830
R4403,R4574
R5709,R7243
R7359,R7992
R7194,R8734
R8234,R8501
R9203,R5784
R1897,R6937
R8357,R3482
R7176,R5746
R4281,R3130
R8730,R1940
R9391,R1199
R3152,R7821
R5368,R5727
R2291,R1042
R4917,R5634
R3858,R2052
R6251,R5798
R3918,R4140
R1620,R9818
R2859,R6752
R2820,R8901
R9942,R2295
R1996,R7581
R2170,R3952
R8297,R5326
R9787,R1902
R5261,R8746
R7379,R3562
R6935,R2582
R4393,R1820
R9051,R7657
R4459,R3721
