date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2013-01-14,4.95,99.32,96.9,8.03,69.179,63.5,10.655,36.3,27.15,22.75,18.5
2013-01-15,5.71,127.8,123.6,8.79,82.6,37.4,12.020999999999999,47.3,29.3,29.8,17.0
2013-01-16,4.17,137.4,90.0,4.45,99.05,22.45,10.879000000000001,46.5,17.44,29.0,11.48
2013-01-17,4.77,199.7,106.7,6.28,92.05,34.85,11.982999999999999,75.0,22.9,36.1,15.08
2013-02-13,5.63,54.12,122.4,10.58,71.426,36.4,12.08,30.65,29.65,23.65,11.2
2013-02-14,4.76,108.0,95.7,7.81,67.624,59.0,9.897,34.8,30.35,22.1,19.7
2013-02-15,5.65,130.2,123.2,8.59,86.345,38.65,11.815999999999999,48.8,26.45,27.1,18.325
2013-02-17,4.94,203.6,108.0,6.17,91.7,31.55,12.231,85.15,26.95,38.0,15.5
2013-03-13,5.37,55.64,111.6,10.68,67.278,35.8,12.39,31.1,26.75,25.9,10.725
2013-03-14,4.46,117.6,92.05,7.7,70.50399999999999,62.75,10.158,33.6,26.75,20.35,19.25
2013-03-15,5.55,133.6,115.4,8.24,86.45100000000001,31.3,11.720999999999998,53.7,26.35,27.4,17.925
2013-03-17,5.06,215.4,113.3,5.7,95.9,33.8,12.38,85.1,26.7,35.25,15.42
2013-04-15,6.63,170.5,126.5,10.06,98.844,36.2,12.895,54.5,31.35,40.05,22.025
2013-04-16,4.32,164.5,96.55,5.33,99.2,30.3,11.18,59.35,22.55,35.35,12.84
2013-04-17,5.02,230.6,119.3,5.69,94.8,37.25,13.040999999999999,95.5,28.4,35.8,15.06
2013-05-13,5.56,53.76,109.0,10.06,67.048,41.0,13.237,41.0,27.9,23.5,12.025
2013-05-14,4.69,101.5,98.85,9.24,76.61,56.35,11.164000000000001,43.0,28.4,20.1,19.6
2013-05-15,6.47,156.8,129.2,9.42,93.14200000000001,32.7,12.607999999999999,44.85,31.0,35.7,20.5
2013-05-16,3.87,155.1,87.0,5.29,91.15,27.2,10.759,58.75,18.2,32.7,12.3
2013-06-13,5.09,59.56,96.45,8.31,59.445,38.95,11.338,41.4,22.5,20.15,13.425
2013-06-14,4.96,116.1,107.0,9.49,78.453,53.85,11.502,48.9,27.35,21.3,17.75
2013-06-16,4.11,169.5,90.4,5.41,89.85,26.35,11.255999999999998,62.45,17.98,35.9,13.22
2013-06-17,5.19,272.4,120.5,5.05,99.3,37.1,13.436,97.5,26.55,34.8,15.62
2013-07-15,5.78,150.5,122.7,8.12,112.1,30.95,11.870999999999999,43.25,26.85,32.85,18.9
2013-07-16,4.31,181.2,103.0,5.41,85.95,26.55,11.554,66.35,19.94,38.3,13.72
2013-07-17,5.26,284.4,118.7,4.83,100.8,35.45,13.527000000000001,109.4,27.9,35.15,14.62
