date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
1930/1/13,5.85,54.16,128.1,11.14,74.018,39,12.475,29.9,30.75,24.2,11.6
1930/1/14,4.81,108.7,94.8,7.51,66.184,59.85,9.922,33.55,30.1,21.9,17.875
1930/1/15,5.58,132,126.6,8.39,85.538,38.05,12.158,49.7,26.15,28.35,17.675
1930/1/17,4.78,204.4,107.4,6.22,93.45,34.5,12.116,80,25.15,35.6,14.58
1930/3/15,5.65,144.7,121.2,8.51,92.45,32.5,12.13,47.5,29.2,30.95,19.95
1930/3/16,4.38,158.2,95.7,5.14,102.3,31.75,10.849,59,20.1,33.8,12.12
1930/3/17,5.12,225.2,115,5.76,96.75,36.4,12.843,93.7,26.75,36.1,15.94
1930/4/13,5.46,53.24,112.2,9.87,67.278,40.7,13.18,37.85,28.1,23.05,10.925
1930/4/14,4.62,96.64,97.65,8.98,76.034,56.6,11.102,43.3,28.8,20.4,19.925
1930/4/15,6.74,160.9,129.1,9.96,97.058,31.75,12.636,41.15,31.5,36.9,19.625
1930/5/13,5.41,61.56,103.2,9.24,63.362,39.6,12.418,43.25,25.55,21.55,13.425
1930/5/14,5.04,109.3,106,9.25,79.778,56.5,11.636,45.75,27.9,21.05,19.025
1930/5/16,4.1,169.9,90.95,5.32,90.3,29.55,11.15,62.6,18.7,35.65,12.48
1930/5/17,5.2,274.8,115.2,5.26,101.8,35.2,13.421,82.6,25.6,36.05,15.84
1930/6/14,4.9,118.2,106.3,9.79,79.202,58.55,11.584,50.45,26.6,21.45,17.925
1930/6/15,6.16,154.7,125.6,8.65,113.9,26.1,12.216,43.8,27.2,34.45,19.325
1930/6/16,4.29,176.1,93.05,5.29,84.55,25.95,11.686,65.85,18.62,36.95,13.48
1930/6/17,5.27,279.2,114.7,4.78,98,35.75,13.345,97.6,27.15,35.3,15.3
1930/7/13,5.09,72.72,103.3,9.22,63.074,41.5,12.369,36.6,22.95,21.55,15.875
1930/7/14,5.32,128.5,115.9,10.44,86.633,57.9,11.611,47.15,29.3,22.6,18.925
1930/7/15,5.36,142.8,120.1,7.79,112.4,32.9,11.766,42.2,24.05,30.3,17.85
1930/8/13,5.09,72.72,100.6,8.44,63.765,44.6,11.127,35.4,25.05,19.44,16.4
1930/8/16,4.99,204.8,109.5,5.24,99.15,31,12.116,89.5,22.1,40,14.82
1930/8/17,6.02,326.6,127.3,5.02,101.5,34.95,13.364,143,29.4,35.5,17.34
1930/9/13,5.41,81.36,105.5,8.56,68.027,47.95,11.586,35.25,24.9,19.46,17.375
1930/9/14,4.84,115.5,110.1,9.95,73.672,40.5,11.502,45.1,24.8,28.4,16
1930/9/15,4.46,129.3,100.5,5.37,100.2,23.3,10.909,48.25,22.75,27.1,13.6
1930/9/16,4.85,213,117.1,5.09,98.6,33.65,12.099,77.95,21.25,37.25,14.4
1930/10/13,5.47,85.72,102.6,9,70.677,56.35,11.326,33.4,27,21.35,17.65
1930/10/14,5.07,121.9,115.2,9.65,78.741,46.9,12.281,45.15,25.55,30,16.75
1930/10/15,4.95,146.6,103.9,6.06,106.5,28.15,11.826,49.4,23.75,32.1,15.06
1930/10/17,6.31,349.6,127.7,5.09,98.7,36.5,13.473,141.4,33.25,34.75,21.85
1930/11/15,4.69,154.3,95.3,5.51,101.7,26.2,11.435,54.35,21.15,32.55,12.34
1930/11/16,4.75,193.7,101.5,5.27,94.5,38.2,11.934,70.2,22.45,36.2,15.9
1930/11/17,6.07,398,127.6,5.25,98.3,37.95,13.855,156.3,37.5,30.7,19.84
1930/12/13,5.22,99.16,98,8.48,70.562,62.6,11.04,37.75,29,22.35,18.25
1930/12/14,5.56,113.3,118.2,8.53,74.997,38.4,12.144,41.4,28.15,27.25,16.025
1930/12/15,4.68,150.7,93.8,5.14,104.7,26.4,11.465,50.25,20.8,30.8,12.7
1930/12/16,4.65,189.7,98,5.78,87.9,33.7,11.355,70.45,21.1,31.95,14.94
1931/1/13,5.84,54.28,127.3,11.06,73.269,39.1,12.418,30,30.45,23.75,11.325
1931/1/14,4.81,108.7,94.8,7.51,66.184,59.85,9.922,33.55,30.1,21.9,17.875
1931/1/17,4.78,204.4,107.4,6.22,93.45,34.5,12.116,80,25.15,35.6,14.58
1931/3/14,4.77,107.9,95,8.45,74.075,57.95,10.506,40.15,33.25,21.25,19.425
1931/3/15,5.72,147.2,119.6,8.58,91.471,32.1,12.253,47.85,29.35,31.65,20.6
1931/3/16,4.34,158.4,94.85,5.16,100.7,31.6,10.894,59.3,20.8,35.05,12.34
1931/3/17,5.08,222.8,114.2,5.69,95.6,36,12.843,90.95,26.4,36.05,16.1
1931/5/13,5.47,61.56,103.2,9.04,63.246,41.2,12.418,44.05,25.35,21,13.525
1931/5/16,4.12,173.3,91.4,5.34,90.2,29.8,11.21,62.9,18.8,36,12.86
1931/5/17,5.21,267.6,115.3,5.19,101.6,35.95,13.769,82.6,25.85,35.6,15.76
1931/7/13,5.1,70.36,103.5,9.07,62.786,41.95,12.344,36.1,22.95,21.2,15.525
1931/7/14,5.33,128.4,117.9,10.18,86.805,57.65,11.584,46.4,29.35,22.85,18.85
1931/7/15,5.34,144.7,119.1,7.69,115.1,34.3,11.886,44,24.1,29.8,17.525
1931/7/17,5.47,313.4,121,5.03,102.9,36.25,13.436,105.1,28.9,32.75,15.22
1931/8/15,4.58,131.8,98.2,6.44,103.3,26.9,10.984,43.65,23.45,29.35,13.55
1931/8/16,4.93,201.8,109.2,5.18,99.7,30.5,12.231,88.45,21.8,39.75,14.72
1931/8/17,5.86,329,130.6,5,102.4,35.05,13.455,142.7,29.2,35.35,18.28
1931/10/13,5.43,84.64,101.6,8.88,69.813,55.1,11.251,34.25,27.05,21,17.05
1931/10/14,5.13,123.6,115.6,9.71,79.26,48.3,12.363,46.45,25.4,30.3,17.125
1931/10/16,4.67,205.8,115.8,5.34,95.95,33.75,12.562,74,21.5,37.75,14.7
1931/10/17,6.19,349.8,127.6,5.09,99.05,36.75,13.436,142.8,33.35,34.9,21.6
1931/12/13,5.24,98.92,98.35,8.5,70.504,63.35,11.04,37.65,28.75,22.25,18.4
1931/12/14,5.66,112.5,118.3,8.6,75.055,38.15,12.13,41.55,29.05,27.45,16
1931/12/15,4.68,152.5,93.6,5.08,104.6,26.55,11.42,50.55,20.85,31.1,12.64
2001/1/13,5.5,49.8,116.2,10.98,68.546,33.95,11.939,27.1,28.2,24.25,11
2001/1/14,5.24,98.92,98.35,8.5,70.504,63.35,11.04,37.65,28.75,22.25,18.4
2001/1/15,5.66,112.5,118.3,8.6,75.055,38.15,12.13,41.55,29.05,27.45,16
2001/1/16,4.68,152.5,93.6,5.08,104.6,26.55,11.42,50.55,20.85,31.1,12.64
2001/2/13,5.87,53.72,125.7,11.1,72.751,39.05,12.503,29.8,30.85,23.55,11.625
2001/2/16,4,147,84.2,4.61,97.55,26.9,10.068,51.2,15.34,28.1,11.16
2001/2/17,4.77,206.6,107.8,6.13,92.2,33.75,12.132,77.9,25.7,35.45,14.32
2001/3/13,5.52,53.72,117.7,10.5,68.488,36.8,12.221,32.7,29.2,23.95,10.875
2001/3/16,3.91,144.5,89.3,5.16,94.8,27.3,10.263,54,16.58,29,11.08
2001/3/17,5.04,206.8,115.6,5.83,96.3,33.65,12.38,82.65,27,36.55,15.4
2001/4/13,5.44,49.36,104.6,10.18,66.011,40.25,12.785,37.3,25.75,25.05,11.15
2001/4/14,4.76,112.7,95.85,8.56,75.227,63.5,10.68,41.4,33.4,21.5,19.725
2001/4/15,5.76,148,119.5,8.63,91.702,32.65,12.199,49.45,29.8,31.4,20.275
2001/4/16,4.22,158.5,92.85,5.07,100.8,30.1,10.729,58.5,20.65,33.9,12.2
