,date,day_of_week,brand,cnt
3,2,4,3,20
6,3,5,3,1005
11,4,6,3,802
16,5,7,3,579
21,6,1,3,599
26,7,2,3,642
31,8,3,3,674
36,9,4,3,510
41,10,5,3,321
46,11,6,3,27
50,12,1,3,321
55,13,2,3,187
60,14,3,3,249
65,15,4,3,1235
70,16,5,3,428
80,19,1,3,449
85,20,2,3,428
90,21,3,3,549
95,22,4,3,431
100,23,5,3,321
105,24,6,3,80
110,25,1,3,385
115,26,2,3,695
120,27,3,3,449
125,28,4,3,372
130,29,5,3,556
137,31,7,3,23
140,32,1,3,620
145,33,2,3,642
150,34,3,3,399
155,35,4,3,255
160,36,5,3,128
167,39,6,3,401
172,40,7,3,394
177,41,1,3,428
182,42,2,3,241
187,43,3,3,449
192,44,4,3,157
197,45,5,3,128
201,46,6,3,53
206,47,1,3,171
211,48,2,3,267
216,49,3,3,200
221,50,4,3,98
226,51,5,3,321
229,52,6,3,27
233,53,1,3,321
238,54,2,3,294
243,55,3,3,150
248,56,4,3,157
253,57,5,3,299
258,58,6,3,53
264,60,1,3,235
269,61,2,3,241
274,62,3,3,200
279,63,4,3,176
284,64,5,3,171
287,65,6,3,27
292,66,1,3,257
297,67,2,3,294
302,68,3,3,150
307,69,4,3,157
312,70,5,3,235
317,71,6,3,27
322,72,1,3,235
327,73,2,3,294
332,74,3,3,125
337,75,4,3,176
342,76,5,3,235
352,79,1,3,107
357,80,2,3,401
362,81,3,3,249
373,85,7,3,232
378,86,1,3,171
383,87,2,3,428
388,88,3,3,225
393,89,4,3,235
398,90,5,3,171
402,91,6,3,80
407,92,1,3,364
412,93,2,3,241
417,94,3,3,225
422,95,4,3,137
427,96,5,3,235
432,97,6,3,53
438,99,1,3,257
443,100,2,3,267
448,101,3,3,324
453,102,4,3,157
458,103,5,3,321
463,104,6,3,160
468,105,7,3,185
475,107,4,3,431
480,108,5,3,192
488,110,1,3,428
493,111,2,3,481
498,112,3,3,374
503,113,4,3,235
508,114,5,3,321
514,116,7,3,23
517,117,1,3,449
522,118,2,3,508
527,119,3,3,449
532,120,4,3,176
537,121,5,3,299
544,123,1,3,257
549,124,2,3,401
554,125,3,3,898
559,126,4,3,372
564,127,5,3,192
568,128,6,3,27
573,129,1,3,278
578,130,2,3,347
583,131,3,3,399
588,132,4,3,255
593,133,5,3,214
602,136,1,3,620
607,137,2,3,267
612,138,3,3,349
617,139,4,3,235
622,140,5,3,385
627,141,6,3,241
632,142,7,3,301
640,144,4,3,353
645,145,5,3,385
650,146,6,3,27
655,148,1,3,192
660,149,2,3,241
665,150,3,3,150
670,151,4,3,196
675,152,5,3,278
679,153,6,3,27
685,155,1,3,342
690,156,2,3,347
695,157,3,3,424
700,158,4,3,176
705,159,5,3,278
709,160,6,3,27
713,161,1,3,235
718,162,2,3,428
723,163,3,3,299
728,164,4,3,137
733,165,5,3,235
738,166,6,3,27
742,168,1,3,214
747,169,2,3,428
752,170,3,3,324
757,171,4,3,137
762,172,5,3,235
769,174,7,3,23
772,175,1,3,364
777,176,2,3,267
782,177,3,3,249
787,178,4,3,255
792,179,5,3,406
797,180,6,3,27
802,182,1,3,428
807,183,2,3,267
812,184,3,3,249
817,185,4,3,255
822,186,5,3,321
829,188,1,3,342
834,189,2,3,187
839,190,3,3,274
844,191,4,3,196
849,192,5,3,321
856,194,1,3,299
861,195,2,3,294
866,196,3,3,424
871,197,4,3,216
